"FSC.A","FSC.Width","SSC.A","B525.FITC.A","R712.APCA700.A","V450.PB.A","Y585.PE.A","Y763.PC7.A","R660.APC.A","Time"
1200000,2301.6,678430,65238.6,1155.55,70017.5,37485.8,7827.3,8656.24,2.50976
844689,1926.11,852497,39511.6,43982.5,38690.5,21591.8,26571.8,1633.22,2.51909
1040000,1827.95,652555,62191.4,4081.94,96693,31614.9,41665.2,6241.02,2.61612
912434,1548.16,594904,54851.3,499.841,62543.7,33507.4,8189.8,8407.58,2.63369
1190000,1665.99,535827,32052.6,16554.9,36181.9,14374.9,1651.91,3192.42,2.64661
656513,1597.47,444725,42879.5,35.7286,47453.9,18937.1,7480.44,4917.81,2.64967
717557,1727.98,693338,59442.3,447.084,68029.5,48552.4,9424.57,7053.94,2.65506
1140000,2568.48,836474,70343.3,32488.3,66073.4,44991.8,58933.6,3945.26,2.66392
794361,1688.89,540411,51025.9,542.04,63894.5,44674.8,18805.3,7622.15,2.66477
812884,1693.42,628772,42903.4,30096.2,65231.7,31866,25925,10830.8,2.66742
776755,2017.05,696930,34954.6,4791.98,42121,18232,1283.06,2549.03,2.67098
988449,1728.1,779789,68753.9,1588.37,102965,40117.9,12318.6,8434.11,2.75092
786467,1487.76,520062,61043.6,1491.01,76969.7,42535.1,23384.3,11117.9,2.75538
853530,1393.91,564991,1920.02,36.3351,9359.56,930.015,1620.16,225.067,2.75788
933931,1581.36,389783,22585.1,1128.51,62539.6,15424.4,3495.88,5176.19,2.75875
757798,1929.23,333178,9941.11,12.1731,49397.7,12966,1950.18,1842.38,2.76061
520899,1635.15,598893,37845,490.816,95674.2,30303.8,8758.4,3513.91,2.76342
1280000,2019.14,625091,49071.6,-228.639,76952.7,30409,2695.19,2567.48,2.76374
576255,1615.43,534448,11555.2,172557,110041,5064.43,15423.3,8.00141,2.76667
590540,1681.62,404767,41517.8,1046.64,61380.3,30322,19292.4,10816.4,2.77302
1e+06,1639.18,704420,93770.1,556.715,115081,37287.2,27260.4,8214.46,2.77445
661914,1762.75,437212,36060.5,722.257,48742.2,21154.5,4056.74,11237.7,2.77453
1050000,1828.41,580740,90427.1,1065.37,92016.1,54462.5,28669.6,7976.82,2.77624
836861,1575.38,583284,59131.4,3801.94,79393.9,30999.2,12380.3,9283.49,2.77815
1340000,1698.84,897801,40282.7,10231.4,54174.5,43668.9,5632.37,5042.64,2.78066
777695,2303.43,712797,52791,1327.95,59141.9,19634.7,24942.2,3236.98,2.78076
979048,1726.64,664002,30407.5,-515.147,50211.5,18045.2,8150.73,3727.65,2.7821
877288,1605.47,1040000,264.368,-295.62,14039.4,110.387,-450.685,98.4275,2.93261
1020000,2207.36,980919,67155,2204.18,125063,36964.1,9161.17,16858.1,2.94696
1350000,2005,1360000,59601.7,24855.1,44161.4,30869,5305.71,2865.56,2.95203
840288,1551.64,591807,65324.1,255.793,79106.5,35360.9,6224.92,8154.09,2.95985
811993,1681.77,516579,46355.9,245.843,79139.9,20877.4,5548.7,7109.26,2.96938
1050000,1638.55,775669,73435.2,603.483,88212,32927.3,7243.98,8527.59,2.96946
788382,1821.53,475093,35564.9,377.971,55955.3,21032.1,7659.1,9994.22,2.97019
771053,1704.92,711612,57418.3,3063.79,81335.3,37832,19592.7,6585.1,2.98021
812501,1862.83,682598,60415.3,290.748,87476.6,27461.9,9770.93,8737.75,2.9879
784558,1619.31,477187,53022.6,627.611,65098.9,22318.4,8819.31,5880.59,2.99024
770440,1534.57,461539,50798.2,412840,21462.6,13313.4,-1937.64,1707.13,2.99435
1220000,1583.09,928350,102706,5145.93,131691,59443.3,82303.1,7607.75,2.99584
902669,1756.56,748767,23227.2,-390.335,43368.9,11856,5284.9,1443.17,2.9961
698561,1797.92,501123,39500.7,903.707,35698,15517,17964.8,1554.3,2.99812
690431,1419.82,893928,73.4379,-193.159,48026.6,385.819,-169.78,-31.4639,2.99836
1580000,1957.13,1320000,58850.2,14034.2,60708.5,27556.3,8352.21,2618.48,2.99867
1110000,1813.31,843790,59147.7,11.7328,73394.7,28859.3,38385.7,6516.37,2.99877
1430000,1592.68,1120000,30288.3,-261.562,36033.7,8912.91,7125.51,942.438,2.99879
810659,1631.49,545783,45452.7,490.387,48600.7,20216,6026.49,3698.47,3.00345
857737,2077.67,612576,53557.4,494.263,116055,31585.2,4843.15,15100.7,3.00663
819188,1471.41,536200,27957.8,705.115,67382.3,28841.6,30369.1,10547.2,3.00718
766480,2173.73,631051,43382.9,469.83,78246.5,30124.4,19223.2,5062.18,3.0095
771320,1675.13,807114,97102.6,1444.49,104137,42509.3,46915.1,11903.1,3.01131
622569,2046.66,653058,30013.4,-82.0732,86138.1,29737.9,15232.4,4666.56,3.01613
1380000,2596.28,1050000,60594.9,42141.9,83272.8,37362.4,24512.9,8024.56,3.02163
893821,1655.94,736810,36279.9,589.407,71149.7,50015.2,13594.7,11360.4,3.02804
649647,1583.48,536715,52974.1,-7.45915,60352,30382.6,7696.82,6417.2,3.02973
808112,1551.01,561392,23081.6,-28.3043,48230,14719.5,6058.35,3806.3,3.03006
1090000,2197.84,1150000,114904,2043.21,202252,59912.2,67791.2,23537.3,3.03282
1030000,1835.76,742252,72186.6,1872.4,144901,41698.7,13927.2,12908.6,3.03342
1540000,2075.95,1240000,129139,42537.8,104872,43566.6,58300.3,8577.05,3.03394
660978,1726,501729,35808.4,304.542,55652.4,24115.8,6544.92,4548.3,3.0346
