"FSC.A","FSC.Width","SSC.A","B525.FITC.A","R712.APCA700.A","V450.PB.A","Y585.PE.A","Y763.PC7.A","R660.APC.A","Time"
1030000,1533.62,884240,46531.7,1321.31,62378.3,18610.2,7737.29,1825.08,2.10231
1020000,1499.68,766169,50078.4,7623.26,94887.7,54419.5,14447.5,9344.66,2.10865
1040000,2346.71,880908,82053.9,563.79,136610,34235.2,21967.3,9211.06,2.1281
533049,1741.63,522437,47860.6,340.02,75497.7,35751.6,6863.5,6632.98,2.13447
1290000,2008.32,903243,95089.3,4177.21,76393.9,41320.1,5216.76,2499.09,2.1507
619447,1594.23,397384,29665.5,1030.68,43940.3,11757.7,3711.12,2461.56,2.15792
1070000,1868.33,815258,175001,979.137,148707,54701.3,27771.5,15644.3,2.15843
924375,2152.41,460445,5132.74,655.262,30779.2,3968.01,1471,885.692,2.16326
1330000,1547.91,845637,41591.5,511.13,115724,30300.1,8166.02,16322.6,2.17021
804493,1600.71,931734,7320.82,653.327,19791.2,4913.11,4.41086,362.715,2.17354
849874,1782.17,660268,69353.7,2459.28,105434,47132.5,9519.91,8860.13,2.1758
691052,1516.14,394975,84627.5,12890.1,72349.6,65553.3,7180.98,5905.71,2.17759
906021,1912.13,648407,33125.6,463.515,71593.1,19224.8,2749.2,1634.11,2.18074
854858,1512.81,616552,65298.8,579.058,84404.8,35734.5,12724.6,7928.59,2.18512
510807,1566.1,519730,19585,7557.96,35167.2,15464.8,8009.7,2313.6,2.1872
972677,1718.18,704905,54952.6,596.059,137564,31058.4,15370.6,9518.6,2.18857
1070000,1991.05,801496,63160.7,1009.84,148094,43343.1,12065.7,10993.9,2.20379
1650000,1748.91,985219,95078.9,1144.75,24572.7,6289.25,1535.49,703.567,2.20916
782470,1538.8,560632,35571.7,-208.329,40394.9,12722.2,4138.92,2097.74,2.22024
773643,1626.5,515942,53360.5,19512.8,43767.9,18085.9,20877.1,1820.17,2.23601
628275,1976.53,625502,59757.1,1183.07,426086,42483.6,7781.89,8376.16,2.24829
936817,1799.87,806229,42694.4,138.103,82856.8,30082.6,11564.4,13404.7,2.25032
1130000,2531.26,864632,146088,1346.18,152404,39955.4,19630.1,9876.71,2.25378
792835,1971.08,717359,45801.9,859.157,109439,37748.8,6786.85,10606.9,2.26431
978976,1711.75,718543,53774.8,420.7,70385.7,42098.4,11043.5,14339,2.27623
613992,1615.27,438435,25342.7,1507.38,58363.8,27243.1,15434.8,9808.83,2.27675
1030000,1947.36,708101,39446.1,260.389,116219,26280.1,2136.62,8667.45,2.27687
