"FSC.A","FSC.Width","SSC.A","B525.FITC.A","R712.APCA700.A","V450.PB.A","Y585.PE.A","Y763.PC7.A","R660.APC.A","Time"
1230000,1571.1,636475,21835.7,-307.216,35734.6,10727.8,62.0246,794.537,0.809888
1160000,1806.75,601756,50575.2,-407.394,99499.9,33802.8,2707.34,11077.9,0.818557
576102,1510.43,368680,33306.2,333.703,39613.6,16209.4,6526.93,2640.77,0.832448
1160000,2502.55,911929,52374.6,2367.88,114831,41304.9,12841.1,12415.3,0.845503
695798,1438.3,573395,3067.49,33313.1,39763.1,6949.32,-2829.2,7049.71,0.853887
845592,1522.65,587724,53993.3,10295.1,67491.9,61210.8,19382.9,4893.26,0.886422
982900,2221.56,746562,52551.9,5.77599,101041,26970.3,12675.3,4503.39,0.889992
719799,1492.87,720734,64880.3,3575.74,74302,55235.1,10054.1,7216.56,0.898661
660580,1491.94,512857,42639,437.711,80683.3,31443.6,5800.14,8538.26,0.901496
1090000,1792.74,1220000,33565.5,-394.999,54131.2,17186.1,9849.92,4452.42,0.913286
1060000,2162.46,899506,56876.5,564.523,114748,41768,5466.27,8318.19,0.936744
1080000,1637.86,832474,28747.8,57364.8,53176.2,11327.9,3342.26,2287.48,0.952757
771152,1628.7,583040,71175.4,558.752,53179.4,34203.9,31238.4,2815.86,0.957326
698923,1519.32,521222,41062.5,-187.896,57920.9,16342.6,8365.56,2817.93,0.97391
1490000,2591.95,1310000,118925,4280.64,152067,86328.8,88535,10999.2,0.984231
1430000,1695.96,670072,28707,455.392,51946.9,12565.5,20538.8,3082.55,0.985985
877530,1661.01,552218,49108.5,7865.02,70044.5,32140.8,5410.35,7861.17,0.991942
855622,1341.23,894476,526.826,-116.48,36959.3,374.32,10.9441,344.982,0.999938
1250000,1743.76,1060000,61811.2,32.5085,111697,40106.6,77668,17977.9,1.01214
1180000,1919.25,743285,58598.3,-622.051,100853,37609.9,8818.1,13430.2,1.01389
845076,1579.53,443798,34514,283.932,38027.9,16773.1,11911.5,10274.4,1.02635
950721,1575.26,694016,43223.5,250.12,89052.6,29667.9,7962.54,6675.45,1.03676
1240000,1618.27,438369,35473.4,-45.8451,37840.4,16502.4,920.256,2488.67,1.04959
690603,1811.19,727648,42296.2,-838.561,37076.8,12734.7,7563.39,1223.82,1.07164
1750000,1805.19,1070000,50035.8,-2106.56,37754.6,4427.76,-1639.69,2733.87,1.08926
1050000,1610.67,710036,88595.8,-271.077,125733,36299.1,21611.8,15275.2,1.09324
565793,1452.23,392068,43810.8,257.986,60061.2,17694,21246,10198.8,1.10254
788684,1703.68,658461,27358.7,2551.32,54282.2,22483.4,14722.2,7653.7,1.10746
1020000,2036.35,652703,43249.6,864.935,62337.5,29368.4,8579.31,19707,1.10988
703106,1583.63,528376,55718.5,868.814,77478.4,55529.1,24556.8,5641.7,1.11068
1130000,1760.34,939630,59931.7,740.913,84822.1,36066.4,11264.9,9110.25,1.11539
521584,1577.61,579861,29612,-281.165,31404,19819,6786.59,7268.83,1.11549
1070000,1742.65,698785,76384.9,709.759,108154,35203.8,15916.5,11241.9,1.14285
1110000,2342.5,815002,34933.3,-482.46,55162,17619.7,31349.4,1310.12,1.14642
1240000,2353.13,762100,91071.8,540.312,113932,41793,15081.3,12193.2,1.15978
624253,1466.3,568005,21430.4,1806.31,26451.3,8175.67,8738.49,2120.38,1.18444
744240,1470.67,536002,69124.5,598.999,200373,36318.5,26687.7,3891.18,1.18713
733465,1511.71,589011,87479.5,433.275,85402.2,27702.4,12387.8,7262.77,1.18782
940076,1678.45,720714,37595.4,-731.846,56343.5,18169.5,15271.4,5130.9,1.19195
796064,1722.79,491280,47142.1,25.0564,104160,28781.5,59661.8,4477,1.19537
1120000,1861.19,847235,89977.6,1735.62,106563,48475.3,15638,24586,1.19552
1670000,2210.5,1120000,104395,12715.3,130629,65917.2,23113.7,16431.3,1.20372
1080000,2133.93,827515,69679.9,1076.51,103625,27182.9,6982.38,11623.3,1.2113
1090000,1886.34,719227,83144.6,439.416,100700,42503.5,14011.5,13735.9,1.21289
1090000,2120.4,804401,65083,282.534,125301,38490.7,12631.4,15817.7,1.21481
895933,1565.54,1030000,54608.2,1026.16,96182,30917,16215.3,2770.52,1.2203
680388,1822.91,652201,63917.8,1290.82,69933.4,45013.9,7779.64,10184.5,1.22407
1320000,2583.12,1130000,156723,777.56,159596,65429.4,26616.3,27149.5,1.23849
860728,2043.23,557600,45912.5,123.672,52802.8,14921.9,12151.1,1721.91,1.24198
831044,1912.06,483502,47787.6,232.979,61326.5,28553,10329.3,4528.3,1.25555
1100000,1638.8,728329,81549.5,-48.2367,119468,60658,10441.2,14044.1,1.25773
962346,2096.29,896437,73213.3,-33.6596,58843.8,27531.3,31468.8,9960.01,1.26693
788317,1535.49,516032,61510.7,1381.79,72822.8,37067,39465.1,5289.01,1.28221
1060000,1984.5,640004,60682.7,-304.322,49174.2,16490,3110.05,2269.32,1.2857
1010000,2011.71,836875,90344.5,3249.76,86975.2,45817.7,14504.2,6991.54,1.28986
630521,1750.95,539838,35710,77.6707,42908.1,28872.2,11318,1202.66,1.29135
767182,1453.51,751700,40263.4,5951.99,28133.5,10304.5,8346.48,1729.48,1.31258
641031,2026.82,486936,41394.7,84.8352,32550.6,15334.3,11601.2,2142.2,1.3353
844592,1585.65,662333,39802.7,25823.6,47931.6,19713.2,5469.58,2981.53,1.33561
1080000,1706.4,848916,98206.4,500.81,77365.7,37980.1,8378.25,4765.14,1.35458
