"FSC.A","FSC.Width","SSC.A","B525.FITC.A","R712.APCA700.A","V450.PB.A","Y585.PE.A","Y763.PC7.A","R660.APC.A","Time"
560279,1804.39,473434,17899.6,376.227,16082.4,12687.3,9444.38,749.178,10.2946
635590,2031.6,623547,431.652,-388.353,81232.7,200.28,-282.117,85.4322,10.3152
726550,1410.71,342816,11505.4,-398.769,11497.4,1061.32,978.708,302.263,10.4169
934816,1745.56,516814,2674.84,-157.581,28229.5,9107.03,1758.95,291.181,10.5394
933727,1611.31,453080,23920.1,-1232.11,17773.5,23672.3,10548,1931.02,10.6197
736155,1926.63,331138,16585.6,457.546,8447.8,13748.7,4106.34,1276.04,10.7252
632395,1679.04,484030,2636.11,1973.51,15768,4217.13,-142.481,9.57993,10.7344
915387,1537.27,656191,12495.4,-478,18069.2,18718.6,11302.7,1521.55,10.7799
734745,1732.22,353383,6809.75,33.4839,10552.7,5247.46,2534.43,290.537,10.8043
755397,1760.99,669690,28822.4,1058.88,19857.7,27572.6,10257,1274.16,10.8077
735378,1541.47,390052,3247.63,294.738,7478.14,504.184,954.688,-21.6177,10.975
1020000,2481.93,396423,62.5661,121.327,74434,-81.5242,810.086,348.438,10.9781
837189,1380.93,680229,5394.78,-1215.97,21769.7,1142.77,-1687.76,6497.35,10.9827
556125,1833.69,433672,26008.9,799.458,10637.6,19370.5,10193.5,1730.41,10.9953
774162,1668.93,816701,289.883,259.184,32708.8,-328.668,145.693,-120.493,11.0173
1200000,1779.54,1050000,75366.8,4583.13,29586.8,98563,41754.2,3280.92,11.0242
684672,1564.15,510023,63017.1,711.377,20136.6,43522.1,22295.2,1313.94,11.3293
972934,1600.92,1090000,14000.4,1445.39,16019.6,6920.87,5329.07,721.548,11.3762
686638,1475.6,412507,38966.7,655.6,16410.2,20908.6,14545.1,1604.65,11.3826
784714,1654.89,642439,15283,-623.68,30219.8,35101.2,10570.5,1609.65,11.4941
906220,1513.26,746322,316.839,-200.751,56774.3,48.5125,-199.491,328.099,11.6661
860169,1386.15,802840,453.284,142.887,32065.2,71.0486,-165.901,-28.1415,11.7283
737424,1590.35,342183,28218.2,16854.1,40612.6,17726.1,1180.43,4415.55,13.3719
733200,1907.4,582196,182.74,10.3361,16710.9,-349.012,183.276,18.9784,13.3783
