"FSC.A","FSC.Width","SSC.A","B525.FITC.A","R712.APCA700.A","V450.PB.A","Y585.PE.A","Y763.PC7.A","R660.APC.A","Time"
1380000,2245.11,1250000,69937.7,606.98,129349,36367.4,19337.2,5851.92,5.32931
747381,1585.8,713469,24026.1,59.654,55877.3,16494.5,16927.7,4140.07,5.33027
622198,1750.78,387668,31204.2,-261.076,43712.1,22096.2,5040.06,3684.77,5.34327
583235,1674.38,518239,29771.3,421.221,56473,18580.2,22542,4653.69,5.34796
699264,1652.4,474158,42615.2,702.623,53331,23220.3,7481.29,4762.92,5.35404
997137,1969.41,886489,50005.8,402.086,61808.8,24761.5,17966.1,14002.4,5.37791
739168,1431.32,632960,62593.1,734.281,47156.2,21780.2,38486.3,5078.15,5.38697
698314,1609.48,554812,33736.2,163.896,58052.9,22369.8,4922.67,3376.07,5.39609
712745,1955.91,716884,364.737,-377.414,32685.4,-261.347,-128.561,-59.5257,5.40419
583029,1435.53,416912,13485.1,-92.9001,25880.7,15654,2653.53,3719.78,5.40741
725171,1487.03,516085,36713.5,356.219,40260.9,26877.2,5775.04,6417.27,5.41
1060000,1610.42,820849,40109.3,-777.677,28033,10358.4,497.189,682.18,5.42042
592531,1464.76,403904,38424.7,375.519,50262,14652.4,4083.73,4157.51,5.43388
653572,1487.9,429613,32187.5,3484.7,30160.3,10379.5,17411.7,856.76,5.44187
725106,1368.08,846299,91.3899,56.8858,30349.7,-76.2906,3.77527,60.5841,5.44403
1120000,1574.71,793262,50928.3,2787.06,105177,19697.9,12730.7,3138.58,5.44841
574443,1638.81,634186,36805.4,783.182,65842.4,23121.2,16140.4,5288.92,5.45243
625912,1471.33,767477,89.5868,430.238,33623.8,234.159,503.818,2.24949,5.45825
719693,1438.51,545455,41112.3,143.592,70433.2,17615.1,6842.81,5991.08,5.46061
792347,2365.05,699507,28121.2,482.494,52746.9,11811.1,11560.7,4211.83,5.46589
890689,1732.33,616858,26925.5,-486.793,36300.8,9652.31,5575.25,1741.11,5.4787
1290000,2094.81,937461,49963.2,1439.14,105062,50062.4,5495.39,35915.4,5.4788
827981,1542.09,573003,33502.7,908.26,60428.3,22388.2,10978.2,4545.94,5.48054
765684,1676.92,533203,42795.7,948.661,41198.2,10391.5,25246,1096.72,5.48998
977527,1736.81,699364,58079.6,129.739,70166.1,23267.2,25098.2,7127.7,5.49052
865008,1388.73,845785,419.254,-207.067,54803,190.96,-348.989,69.7363,5.49194
632898,1648.5,363513,36904.7,-254.695,32588.5,13096.7,4309.06,5865.2,5.50811
1830000,1912.63,970709,27783.4,-1471.97,90174.5,9119.41,1508.52,4014.65,5.50869
575027,1888.57,524048,61626.5,-50.4462,65309.3,19195.8,4449.99,4483.56,5.51891
986012,1797.45,864609,33219.4,711.444,72476.7,27938.6,8668.44,8142.07,5.52691
1050000,1555.42,584684,33897.1,860.359,49736,21606,11050.8,3309.1,5.52735
1210000,2212.27,625352,48552.5,-147.433,45651.2,28158.5,4530,5422.53,5.53437
1050000,1799.37,407270,28284,181.309,53748.7,16231,5113.22,3294.04,5.54234
767651,2096.38,517205,24081.4,-452.091,57041.3,17696.8,4292.44,6320,5.54274
701286,1720.25,411991,42251.1,309.4,44500.9,17670.6,5708.58,6937.53,5.54672
827319,1736.58,515924,35610.1,-238.732,59526.3,23987.8,5681.68,6744.37,5.55304
627416,1706.67,490431,23336.9,-579.217,24398.1,7023.96,7793.82,601.837,5.55988
892749,1839.92,700790,41366.4,1140.65,84342.4,27902.9,8016.19,7800.58,5.57361
695712,1563.37,400316,46653,977.301,56851.2,37764.2,5363.22,7287.78,5.58027
1220000,1820.87,950456,36626,-49.7537,89525.4,33616.1,22035.9,9371.03,5.58583
