"FSC.A","FSC.Width","SSC.A","B525.FITC.A","R712.APCA700.A","V450.PB.A","Y585.PE.A","Y763.PC7.A","R660.APC.A","Time"
625395,1830.18,549995,39187.7,4859.7,42169.9,24902.6,6198,4819.32,0.428703
770702,2036.12,700508,35954.4,1288.25,84875.6,40426.9,18901.3,4174.29,0.439325
756236,1564.19,599103,29799.2,1731.24,17938.8,6824.26,1330.01,652.393,0.44254
836161,1680.8,611916,22174.7,10004.1,45984.5,17463.8,10948.5,3517.18,0.44549
1470000,1716.54,1210000,33552.5,277.66,77711.3,31925.7,7220.26,6793.53,0.454769
689174,1542.4,541711,18877.2,587.963,43761.8,15969.8,5676.52,2239.13,0.463987
956611,1941.71,531748,33422.8,-310.459,59371.8,26738.3,14363.9,11139.5,0.4706
921410,1453.06,811674,6301.56,-1120.92,28473.1,1722.49,-942.7,671.648,0.474548
849440,1575.96,828018,20379.4,11081.7,59737.8,14570.7,583.39,2082.25,0.476115
1410000,1747.19,1340000,24939.6,-1269.36,53009.1,19845.5,7942.55,4022.58,0.483257
723309,1644,546268,31195.1,1146.38,79693.3,27983.4,10919.1,5454,0.499963
721858,1851.59,738987,28182.3,29.7986,114208,32351.8,18863.1,5106.91,0.506739
1240000,2425.25,1050000,62083.8,982.81,87053,53187.4,17126.6,3429.35,0.510158
1490000,2041.12,985831,71010.7,2483.56,115417,60522.5,9826.53,8834.88,0.516629
653559,1621.01,443611,23242.8,462.023,54906.2,21072.9,13011.9,8761.93,0.520617
871975,1558.23,722985,37873.6,-2030,38076,10814.1,367.721,2629.47,0.5208
546415,1627.03,436449,33907,196.173,51880.1,27424.2,5378.12,8810.12,0.535044
1200000,1745.83,986005,42029.9,1127.92,87347.4,65512.1,4638.55,7258.34,0.535817
787003,2141.87,562355,29867.5,234.231,54973.1,22854.3,7629.47,3917.22,0.537547
586301,1738.03,501906,38055.6,328.685,67420.1,27132.2,9887.34,3185.13,0.542716
903881,1741.74,729467,43727.7,286.602,89058.3,36652,11736.8,10729.3,0.547029
632769,1542.75,715773,25896.9,735.607,18465.9,5183.75,-24.7242,982.793,0.54941
1090000,1678.53,1010000,38963.9,7374.97,32974,22043.5,4256.3,2819.96,0.550794
716114,1790.22,717584,37999.5,1602.57,25734.9,14062.8,5410.56,2971.99,0.553012
1250000,2133.31,979999,69030.8,-265.694,104931,37853.1,17524.2,3548.56,0.554599
802246,1617.56,629182,52912.2,442.36,99886,35244.2,6373.44,12785.5,0.559035
1110000,1634.71,930218,71316.5,551.39,112723,47672.9,31619.7,10714.4,0.573055
780214,2007.5,680619,53890.2,264.183,101962,35860.8,27188.7,7747.62,0.576759
937388,2026.65,563131,53515.7,589.774,82246,36706.9,3385.88,4172.84,0.584267
771325,1646.59,556763,18921.2,-406.211,65006,10278.4,1293.5,1437.62,0.590657
911725,1600.02,611620,52353.4,317.723,84609.4,31491.8,23444,7263.41,0.591125
1540000,1674.98,1340000,39035.6,63179.4,60695.4,13831.2,111.938,2876.58,0.591267
1340000,2567.62,896432,78144.5,1421.97,140771,54003.3,20859.4,7203.34,0.60254
676038,1545.37,492166,27908.5,-3244.51,37838.1,12278.9,6483.24,4292.46,0.607037
962963,2064.09,828663,40915.6,34.0168,121087,35964.3,25315.1,6267.87,0.60952
947913,1556.47,753471,36640.5,52.7313,68479.2,34480,8572.56,8144.54,0.611697
603075,1509.25,374816,22419,423.892,34881.2,14554.1,6491.69,6408.86,0.612796
1090000,2035.19,781463,28018.2,-940.886,52920,21204.8,18445.4,2230.1,0.619206
898060,1642.85,644234,40494.7,591.591,80610.6,34846,8463.08,6748.47,0.622991
723469,1646.26,537672,24904.8,650.091,33518.2,18161.4,6537.88,4354.65,0.640287
656568,1401.63,612761,17252.1,2461.63,14445.9,8025.29,4635.3,734.116,0.640796
877124,1671.51,690945,46507.8,2619.41,74665,33657.6,11977.9,6681.88,0.643298
1160000,1867.05,975701,35414.6,1109.91,85461.2,47394.1,7032.38,7116.03,0.666068
858127,1524.88,941328,40994.2,13449.6,33721.6,6792.37,2558.75,1168.28,0.670199
787097,1356.95,657824,13147.1,10421.8,13513.5,2824.84,711.657,713.979,0.67258
980190,1615.18,1120000,40644.1,-816.683,37764.8,13279.6,11443.9,1138.81,0.681533
657954,1668.64,577992,32702.6,6982.07,22865,12238.7,7682.4,1941.89,0.683772
937591,1790.01,677525,36637.8,997.19,54959.8,52213.9,12029.6,14331.3,0.684423
904531,1728.26,682874,46484.9,386.886,92513.9,22352.8,16514.8,5123.74,0.686844
736808,1832.5,727206,49745.8,-174.285,76192.3,17210.9,19465.8,1769.54,0.690487
596612,1653.09,583779,41784,717.842,66104.5,21592.4,6192.91,3480.86,0.692359
695121,1649.83,593958,29499.5,121692,20350.1,5668.95,-1823.8,268.003,0.697446
705651,1546.84,710536,20765.4,15884,33616.3,10803.7,3011.26,1287.4,0.698423
637832,1725.69,487459,4535.95,-1196.3,19263.4,1257.34,-605.966,1222.53,0.70353
562273,1486.14,518308,57941.6,94.9295,58703.3,27305.2,44406.1,5105.54,0.713318
769518,1423.98,620792,26414.4,16422,18451.5,7266.49,6214.94,2526.75,0.714233
1110000,1803.42,824624,61184.3,1126.07,123709,35655,75095.8,16355.7,0.715922
723893,1444.15,639954,41434.4,16059.7,21344.9,11327.8,2768.66,4358.76,0.716573
633462,1593.83,624478,27826,43146,24561.2,11671,3346.06,1278.96,0.720338
794838,1671.5,642965,32143.7,212.223,62730.5,21259.6,6543.82,6252.8,0.723329
589573,1475.2,423055,41717.7,627.848,73327.7,33550.1,6670.69,7392.85,0.729413
1070000,1676.65,837651,22160.5,22554.2,25907.3,7910.58,2541.69,1327.86,0.733931
636811,1721.07,654226,13632.4,30992.4,21211,5724.56,-195.637,332.624,0.742559
1120000,2118.53,957614,49780.8,-851.523,86462.3,25037.6,3855.47,8779.5,0.743942
770336,1573.07,706859,16163,-247.163,36942.1,8538.88,2881.42,2160.07,0.743963
650312,1383.07,443892,19148.5,233.49,51012.9,18390.8,3565.16,3768.55,0.744919
958925,1822.91,815809,58886,932.469,92421.6,41233.7,8829.78,7157.2,0.748053
899144,1796.35,788457,57932.9,151.878,126491,31750.8,41031.7,11873.4,0.754666
715529,1901.19,662335,31471.9,180.283,27814.8,14067.4,11392.1,3304.85,0.756538
845140,1445.94,625673,32619.8,2197.89,35448,12094.6,4381.82,1298.68,0.75902
903186,1525.89,652837,33592.4,497.536,87161,34137,11974,3754.12,0.759733
848118,1474.09,639768,50409.3,476.638,77571.6,26522,32592.8,9508.4,0.768706
671467,1484.88,556323,43193.2,851.704,85003.5,25478.2,9578.24,10003.2,0.775055
633186,1790.83,331761,18881.6,5007.81,18384,9406.61,2209.44,1318.23,0.779613
1130000,2349.46,818668,44947.6,1126.3,91396.1,31376.6,5925.38,9680.96,0.78179
1360000,2401.87,1090000,69382.6,569.923,138821,35191.6,8718.89,8051.7,0.786939
695788,1881.82,549670,41300.9,806.709,48726.4,25114,25785.7,5832.94,0.794508
1040000,2710.86,791586,47172,171.808,97290.3,34936.9,4860.47,5199.85,0.795037
838756,1799.3,577993,47225.4,361.961,78548.5,43890,7845,8024.93,0.798436
1380000,1570.9,910501,10883.6,12044.2,15125.3,2040.12,919.875,396.179,0.803238
595227,1778.33,341870,24709.3,-152.63,29785.6,50326.7,3122.47,5157.54,0.803441
1200000,1588.44,978541,30241,114846,23327.2,6977.91,5713.88,1904.2,0.805069
1570000,1822.21,983322,40338.2,-124.763,94686.8,35086.1,10832.8,13103.2,0.805517
940084,1646.29,572521,32059.1,32.8058,92316.1,29746.4,3293.02,4808.89,0.815711
1280000,1583.03,637952,33581.5,31.0755,30119.7,23041.2,4100.76,2850.52,0.820514
926723,1810.11,692434,25910.1,5589.23,34795.6,23298.9,6319.95,6477.52,0.83665
819889,1691.36,703147,34388.1,573.101,76480.1,29481.5,18474.8,4228.14,0.8419
1040000,1516.08,904590,54606.3,1963.02,100245,41571.4,34234.3,11982.9,0.844627
673526,1605.12,608471,26929.1,528.571,82852.6,23330.4,15049,4550.95,0.862981
858335,1840.9,788826,50829.2,591.279,94369.4,39691.1,26975.2,9791.98,0.865097
818561,1853.55,865555,62796.7,694.265,191122,102121,84091.6,9327.79,0.883635
1790000,1857.51,1090000,54900.9,-136.625,198358,19889.7,1814.45,4606.24,0.893341
704236,1616.35,592427,26143.8,308.995,43920.2,21730.8,2584.46,2984.51,0.898347
908179,2364.62,640301,43680.4,-1105.24,42873.4,26507.9,4461.3,4740.76,0.898408
706249,2191.35,531608,46813.4,1535.58,74377.9,31596.7,6246.05,7805.95,0.902254
907529,1901.73,549335,45355.2,57.5726,72708.9,26795.8,4450.59,6528.3,0.906385
845840,1555.81,607394,28329.5,7889.56,22189.7,10673.1,5103.3,4238.77,0.907158
596270,1428.3,564270,57960.6,790.48,20115.2,17666.4,8591.76,1280.08,0.911553
602701,1844.05,650299,28960.3,74953.8,17971.3,14712.9,3854.16,4412.84,0.919326
1160000,1569.74,878677,23983.1,-275.702,60810,17140.9,6287.61,6462.76,0.923518
765083,1923.91,653435,23687.9,2305.75,50884.2,17891,5327.38,436.378,0.930091
533492,1500.22,369689,23851.1,311.724,42946.2,16006,5558.52,6364.51,0.93241
718939,1658.57,629033,15808.7,-263.68,24850.4,7399.51,3128.03,1144.5,0.932817
879029,1612.18,620081,26786.5,6634.87,20931.6,9613.31,1651.8,800.172,0.932919
770184,1812.9,749703,46619.3,921.469,92962.2,30850.1,26416.9,7706.57,0.933794
871526,1452.22,667270,6662.11,-1415.69,34552,1354.19,-1374.41,8299.11,0.940407
967649,1760.21,858928,69374.6,1026.79,155227,87406.6,41988.2,27902.7,0.940611
1330000,2534.86,1130000,50970,853.052,100004,49051.1,13348.4,10005.8,0.94582
1450000,1622.66,1040000,43364.6,50986.8,49278.3,14450.8,2547.25,9165.26,0.951904
767274,1833.83,671020,67899.9,4828.34,76955.8,64521.2,13150.2,7478.83,0.953573
840244,1670.67,680985,42592.6,844.637,94935.1,38504.2,6413.9,5221.97,0.96332
689694,1569.6,423686,31700,-136.978,62184.7,23938.5,2639.1,4879.12,0.968956
784942,1998.94,830690,69001.3,9573.78,36076.8,29399.2,15519.4,5647.59,0.978907
972276,1898.63,896755,45978.2,3497.33,94026.5,50066.9,28407.4,7979.82,0.978927
681120,1788.12,729742,19698.9,713.26,55943.9,19253.7,7475.74,7962.87,0.982407
810339,2131.94,433622,23171.6,3218.23,51349.3,14850.3,10094.1,5534.21,0.983831
773197,1707.48,777704,31201,179.625,71725.8,26887.6,18622.7,3269.99,0.994555
843637,1820.27,825777,36854.8,50007.7,24867.5,17748.4,4317.24,2914.61,1.01889
550970,1513.26,531626,18011.8,1422.39,28550.1,16193.4,8687.57,2154.49,1.02369
931531,1654.56,743809,52207.2,661.862,90743,49379.4,18896.4,11106.3,1.02546
632092,1768.24,538345,28600.3,4742.55,31922.1,21526.4,6335.34,6500.11,1.03739
974539,1568.38,783842,42875,313.559,83996.9,30518.8,4528.13,10068.6,1.04952
567358,1463.62,378154,34526.9,2036.49,26477.6,13101.6,3227.02,848.767,1.06195
735033,1978.55,626576,22555.5,21007.7,30573.1,20242.2,2432.74,3894.58,1.06205
747229,1918.97,668615,52295.6,133.661,71795.1,19208.5,2509.89,2130.3,1.06205
649284,1736.49,607114,32539.6,137.397,57604.8,18971.5,3297.65,5229.09,1.07326
716377,1741.98,339328,6220.72,12.7624,18981.3,3077.27,154.703,473.614,1.09526
863168,1640.66,705297,40748.9,820.477,86896.6,26925.6,40287.3,2370.55,1.13337
525609,1597.67,395151,14006.5,272.429,32853.1,11829.8,5619.48,3595.45,1.15692
1200000,1606.91,818101,55341,5708.13,58731.7,31859.6,8621.29,12356.9,1.1664
639387,1438.64,409398,26158.2,451.114,56110.5,23296.4,12839,3233.74,1.18937
703790,1723.55,488964,28212.5,3.84966,45601.4,12776.1,2975.14,3546.24,1.26684
846392,1400.62,544815,9294.97,-7.91168,20978.1,8670.18,337.538,727.469,1.28442
728152,1620,612773,30651.6,508.883,42056.7,13594.7,3508.6,913.163,1.29842
