HA,p38,pAKT,pCREB,pERK,pS6,variant_ID,variant_ID_num
10850.1,17215.2,13800.7,16539.4,9849.08,1208.39,WT_2,2
19767.4,17341.6,10040,11719,9899.07,710.683,WT_2,2
5683.73,22882.6,7569.1,16602.3,2011.33,2104.68,WT_2,2
2534.83,29055.9,5874.44,3986.05,3642.92,1549.6,WT_2,2
9105.45,26421.4,9098.86,13656.1,4779,53.7853,WT_2,2
15001.5,20149.2,6234.69,4340.67,4344.18,552.198,WT_2,2
11187.4,21227.3,4296.08,5410.71,2326.5,512.937,WT_2,2
3981.44,25611.7,5993.29,7177.77,2944.95,1944.51,WT_2,2
992501,266357,93664,80590.4,58261.2,8726.03,WT_2,2
5516.54,27169.2,6806.56,10442.8,3024.29,2206.18,WT_2,2
5475.13,22970.6,6234.62,7715.7,1863.53,2602.49,WT_2,2
687926,126093,31684.4,16744.1,14589.8,25189.6,WT_2,2
9887.93,16086.6,10912.1,15961.6,7903.11,5004.98,WT_2,2
14585.8,15430.4,5945.51,11844.4,3437.85,838.025,WT_2,2
884633,230417,64286.8,86911,27937.1,72824.7,WT_2,2
1250000,263079,111714,45802.5,60533,49800.6,WT_2,2
1641.19,39976.1,10747.2,1742.88,2915.12,-1407.32,WT_2,2
690860,65463.6,18307.4,32967.6,9689.84,91563,WT_2,2
6008.81,25146,9511.85,5186.87,3323.34,2427.28,WT_2,2
706261,117983,48315.6,31927.2,45554.9,10634,WT_2,2
13733.3,18014.6,8559.87,8067.69,7252.8,-1035.63,WT_2,2
10899.4,23926.4,7877.15,7562.05,1706.87,-137.867,WT_2,2
3468.77,21935.7,3698.37,22788.6,4826.78,1190.76,WT_2,2
878123,179569,44729,31383.8,14655,45370.6,WT_2,2
889546,289179,89388,63655.6,38589.7,13199.3,WT_2,2
-133.166,27834.1,2596.08,5549.47,2597.04,-2328.66,WT_2,2
1039810,241959,87819.3,50104.9,28445.7,85744.3,WT_2,2
5883.14,21427.8,1531.57,12549.2,14165.3,4176.32,WT_2,2
919620,234772,76906.9,76980,95759.4,10223.7,WT_2,2
800276,95762.8,30636.3,23799.6,14056.7,83013.5,WT_2,2
693547,94656,33006,34544.1,7271.49,60993.7,WT_2,2
9495.45,23149.2,4775.13,7529.36,3007.36,-166.508,WT_2,2
12210.1,25906.2,5040.83,11192.6,5930.34,866.546,WT_2,2
669279,84061.5,21067,22120.2,13423.9,32256.7,WT_2,2
-14.4758,25667,4320.26,12988.9,2895.96,-409.459,WT_2,2
9867.91,20604.7,4504.01,10802,11347.8,-2923.27,WT_2,2
613266,55322.2,17490,18704.2,4373.12,9912.11,WT_2,2
856597,136313,16340.4,39497.4,59334.7,21334,WT_2,2
3235.62,26953.6,6602.63,7107.54,2754.4,2771.43,WT_2,2
13265.5,15179.7,5332.87,5424.1,12009.6,2086.33,WT_2,2
2431.23,25912.7,8274.55,6370.01,1270.2,-1324.34,WT_2,2
818047,223049,64497.5,48726.9,15321.1,19567.6,WT_2,2
591125,76442.3,18318.8,17143.5,-20052,34324.9,WT_2,2
18708.6,18881.9,7691.7,11322.6,6638.51,6147.65,WT_2,2
607084,46755.6,29259.6,15079.9,12125.2,24518.2,WT_2,2
627078,62144.8,19720.7,23556.1,17010.9,13237.6,WT_2,2
1671.66,40368,3506.58,2663.71,3096.98,-1770.53,WT_2,2
13980.4,16202.3,3899.67,10878.7,14299.1,9199.37,WT_2,2
735454,141288,34550.1,32135.3,31014.5,16043.6,WT_2,2
3012.72,27508.5,7492.2,3607.66,2135.81,2032.8,WT_2,2
16498.3,21437.2,11913.5,6979.45,8369.97,-1198.93,WT_2,2
17898.9,18876.2,6282.96,8100.1,9189.29,3543.68,WT_2,2
848589,227344,53810.2,51732,20125.1,44060.5,WT_2,2
631821,94141.1,36668.5,21538.7,42805.8,11298.6,WT_2,2
15086,22739.7,5287.79,10569.5,2028.51,-348.259,WT_2,2
650694,108697,33362.8,29713.8,33464.3,7359.41,WT_2,2
3228.88,24985.2,6599.65,1343.28,3662.49,3940.37,WT_2,2
938627,224421,59296.7,104158,84280.2,46788.3,WT_2,2
1238080,305384,101477,65241.7,90970.7,89214.7,WT_2,2
11835.4,19470,6344.31,5044.59,15731.3,3685.27,WT_2,2
