HA,p38,pAKT,pCREB,pERK,pS6,variant_ID,variant_ID_num
3517.29,40023.3,2998.13,1208.83,428.408,-1204.29,WT_1,1
14760.5,12904,4949,7816.6,2335.66,240.242,WT_1,1
12995.8,21604.2,10770.4,4557.2,7819.46,-344.249,WT_1,1
1588.13,26223.4,5441.61,13849.3,6665.36,-885.57,WT_1,1
13847.8,19526.3,5582.82,9795.58,8206.05,-126.762,WT_1,1
1261250,189128,77576.4,55954.6,68712.3,-3309.13,WT_1,1
10123.9,21415.6,8366.34,3976.99,5046.97,3198.92,WT_1,1
9929.04,17754.1,8030.74,8539.9,10768.4,3602.55,WT_1,1
8136.53,19539.1,6210.73,12483,6113.54,4586.25,WT_1,1
2805.44,23830.9,7143.08,4232.71,4910.72,-250.248,WT_1,1
8807.59,27468.3,7749.32,7958.04,5464.29,1040.08,WT_1,1
12905.7,16482.7,5135.71,12420.9,8978.12,-2385.54,WT_1,1
3667.8,27224.2,5835.93,6108.32,5655.63,-2875.54,WT_1,1
9128.41,20136.8,8814.17,3764.32,5610.47,3610.99,WT_1,1
15269.6,21418.4,3644,7222.08,2728.85,4682.58,WT_1,1
714012,82724,27897.6,49173.7,57558.9,145066,WT_1,1
3358.71,25107.6,6576.01,-105.803,3990.62,5967.03,WT_1,1
12750.9,18165.5,6927.37,2755.08,1229.73,-18.9331,WT_1,1
846958,175058,110835,71470,57828.2,8671.57,WT_1,1
953812,362190,157819,181319,89981.1,146566,WT_1,1
567044,58365.4,39308.2,17385.9,11317.1,6847.95,WT_1,1
1312630,213469,88200.4,59889.7,76871.4,15811.9,WT_1,1
12460.1,19382.4,11149.9,7761.59,9901.86,5585.71,WT_1,1
-129.389,25873.8,3060.23,17079.5,8701.19,-2920.16,WT_1,1
10290.9,24013.5,5755.04,11128.5,11538,-3315.02,WT_1,1
10201,28377.1,4010.86,7786.35,4084.36,164.623,WT_1,1
1060.37,28681,3401.03,10560.5,3868.67,-632.711,WT_1,1
869216,112985,54316.2,27736.5,32850.1,22086.2,WT_1,1
3370.41,36638.3,2779.66,7293.13,2604.1,-626.779,WT_1,1
19195,14153.8,5419.53,4587.33,5015.62,7080.75,WT_1,1
9678.24,25872.5,2362.89,6741.82,1310.1,358.662,WT_1,1
9943.95,16937.7,3560.58,16578.6,7709.81,2064.01,WT_1,1
699109,91002.8,35324.4,26543.8,29709.3,4139.75,WT_1,1
14455.6,13314.9,2753.79,4928.93,6822.79,-47.488,WT_1,1
624406,76916.9,23938.3,16668.8,16366.8,335.391,WT_1,1
9552.78,23347.9,8163.77,11879.8,7613.13,2159.85,WT_1,1
679445,90000.7,32102.7,9137.11,10891.7,11543.2,WT_1,1
6917.78,25426.8,5479.1,8465.53,5885.33,3919.08,WT_1,1
979442,169077,77557.4,55071.6,53920.5,16006.2,WT_1,1
4557.55,21377.3,9683.97,14236.5,10134.4,1913.15,WT_1,1
693880,95942.4,59924,49535.5,91280.8,-9507.19,WT_1,1
