"FSC-A","FSC-Width","SSC-A","R712-APCA700-A","V450-PB-A","Y585-PE-A","Y610-mCHERRY-A","Y763-PC7-A","R660-APC-A","Time"
474135,1713.13,212592,9842.6,9835.2,10911.5,31993.9,10973.8,15229.5,3.10932
353118,1332.16,155452,7897.6,9244.9,19649.8,37490.8,12596.4,7851.3,3.11587
337597,1365.58,127606,7456.9,10046.8,8993,32229,13795.5,8803.2,3.13402
449466,1675.99,174618,2742.6,3426.2,5254,8935.7,3575.9,1776.5,3.14618
1.65618e+06,3588.88,1.33959e+06,742543,106461,71771.5,221560,129588,102332,3.15788
1.19513e+06,2628.55,2.68047e+06,9309.3,25697,5609.3,1164.1,9264.5,12317.8,3.15821
478672,1701.05,145927,9284.1,15710.7,16405,47927.9,14777.3,12537.5,3.17664
382377,1468.87,102823,8474.6,10330.9,8426.8,22862.3,8443.9,5011.3,3.17882
1.00738e+06,3553.18,461396,43649.8,68052.4,78196,306848,98511.6,62734.3,3.19647
303315,1182.98,80243.5,11099.8,10225.3,10398.2,32722.5,12018.5,10042.1,3.25354
1.01212e+06,3002,483261,34675.3,51654.5,49262.9,160881,55215.3,32308.4,3.26946
1.08078e+06,2703.95,1.29841e+06,22170.8,28445.4,10690,27233.4,15903.1,16528.3,3.27054
336289,1361.41,160297,6039.8,13131.3,6011.7,18532,9695,5883.1,3.30762
469707,1639.24,240199,31030.3,8410.4,10309,23456.4,12896.1,8127.8,3.3384
441704,1777.54,218864,29424.8,24758.8,19745.7,77674,26551.5,20127.1,3.36743
1.14478e+06,2567.49,2.10925e+06,8833.8,27235,5925.9,972.9,10444.8,13624.9,3.37327
317432,1239.48,148020,3297.9,3230.2,3842.1,5184.6,2996.6,2427.9,3.40183
325719,1297.04,144533,2386.8,6305.4,3737,5581.4,3277.1,2213.8,3.40583
342817,1352.66,121694,2584.8,2914.4,4937,6378.4,2437.6,1303.8,3.4985
894511,2778.93,265564,24648.8,49850.3,77961.2,175462,51107,27749.6,3.5157
630004,2118.77,144812,8715.3,27493.5,30011.9,69198.4,21502.3,11446.9,3.52969
2.40533e+06,5260.08,2.18444e+06,355569,221304,189798,650592,268152,145606,3.54921
463467,1582.89,111225,8716.3,6460.4,7269,22768.4,7709.1,13901.8,3.63749
385782,1429.03,208050,5385.8,7002.8,7779.7,17833,5623.5,5883.6,3.66029
2.35638e+06,4384.78,3.08434e+06,11763.3,60063.4,13356.5,2732.9,23379.1,19119.8,3.70952
7.16598e+06,12325.3,3.12782e+07,73462.8,103441,77276.7,7813.5,148697,219319,3.72099
590117,2108.32,373087,22146.8,41886.4,38680,100105,31570.1,26768.8,3.81236
750397,2450.34,271626,79030.3,36483.8,32983.2,112098,41927.5,22509.1,3.8161
425248,1712.61,108215,12825.3,23334.5,20468.4,84930.9,26455.3,8420.4,3.8161
848654,2402.79,388718,27809.9,32798.2,50982.6,142210,42833.6,29598.9,3.82852
498118,1741.62,188935,15868.3,31963.9,44965,105008,31091.1,21118.8,3.89372
299827,1189.64,83961.9,4853.3,7202.4,8558,17682.4,6740.6,5986.8,3.96242
667542,2354,269582,22039.3,35556.8,30063.2,126154,40956.5,27242.6,3.96839
711270,2003.45,265443,19144.8,20606.5,33056.9,93859.9,30091.8,29102.9,3.97426
414154,1585.51,195475,18364.3,23149.4,18188.5,56936.9,18777.6,23484.8,4.00376
507169,1699.99,243784,33582.3,16967.8,13718.7,46148.5,17710.5,17622.6,4.04101
1.39623e+06,4141.69,611915,31342.3,42784.5,48504.9,131398,46089.8,35808.4,4.05927
619068,2471.71,375390,49674.9,52028.2,50539.6,162111,53704.1,75764.4,4.06399
486873,1955.31,250456,14789.2,25160.1,22750.7,79008.3,27917.2,13969.2,4.06738
874269,2133.79,439195,32581.8,47503.9,45404.1,130179,53607.6,35758.4,4.08069
618783,2017.73,293955,93156.3,11000.4,7837.5,16187.9,11554.1,9679.3,4.08352
374639,1429.28,169475,9035.8,9988.8,10549.2,28985,10749,11836.1,4.09191
499566,1654.23,311530,80552.3,26231.5,30777.4,94892.9,33172.8,23226.9,4.09501
2.24251e+06,6653.1,2.2065e+06,318994,260180,186358,619729,236194,151695,4.15642
696726,1928.32,587638,225316,46425.3,55056.7,156898,62467,52422.6,4.15642
1.42785e+06,3695.35,839806,79486.3,61998.5,88280.9,299560,112964,80859.4,4.16602
456046,1697.26,155660,13996.4,48820.2,5457.1,14381.6,10146.6,6374.9,4.16613
518285,1943.3,97794.9,8594.8,14428.4,20174.5,48203.9,13925.6,8811.8,4.25398
771232,2699.78,281286,25735.3,37797.8,47655.7,111964,39050.5,28345.1,4.26144
579708,2015.72,360169,21761.1,13468.5,11583.6,21437,17002.9,11848.4,4.2757
590314,2047.76,175206,15288.5,26444.8,40907.7,93418.6,28524.1,17105.3,4.29521
687986,2403.38,688249,153332,65415.1,50917.4,99950.8,85803.4,275094,4.29848
334433,1300.31,122564,8257.2,14630.8,9262.5,21755.5,10781.6,4809.4,4.32041
593870,2285.7,339240,15113.3,14694.5,16178.7,44082.4,16145.7,12193.3,4.33108
471075,1683.44,212173,8177.1,12261.5,12151.1,40220,12859.9,11405.9,4.36285
1.36222e+06,4483.3,904281,53064.1,112238,92968.1,333409,115148,53430.9,4.42185
349823,1391.85,75564.9,6635.5,7281.3,9662.7,26131.6,9298.6,9838.8,4.45486
368768,1389.9,127357,12298.6,21517,14976.6,38526.5,22919.9,14109.4,4.63882
474520,1780.15,84575.9,33185.5,18961.3,16410.7,64612.6,23617.6,12967.8,4.64137
2.48578e+06,5871.35,1.73346e+06,101237,116545,213559,519567,173030,57556.5,4.64139
391013,1471.27,178626,10814.7,16946.8,16618,73111,26115.1,10741.9,4.66095
704892,2272.98,432582,34818.1,46214.5,47505.1,150028,50428.9,44248.4,4.68786
287312,1145.03,79793.9,6213.5,10136.3,7536.7,28445.6,9838.1,7713.3,4.70231
408651,1492.06,100648,8547.5,17831.1,18173.9,49329.3,14041.4,11993,4.70427
432544,1705.6,327974,42755.7,28015.3,28509,102978,34624.1,22219.9,4.70626
510714,1805.04,195181,10538.8,13861.5,11494.2,34420.9,17103.7,9689.3,4.71035
291284,1186.8,81124.9,8923.1,14090.5,13526.1,38336,13520.9,13149.4,4.80396
