"ArAr80Di","BCKG190Di","Ba138Di","Bi209Di","Ce140Di","Ce142Di","Center","Cs133Di","Eu151Di","Eu153Di","Event_length","Gd156Di","Ho165Di","I127Di","Ir191Di","Ir193Di","Lu175Di","Lu176Di","Offset","Pb207Di","Pb208Di","Pt195Di","Pt196Di","Residual","Rh103Di","Xe131Di","Time"
101.348,0,2.09415,0,0,0,0,0,0,43.6399,14,0,0,6.5834,162.401,355.099,0,0,0,0.526865,1.41314,10.3606,5.97342,0,0,0,3.23322
117.713,0,560.817,0,1.49963,0,430.052,0,0,0,13,0,0,4.08199,0,0,0,0,108.111,2.79409,9.9971,0,0,161.673,0,2.33821,3.23483
93.5076,0,170.042,0,0,0,0,0,0.641505,4.92444,13,0,0,1.01908,0.872535,1.03938,0,0,0,0.154771,8.21362,0,0,0,0,0,3.38601
244.796,0,1.98152,0,0,0,1351.19,0,0,9.61905,36,0,0,14.3316,14.8733,34.2964,0,0,90.088,0,0,1332.46,965.598,201.182,0,0.947234,3.50488
113.653,0,556.138,0,0.339145,0,499.4,0,0,0,14,0,0,2.94617,0,0,0,0,81.107,1.0466,13.3514,0,0,137.608,0,0,3.53441
73.4461,0,1005.17,0,0.571112,0.914026,449.404,0.5534,0,1.71238,12,0.704524,0,6.88659,0,2.61931,0,0,149.763,12.4868,25.1968,2.21106,0.255755,118.915,0,0,3.58673
78.2371,0,769.723,0,1.59313,0,473.783,0,0,0,14,0,0,0,0,0,0,0,81.378,0.508253,8.28563,0,0,98.257,0,0.978791,3.61753
119.795,0,694.93,0,0.885582,0.3644,537.719,0,0,0.864559,14,0,0,6.31428,0,0,0,0,89.601,4.4635,11.7866,0,0,178.679,0,0,3.73741
117.215,0,1383.34,0,3.62597,0.082647,529.656,0,0,3.68851,14,0,0,8.30132,0,0.150639,0,0,95.372,12.5614,33.4663,0,0,52.317,0,0.918557,3.73954
79.8916,0,792.01,0,1.03063,0,510.554,0,0,1.82214,12,0,0,0.455923,0,0,0,0,136.862,9.7082,16.893,0,0,99.512,0,0,3.77378
104.512,0,607.375,0,0,2.65824,419.484,0,0,0.225211,11,0,0,5.49093,0,0,0,0,138.795,0,15.5012,0,0,163.803,0,0.745464,3.86528
81.1864,0,139.497,0,0,0.661452,0,0,0,4.75806,10,0,0,0,0.512296,1.10038,0,0,0,0,4.56625,14.6554,5.96953,0,0,0,4.13441
80.3663,0,0,0,0,0,0,0,0,208.588,10,0,0,0,2.70756,6.56306,0,0,0,0.594435,0.402252,1.20064,0.348311,0,0,0,4.23171
101.607,0,636.569,1.26904,0,0,846.213,0,0,1.97203,17,0,0,4.90157,0,1.30573,0,0.602741,89.898,2.70003,6.10188,7.46985,8.19696,183.615,0,0,4.25083
57.2055,0,682.393,0.120447,2.09231,0,484.952,0,0,1.97181,11,0,0,0,0,0,0,0,170.667,5.25954,20.2534,0,0,67.532,0,4.53622,4.29774
