"ArAr80Di","BCKG190Di","Ba138Di","Bi209Di","Ce140Di","Ce142Di","Center","Cs133Di","Eu151Di","Eu153Di","Event_length","Gd156Di","Ho165Di","I127Di","Ir191Di","Ir193Di","Lu175Di","Lu176Di","Offset","Pb207Di","Pb208Di","Pt195Di","Pt196Di","Residual","Rh103Di","Xe131Di","Time"
79.2381,0,211.785,5.18473,0.4196,0.922954,0,0,0,0,10,0,0,9.24866,2.76545,0,0,0,0,55.5989,107.495,0,0,0,0,0,0.237724
73.5169,0,569.457,0,0,0,380.427,0,0,0,11,0,0,1.37742,0,0.465983,0,0,79.244,4.69655,10.9665,0,0,150.807,0,0,0.375323
162.365,0,4.66334,2.42783,0.653647,0,627.623,0,0,0,14,0,13.0534,3.36006,554.35,986.607,0,0,83.15,4.56697,7.35026,21.9624,13.5819,78.511,0,0,0.493075
229.701,0,7.75046,0,8.86937,0,822.704,0,2.042,0,19,0,54.6521,5.19683,526.901,1053.17,0,0,98.697,3.30849,16.0272,11.6777,14.1056,130.709,0,2.67054,0.994254
153.354,0,0,0,0,0,631.765,0,0,0,19,0,15.9371,14.1031,588.618,1156.13,0,0,78.653,0.576232,1.47652,5825.9,4581.29,50.793,0,0,1.08547
114.835,0,106.706,4.81871,2.79395,1.90428,609.515,0,0,0.041772,15,0,13.6685,11.5512,429.026,785.75,0,0,84.816,0.447464,9.68423,8.75387,4.59939,99.571,0,3.85581,1.11339
75.1374,0,844.55,0,1.55129,0,486.712,0,0,0,13,0.555938,0,2.04743,0,0,0,0,103.451,2.21032,8.93815,0,0,93.914,0,0.678438,1.2744
172.536,0,1710.1,4.94975,0.152979,1.53813,841.255,0,0,0,18,0,0,10.8885,2.04657,0,0,2.32206,96.775,16.259,30.0253,0,0,100.205,0,2.34434,1.34075
128.113,0,2.60576,1.52688,2.36337,0,957.341,0,0,0,19,0,682.665,7.11127,405.476,640.499,0,0,95.606,3.47836,13.4741,11.4509,3.04943,90.672,0,0,1.77765
137.105,0.233065,3.34393,2.30846,0,0,736.903,0,0,0,15,0,0,6.4448,22.1886,29.0343,0,0,99.931,0,2.38217,242.547,202.175,211.191,0,3.63778,1.81628
137.136,0,3626.41,0,0.744641,0.90214,759.339,0,0,0.546922,19,0,0,7.62938,0,0,0,0,85.197,18.0902,46.6166,0,0,88.841,0,1.40702,1.95864
85.217,0,7.31059,1.90064,10.4165,0,548.376,0,0,0,15,0,88.797,3.86782,882.929,1607.09,1.47292,0,96.078,5.95519,10.4697,16.5013,15.8121,63.794,0,0,1.95968
