FSC-A,FSC-Width,SSC-A,B525-FITC-A,R712-APCA700-A,V450-PB-A,Y585-PE-A,Y763-PC7-A,R660-APC-A,Time
1.20E+06,2502.75,978735,166113,5982.04,160713,73937.4,63263.8,10908.6,0.368431
977266,1556.81,501384,30672.9,306.886,31206.2,12445.5,923.621,961.209,0.373082
1.31E+06,2227.57,874322,75589.7,297.583,64977.2,28351.8,8912.78,12320,0.376223
674704,1408.54,605563,59850.1,562.582,51264.5,17356.7,11271.6,3025.13,0.382649
769524,1722.28,721678,75718.1,-80.0804,59563.4,46453.9,7839.1,8933.89,0.400314
910255,1764.22,1.00E+06,35840.3,427.093,59487.4,14753,3346.34,1548.47,0.40166
831931,1649.15,563652,34091,38.6105,26096.7,5289.24,-588.603,3273.33,0.416306
679446,1746.79,845258,40850.5,465.915,37729.1,18014.6,15450,848.42,0.417264
818349,1721.23,542481,38128.1,264.112,95774.1,22804.9,5838.8,11174.2,0.425363
749650,1887.58,678281,43493.7,2733.69,35524.3,11591.5,6727.63,1071.61,0.430523
1.23E+06,1688.31,908018,26124.8,746.972,26575.9,3884.54,1212.57,3637.42,0.436255
989171,1623.92,813606,46537.6,3776.31,33505.8,24835.3,3579.81,5334.1,0.441355
823131,1600.76,584214,72560,342.171,56130.8,27112.2,15482.6,5769.9,0.443578
1.11E+06,1554.67,614560,61257.1,-249.581,58487.6,30692.9,3025.22,3630.66,0.448514
633353,1478.1,644735,27073.9,758.752,42082.1,8662.64,9508.01,1439.12,0.453634
954212,1403.06,465355,17113.8,-287.822,13993.8,1164.66,-828.375,347.399,0.456082
1.46E+06,1947.48,929748,102728,96.4622,109349,60024,29813.5,13752.2,0.457367
584139,1541.96,608380,33827,1636.44,34378.5,11192.3,20479.9,682.042,0.462283
608202,1476.64,631452,34442,-0.183695,43195.7,17978.5,15229.4,1608.88,0.469647
745409,1668.51,880469,15803.7,1368.5,20776.9,7416.82,1322.41,827.426,0.473808
1.09E+06,1783.59,920394,83696.5,866.717,115879,30837.9,11676.2,14353.5,0.474481
1.90E+06,2265.42,1.01E+06,47634,92.3708,78383.3,37402.7,10350.8,17583.2,0.5031
872675,1549.81,668501,66637.4,5861.1,71624.4,50723.2,7867.94,7409.02,0.503977
930218,1921.5,785892,42356.9,-357.959,52028.1,16006,18264.3,1168.03,0.504915
1.44E+06,2135.78,1.29E+06,119032,4309.69,155572,71031.9,24828.5,29110.1,0.506649
1.22E+06,1800.55,858557,75913.9,-113.184,77616.5,24233.4,8000.52,15567.6,0.51901
1.01E+06,1638.96,619130,49076.3,1048.21,68402.3,25218.3,41457.7,4787.07,0.522703
725795,1593.84,459478,38971.9,194.995,48976.8,17803.6,6067.88,2805.81,0.523539
631259,1549.43,754684,36681.4,-95.8162,39495.7,12889.1,4741.33,1087.97,0.532126
759671,1532.78,649232,36367.3,1640.45,53291.9,25808.3,14320.3,3765.88,0.534758
1.58E+06,1741.68,1.06E+06,52265.1,809.243,88530.7,31034.3,6026.29,4617.88,0.536206
711731,1576.21,532361,57064.2,263.733,74512.7,25529.7,33843,7681.18,0.538389
1.09E+06,1768.48,632338,52730.1,54.8276,64480,39799.8,2960.22,9643.93,0.548506
724922,1903.07,579574,65363.7,1308.13,92787.7,46880.3,45615.1,9522.14,0.549281
595053,1517.39,493409,44763.7,699.219,43673,33644.6,8236.43,7568.08,0.559399
1.13E+06,1675.01,715198,67091.4,-301.718,87377,32521,9992.6,8492.13,0.561357
826357,1739.01,606894,45165.9,542.601,63681.8,26893.2,6290.17,5300.07,0.576452
670615,1479.85,469402,43023.9,-181.273,67097.5,14988.7,29840.3,2181.27,0.57843
809225,1499.95,613916,56923.9,3758.66,39075,16016.7,28157.8,1699.9,0.580939
547289,1731.03,502119,43312.6,30.0499,68500,35745.2,23096.9,6345.86,0.58714
760331,1906.48,557646,49754.1,283.997,54259.7,31358.5,8810.19,6907.95,0.594422
1.37E+06,1966.23,1.17E+06,91627,348.833,127405,72255.4,13928.9,11735.5,0.594769
858043,1671.3,589351,44757.1,-253.858,43448.9,14466.4,1071.86,2171.03,0.598298
699968,1984.05,513698,70999,664.185,95285.2,33671.9,6725.25,11972.2,0.599318
636002,1607.27,455956,39528.1,1132.07,35963.9,15859.9,6751.17,1150.76,0.602459
656028,1540,700620,49262.5,3872.62,55496.8,17831.1,7094.9,1320.45,0.603194
842821,1681.44,743685,62182,1764.05,51051.5,23160.2,34130,1554.6,0.607844
690838,1478.17,507504,32667.5,-89.0079,44258.8,15287.3,10081.1,6366.17,0.609333
667285,1877.03,544785,34837.2,260.396,44984.1,52989.2,4492.72,6155.63,0.610578
685593,1536.85,460735,40849.2,117.616,60680.6,27625.7,5582.96,7341.55,0.610986
1.27E+06,2203.27,976535,73650.9,2545.58,137592,58812.6,26264,7971.8,0.619492
805692,1961.14,662819,70971.3,270.886,40226.9,18689.9,16931.3,3104.24,0.623694
695825,1567.67,525711,41804.3,371.062,35123.9,26318.8,5895.54,7141.82,0.633485
821021,1549.39,563039,27094,-544.949,17580.1,3447.8,-638.679,1404.47,0.634648
921568,1508.55,651941,80847.2,539.287,101784,48694.9,7242.19,3577.75,0.6353
1.17E+06,2120.66,951104,108842,-75.1838,137830,42285.9,34499.6,15065.6,0.643582
1.40E+06,1723.16,710499,43832.5,-342.615,57686.4,9735.03,1300.47,1033.33,0.645051
856939,1606.4,715168,45597.4,1036.51,67485.9,23354.2,18927,2149.34,0.648437
728751,1541.26,464799,47071.1,480.698,71939.8,27715.3,5314.01,9124.74,0.653087
1.11E+06,1779.12,926950,81359.8,2637.54,111335,59069.4,64236.1,11798.7,0.653414
1.04E+06,1755.7,799757,65765.1,-79.2763,124430,41739.1,18053,9687.36,0.654515
1.81E+06,2047.52,1.39E+06,114431,1838,207117,102807,22988.1,13469,0.655637
1.07E+06,1609.57,601266,63410.1,-706.286,48709.6,26309.8,5243.23,3255.51,0.656841
1.50E+06,2173.64,1.07E+06,103970,-597.805,114936,26579.5,26473.2,7847.51,0.662022
592131,1512.05,410417,37667.8,704.528,80321.3,32757.3,5292.88,6077.25,0.690824
816066,1467.21,485701,41087.2,-78.8199,87946.3,23634.2,68956,2455.26,0.693904
877428,2086.9,723024,96645,219.587,116537,48230.1,6689.08,18019.7,0.697719
843350,1655.99,457330,62892.9,131.944,87598.1,32245,8381.82,8174.11,0.699269
586384,1810.96,605680,52870.1,-56.8138,68618.9,23165.6,6259.67,3691.35,0.707897
953842,1783.79,715828,63557.1,283.23,80653.1,42248,10153.7,9631.79,0.729009
828018,1709.9,614790,53095.2,-114.693,77765.8,47399.3,6914.34,4870.58,0.736863
1.10E+06,1704.85,919314,92592.6,885.658,195562,105309,45485.2,13382.5,0.742697
635051,1527.37,507868,30465,2684.95,30176.5,16400.4,20029.9,1468.48,0.774701
981207,2244.76,843328,40925.7,10684,54399.8,54153.3,4315.05,5882.34,0.788552
895456,1602.76,583655,79880.1,284.181,92657.6,40272.2,13797.4,6554.34,0.798771
1.23E+06,1571.1,636475,21835.7,-307.216,35734.6,10727.8,62.0246,794.537,0.809888
1.16E+06,1806.75,601756,50575.2,-407.394,99499.9,33802.8,2707.34,11077.9,0.818557
576102,1510.43,368680,33306.2,333.703,39613.6,16209.4,6526.93,2640.77,0.832448
1.16E+06,2502.55,911929,52374.6,2367.88,114831,41304.9,12841.1,12415.3,0.845503
695798,1438.3,573395,3067.49,33313.1,39763.1,6949.32,-2829.2,7049.71,0.853887
845592,1522.65,587724,53993.3,10295.1,67491.9,61210.8,19382.9,4893.26,0.886422
982900,2221.56,746562,52551.9,5.77599,101041,26970.3,12675.3,4503.39,0.889992
719799,1492.87,720734,64880.3,3575.74,74302,55235.1,10054.1,7216.56,0.898661
660580,1491.94,512857,42639,437.711,80683.3,31443.6,5800.14,8538.26,0.901496
1.09E+06,1792.74,1.22E+06,33565.5,-394.999,54131.2,17186.1,9849.92,4452.42,0.913286
1.06E+06,2162.46,899506,56876.5,564.523,114748,41768,5466.27,8318.19,0.936744
1.08E+06,1637.86,832474,28747.8,57364.8,53176.2,11327.9,3342.26,2287.48,0.952757
771152,1628.7,583040,71175.4,558.752,53179.4,34203.9,31238.4,2815.86,0.957326
698923,1519.32,521222,41062.5,-187.896,57920.9,16342.6,8365.56,2817.93,0.97391
1.49E+06,2591.95,1.31E+06,118925,4280.64,152067,86328.8,88535,10999.2,0.984231
1.43E+06,1695.96,670072,28707,455.392,51946.9,12565.5,20538.8,3082.55,0.985985
877530,1661.01,552218,49108.5,7865.02,70044.5,32140.8,5410.35,7861.17,0.991942
855622,1341.23,894476,526.826,-116.48,36959.3,374.32,10.9441,344.982,0.999938
1.25E+06,1743.76,1.06E+06,61811.2,32.5085,111697,40106.6,77668,17977.9,1.01214
1.18E+06,1919.25,743285,58598.3,-622.051,100853,37609.9,8818.1,13430.2,1.01389
845076,1579.53,443798,34514,283.932,38027.9,16773.1,11911.5,10274.4,1.02635
950721,1575.26,694016,43223.5,250.12,89052.6,29667.9,7962.54,6675.45,1.03676
1.24E+06,1618.27,438369,35473.4,-45.8451,37840.4,16502.4,920.256,2488.67,1.04959
690603,1811.19,727648,42296.2,-838.561,37076.8,12734.7,7563.39,1223.82,1.07164
1.75E+06,1805.19,1.07E+06,50035.8,-2106.56,37754.6,4427.76,-1639.69,2733.87,1.08926
1.05E+06,1610.67,710036,88595.8,-271.077,125733,36299.1,21611.8,15275.2,1.09324
565793,1452.23,392068,43810.8,257.986,60061.2,17694,21246,10198.8,1.10254
788684,1703.68,658461,27358.7,2551.32,54282.2,22483.4,14722.2,7653.7,1.10746
1.02E+06,2036.35,652703,43249.6,864.935,62337.5,29368.4,8579.31,19707,1.10988
703106,1583.63,528376,55718.5,868.814,77478.4,55529.1,24556.8,5641.7,1.11068
1.13E+06,1760.34,939630,59931.7,740.913,84822.1,36066.4,11264.9,9110.25,1.11539
521584,1577.61,579861,29612,-281.165,31404,19819,6786.59,7268.83,1.11549
1.07E+06,1742.65,698785,76384.9,709.759,108154,35203.8,15916.5,11241.9,1.14285
1.11E+06,2342.5,815002,34933.3,-482.46,55162,17619.7,31349.4,1310.12,1.14642
1.24E+06,2353.13,762100,91071.8,540.312,113932,41793,15081.3,12193.2,1.15978
