FSC-A,FSC-Width,SSC-A,B525-FITC-A,R712-APCA700-A,V450-PB-A,Y585-PE-A,Y763-PC7-A,R660-APC-A,Time
819979,2330.47,666483,69077.7,1005.05,125919,32489.7,5048.9,6209.6,0.0261203
614795,1686.53,478015,14513.4,3386.89,38096.1,16159.3,8133.38,1904.22,0.0559606
568121,1629.31,427911,18328.7,3955.55,46646,12662.7,2915.45,3169.23,0.196082
856845,1442.67,437435,5887.3,18.1206,68864.5,952.48,-926.063,551.948,0.207962
670662,1523.93,343919,4787.64,450.483,38699.6,862.978,-337.918,678.784,0.247023
790526,1694.28,479115,11280.6,-79.6676,36968.4,5823.66,1400.36,1994.94,0.249043
561752,1552.54,366044,2606.79,-411.079,19373,556.269,-278.996,420.926,0.266323
1.02E+06,1695.35,486571,3621.32,-415.057,45576.8,504.104,-920.593,568.829,0.339503
835610,1697.93,425077,894.588,30.9638,21971.5,126.664,-72.3666,52.0977,0.351244
741587,1426.96,926218,2241.94,-244.848,85246.8,83.6158,-340.045,271.55,0.399184
911545,1666.56,782730,10251.2,456.462,57974.1,1695.38,-500.224,1408.57,0.480125
569201,1508.19,415938,22522.4,733.438,57919.8,18853.5,12715.4,7200.36,0.582366
1.65E+06,1619.09,1.29E+06,36589.8,-1738.48,54402.4,2989.66,-1990.34,1970.93,0.644327
1.16E+06,1447.18,1.25E+06,541.691,-180.711,82222.3,341.394,188.643,33.6103,0.659027
739833,1376.51,741397,170.387,82.3079,31758.6,73.7906,127.146,6.54438,0.772328
660739,1611.19,903040,450.555,-269.623,25042.9,309.183,-379.485,132.155,0.801768
1.06E+06,2614.7,868830,104.026,280.197,20313.8,-103.345,-151.884,102.963,0.99815
867177,1870.93,1.03E+06,66.1979,-293.763,25387.6,95.9792,23.6658,219.95,1.48804
801404,1375.41,550044,2115,-636.788,19649.1,582.687,-387.234,602.334,1.71026
655049,1919.69,455203,27830.2,832.674,63960.1,28764.5,2469.44,6881.08,1.73192
733720,1533.8,595900,31290.2,1273.81,72086.5,27583.5,4645.61,7439.71,1.83492
725844,1403.53,755219,248.417,-69.0573,53742.4,-6.46613,0.366203,88.2111,1.83808
902894,1936.01,656607,48652.2,1078.05,79559.1,37791,6139.48,13726.1,1.93124
857444,1630.17,623061,50424.3,1042.9,73106.5,27398.9,10843.9,5348.2,1.94524
999041,1897.62,585462,9069.5,3522.64,19483.2,4087.01,96.5258,352.606,1.9719
786961,1716.32,836639,36347,789.089,106977,47518.8,10441.3,9811.77,1.98208
723165,1851.12,462310,54789.7,158.44,50502.2,22251.2,53998.8,2313.28,2.04622
791168,1776.69,778829,1425.33,-144.543,32391.3,254.845,-350.06,441.014,2.06984
629135,1944.07,390931,14083.7,636.18,29821.7,6585.8,7419.41,680.799,2.69601
954478,1458.44,770076,1150.29,83.3167,137806,412.66,-278.938,472.063,2.73591
815659,2086.42,574601,27526.3,114.825,53161.7,20831.7,2698.92,8233.52,2.75799
764606,1416.55,806298,374.58,-276.374,37874.4,65.1214,-90.7233,204.729,2.99221
955368,1584.3,396835,33917.3,-202.682,39669.8,6595.01,9176.76,1896.44,5.26035
781714,2285.97,465828,45396.8,1585.29,70819.2,40378.5,20925,13559.1,5.33227
1.20E+06,2113.95,843084,45260.8,669.875,112433,46437.2,56071.6,14113.8,5.47936
767734,1642.82,566481,31604.6,887.689,85995.5,27633.3,8469.76,7762.58,5.49584
1.73E+06,1847.44,903055,34989.4,11124.5,66683.8,20101.1,501.129,975.72,5.50782
1.30E+06,1522.78,822384,28729.2,-1159.94,81258.3,23041.3,2140.26,5803.27,5.51774
1.37E+06,1529.46,645605,51670.7,193.197,67048.9,31431.1,5106.82,10690,5.62026
808491,1512.74,470401,72666.5,1090.37,88487.1,31275.8,9425.5,8901.15,5.70326
1.30E+06,1905.76,1.01E+06,94708.6,799.397,123301,50178.9,17450,7968.18,5.70788
1.10E+06,1613.14,1.04E+06,2064.82,86.1225,79078,274.732,-486.879,329.726,5.71526
1.19E+06,1766.62,1.06E+06,54887.9,5446.74,108245,45623.3,7314.3,7075.33,5.72646
1.54E+06,1854.34,877587,46800.9,-241.582,36281.8,4825.47,368.279,1264.35,5.77006
811206,1650.26,738294,51783,584.571,107263,32758.4,49303,3188.96,5.80246
673547,1957.67,455850,29147.6,1014.47,101798,28983.4,11796.5,6827.03,5.80416
657458,1476.78,504268,29922.6,1870.6,74174.8,19506.6,23902.5,1509.5,5.81098
805756,1638.89,480920,32966.3,440.54,49366.4,17898.6,6469.43,4294.22,5.818
792086,1787.85,728917,78869.7,361.564,81702.5,33455.7,4661.96,2401.62,5.81968
1.01E+06,1641.38,671697,62440.1,1328.37,124964,35741.7,5959.13,15333.2,5.82894
636550,1445.42,433825,32863.4,125.216,41011.4,17468.2,4525.08,3658.36,5.83978
1.42E+06,2428.05,788955,4015.17,-397.446,53400,4092.97,-358.051,135.584,5.85914
777184,1692.17,657739,14484.3,7645.24,92590,3426.28,133.988,1573.29,5.86662
873434,1846.22,638789,54081.3,372.191,72114,28443.1,6004.12,6897.66,5.86774
706401,1983.36,443456,29336.3,3681.46,20981.5,9426.38,6280.79,1117.37,5.8686
1.48E+06,1730.41,1.09E+06,44639.4,943.086,103438,31206.6,13151.6,2432.95,5.87608
1.02E+06,1491.71,910601,13286.2,-1591.9,57949.8,21229.4,4549.87,870.329,5.9177
934325,2218.1,548731,15242.7,641.508,37031.2,15498,1692.77,1807.66,5.93728
745875,1386.38,999483,338.534,-301.702,52149.1,159.841,-21.9744,137.482,5.9415
661399,1457.1,716768,180.36,196.406,28259.7,-36.3888,129.282,-72.8912,5.94504
859664,1738.61,421729,27892.6,16538.2,37192.3,6929.19,1457.65,1251.75,5.9651
