FSC-A,FSC-Width,SSC-A,B525-FITC-A,R712-APCA700-A,V450-PB-A,Y585-PE-A,Y763-PC7-A,R660-APC-A,Time,,B525-FITC-A,R712-APCA700-A,V450-PB-A,Y585-PE-A,Y763-PC7-A,R660-APC-A
748427,1664.73,528209,427.473,-669.206,8464.53,477.125,-158.471,447.391,6.70394,,,,,,,
875116,1600,583695,588.723,-563.623,8223.52,208.367,-834.857,288.98,6.7112,,,,,,,
878953,1844.03,623564,525.551,-793.212,9999.73,473.267,-230.612,543.303,6.74424,,,,,,,
937735,1786.4,780942,598.67,-878.13,9541.27,552.781,-671.079,465.442,6.75042,,,,,,,
911735,2467.48,715415,562.636,-118.381,12251.8,48.9895,75.8317,263.672,6.7522,,,,,,,
678431,1607.86,587055,354.977,-302.336,7265.32,89.5709,-241.312,354.145,6.76544,,,,,,,
868893,1748.16,585690,436.295,-303.005,12544.3,-88.8024,285,395.929,6.76872,,,,,,,
818484,1487.98,447892,353.476,-301.345,65817.3,163.639,-441.535,-183.025,6.7733,,,,,,,
911658,1557.77,854614,93.9231,-355.009,35405.5,-157.379,-263.724,283.212,7.93787,,,,,,,
601886,1460.69,551180,107.929,-219.211,47509.7,208.499,-282.597,256.836,7.95107,,,,,,,
766563,1492.59,388597,322.312,-348.446,5367.35,187.561,-289.599,317.385,7.96073,,,,,,,
781763,1756,457849,263.093,-153.247,7098.26,6.99028,-62.4453,358.022,7.96195,,,,,,,
1.07E+06,2158.68,893997,474.86,-597.161,11821.8,318.19,-612.668,406.065,7.96355,,,,,,,
1.23E+06,1780.96,719738,417.44,-652.933,12187.3,140.356,-326.032,607.576,7.97136,,,,,,,
992859,1897.57,1.02E+06,720.473,-977.967,13571.8,376.899,-193.779,599.405,7.97902,,,,,,,
1.03E+06,1961.02,773842,311.978,-259.246,12448.8,-148.011,-74.6109,397.257,7.9856,,,,,,,
657330,1863.65,443341,136.882,-256.809,5792.73,-134.629,4.00096,588.13,7.98646,,,,,,,
664079,1781.64,668999,339.158,-479.484,11495.8,211.667,324.309,430.5,7.98842,,,,,,,
867706,1649.24,503993,309.097,-157.932,8543.28,14.4368,440.411,401.304,7.99406,,,,,,,
1.18E+06,2420.07,742259,255.672,-827.284,9420.95,-57.2332,-188.945,556.53,8.10471,,,,,,,
