FSC-A,FSC-Width,SSC-A,B525-FITC-A,R712-APCA700-A,V450-PB-A,Y585-PE-A,Y763-PC7-A,R660-APC-A,Time,,B525-FITC-A,R712-APCA700-A,V450-PB-A,Y585-PE-A,Y763-PC7-A,R660-APC-A
1.21E+06,1975.01,1.18E+06,945.415,-1060.91,16540.9,197.779,-1052.67,486.011,9.77481,,,,,,,
873289,1641.81,496899,363.924,-564.17,7052.98,155.409,-350.393,502.546,9.77565,,,,,,,
1.03E+06,1886.85,679894,258.057,-366.267,8344.4,-97.6002,107.419,220.587,9.77575,,,,,,,
594253,1535.13,490888,395.164,-67.1264,7045.87,102.929,278.057,61.9375,9.77659,,,,,,,
793031,1970.49,562732,195.582,-591.408,4794.65,224.861,-453.497,296.333,9.78105,,,,,,,
816167,2283.13,622882,388.85,-394.361,8244.66,95.4,89.2023,263.728,9.78443,,,,,,,
1.04E+06,2837.95,662975,280.488,-214.615,6956.59,162.119,-219.052,602.009,9.78543,,,,,,,
1.14E+06,2019.42,775547,368.462,-196.083,9786.41,-53.1186,83.1755,634.901,9.78613,,,,,,,
797408,2061.61,710605,176.885,-274.875,9430.31,-163.469,-326.861,290.799,9.79022,,,,,,,
843417,1856.34,651881,169.242,-488.075,7372.32,8.28573,-577.744,308.152,9.79026,,,,,,,
1.73E+06,1655.64,1.26E+06,788.897,-1112.74,17798.3,497.125,-607.695,593.604,9.79034,,,,,,,
599800,1710.58,732010,624.841,-271.429,9025.22,97.6523,-425.83,100.193,9.79228,,,,,,,
968064,1735.83,638899,446.975,-635.319,10197.3,104.098,-424.652,442.34,9.7946,,,,,,,
1.40E+06,2025.69,635497,457.219,-317.774,8540.93,273.989,31.1854,388.699,9.7995,,,,,,,
1.48E+06,1821.47,1.24E+06,1008.89,-1258.12,19981.7,324.324,-1108.92,737.727,9.80016,,,,,,,
991452,1608.19,399637,62.4238,-42.2692,11325,318.836,-151.966,-2.60867,9.80236,,,,,,,
1.21E+06,1958.08,921171,570.029,-1044.94,13787.1,488.737,-625.935,372.369,9.80356,,,,,,,
741074,1587.89,438270,117.871,-208.744,5166.35,54.9428,-218.486,92.9326,9.80446,,,,,,,
893105,1553.67,615902,366.513,-537.407,10290.2,47.841,-153.584,518.116,9.80642,,,,,,,
1.65E+06,2238.31,1.13E+06,1021.75,-1022.2,16717.8,373.081,-669.485,607.985,9.80732,,,,,,,
861640,1607.07,618186,344.273,-417.693,7439.42,-19.3858,-126.696,328.794,9.81034,,,,,,,
1.25E+06,1955.39,692837,364.571,-684.63,7420.22,261.62,-506.063,148.669,9.8128,,,,,,,
1.04E+06,1652.01,799668,406.618,-393.478,10832.8,-382.264,191.742,387.972,9.81386,,,,,,,
1.32E+06,2595.13,1.05E+06,675.489,-481.766,15113.8,93.2262,-339.143,556.902,9.81394,,,,,,,
963726,2056.74,538870,297.026,-761.47,6339.03,268.799,-145.011,255.551,9.8196,,,,,,,
1.17E+06,1747.01,655836,208.682,-636.844,8278.67,134.226,-463.563,511.294,9.82248,,,,,,,
1.00E+06,1803.47,605531,257.975,-570.769,6865.63,-54.7311,-169.447,259.396,9.82268,,,,,,,
1.07E+06,1845.46,756130,631.634,-434.02,10212.3,417.429,631.354,461.029,9.82278,,,,,,,
972006,1747.25,625953,461.799,-710.271,9800.15,500.663,-418.147,834.296,9.82688,,,,,,,
617707,2060.63,458381,44.3049,33.17,5431.86,138.785,-34.4368,15.5474,9.83018,,,,,,,
1.06E+06,2208.5,652163,296.765,-748.151,9423.63,132.48,-239.45,587.064,9.831,,,,,,,
1.32E+06,1739.99,747170,805.897,-786.604,11144,207.689,-316.422,219.631,9.8353,,,,,,,
779581,1574.09,359176,303.727,-136.606,4885.35,-314.208,-382.289,165.243,9.83692,,,,,,,
1.22E+06,2172.1,759702,823.991,-803.312,12853.9,461.673,-171.192,675.779,9.838,,,,,,,
1.19E+06,2036.53,512115,429.517,-440.342,6604.15,569.618,-289.05,715.322,9.83824,,,,,,,
955307,2327.75,785276,445.216,-234.433,9038.68,-63.2843,-239.563,237.067,9.83958,,,,,,,
1.09E+06,2455.33,772291,428.745,-412.157,10113.1,112.472,-575.355,306.891,9.84156,,,,,,,
1.24E+06,1959.1,712868,352.322,-134.588,8582.35,221.188,-230.176,160.496,9.84176,,,,,,,
770893,1675.37,543671,538.369,-304.32,7804.68,-53.659,-101.883,195.213,9.84242,,,,,,,
1.02E+06,1850.59,797708,427.309,-661.714,9314.28,51.7759,-340.765,543.183,9.84272,,,,,,,
955116,2408.53,783372,307.675,-463.229,10486.9,495.456,-352.227,335.558,9.84396,,,,,,,
724238,1599.01,542361,350.03,-458.392,5116.2,225.234,-14.3528,201.272,9.84396,,,,,,,
1.11E+06,2787.36,742735,170.306,-281.187,9454.54,88.2254,-299.962,21.2402,9.84794,,,,,,,
1.06E+06,1998.67,580047,311.884,-193.697,6803.89,392.263,-18.2537,172.513,9.84958,,,,,,,
1.07E+06,2016.07,851588,602.883,-582.526,11055.5,57.1305,-167.802,266.056,9.85568,,,,,,,
1.31E+06,1796.82,717806,489.58,-560.587,9766.12,142.03,-161.457,157.135,9.8573,,,,,,,
1.20E+06,2310.18,643180,349.785,-670.213,7463.8,-279.08,-482.179,568.344,9.8601,,,,,,,
697966,1665.51,480498,89.9488,-476.985,5535.63,151.655,-294.262,63.844,9.86098,,,,,,,
1.01E+06,1528.46,659182,578.525,-548.136,9664.16,95.4448,-502.957,358.097,9.86252,,,,,,,
1.27E+06,1677.11,757439,342.295,-77.4055,10675.4,11.5518,-423.427,302.55,9.8628,,,,,,,
999325,1732.78,789143,453.82,-324.446,8361.58,355.637,-245.694,428.617,9.8651,,,,,,,
1.18E+06,1844.21,797801,894.023,-1265.84,15399.9,329.219,-308.834,685.9,9.8652,,,,,,,
893066,1762.88,734377,472.886,-204.267,8155.41,11.3116,-151.489,179.778,9.86648,,,,,,,
1.31E+06,2501.15,794510,1147.72,-1047.97,13458.3,630.278,-397.774,826.346,9.8673,,,,,,,
753127,1886.76,524907,658.496,-649.353,8885.36,322.669,-409.144,541.12,9.86826,,,,,,,
1.12E+06,1736.55,772686,408.518,-358.441,10076,263.839,-212.185,108.449,9.8688,,,,,,,
948225,1846.62,1.12E+06,414.991,-490.219,12382.1,233.581,-52.0018,241.322,9.87156,,,,,,,
1.17E+06,1860.46,920782,389.329,-562.028,11199.6,-139.126,-385.697,220.352,9.8726,,,,,,,
1.23E+06,2254.96,726987,624.938,-554.335,9941.79,408.117,-494.636,427.421,9.87665,,,,,,,
1.07E+06,1828.31,697372,324.051,-6.73712,8718.17,265.863,-289.351,-13.1879,9.87953,,,,,,,
940724,1486.65,622940,462.363,-514.674,7463.17,197.081,-571.157,113.707,9.88013,,,,,,,
929935,2157.35,919479,612.626,-381.338,10216.1,374.641,80.7701,327.911,9.88076,,,,,,,
1.12E+06,1692.73,659694,306.923,-141.169,7900.9,51.1962,-11.6684,326.636,9.88131,,,,,,,
1.16E+06,1661.07,794190,333.571,-615.738,9055.89,227.934,-489.59,172.258,9.88167,,,,,,,
1.05E+06,2119.64,581394,625.538,-991.222,10598.2,542.949,-317.38,394.796,9.88335,,,,,,,
881923,1741.29,545440,252.779,-497.17,6807.88,407.577,-236.841,180.102,9.88363,,,,,,,
846067,1804.37,740338,215.281,-830.081,8420.74,250.938,-381.206,239.835,9.88379,,,,,,,
881292,1597.49,535386,65.1174,17.2271,5203.94,-42.8558,35.0906,389.637,9.88381,,,,,,,
1.42E+06,2606.4,1.09E+06,354.366,-538.638,14298.4,81.5598,-980.681,415.921,9.88387,,,,,,,
1.11E+06,2248.39,750857,310.907,-260.264,9642.45,458.613,-91.5518,208.588,9.88681,,,,,,,
1.32E+06,2196,960189,1145.59,-2012.06,18893.1,724.912,-1003.46,677.333,9.88721,,,,,,,
860960,1749.72,684900,236.106,-451.509,7852.76,101.913,-220.159,170.837,9.88821,,,,,,,
1.10E+06,1887.39,751864,610.073,-379.05,12738.4,80.0498,-156.768,340.721,9.88957,,,,,,,
1.07E+06,1768.18,662887,498.805,-303.648,7458.52,97.309,-528.698,58.6625,9.89023,,,,,,,
1.31E+06,2027.31,872958,582.318,-836.573,12341.6,351.786,-311.577,273.372,9.89095,,,,,,,
862550,1928.36,608074,201.585,-122.933,6604.75,293.985,-121.439,21.4497,9.89469,,,,,,,
749317,2138.28,561128,412.443,-623.541,7739.17,-113.908,90.7893,406.453,9.89485,,,,,,,
601404,1721.37,566950,310.657,-296.408,9165.94,212.101,-167.276,151.535,9.89509,,,,,,,
1.48E+06,2048.84,949636,610.55,-706.482,12613.8,186.225,-299.614,442.301,9.89603,,,,,,,
1.21E+06,1915.97,767462,657.268,-492.94,11519,302.55,-180.737,368.239,9.89643,,,,,,,
593795,1563.64,403791,222.805,-413.388,6177.01,381.754,-450.309,211.006,9.89701,,,,,,,
1.10E+06,2569.57,836002,353.998,-677.84,11849.2,110.341,-275.032,415.194,9.89903,,,,,,,
1.02E+06,1767.27,639883,463.755,-642.565,7449.86,72.8264,-165.143,362.854,9.90085,,,,,,,
1.37E+06,2004.7,979203,499.892,-147.898,10777.2,394.25,-394.174,385.195,9.90307,,,,,,,
1.00E+06,2292.4,846247,600.246,-763.819,9978.11,415.182,-834.696,381.204,9.90445,,,,,,,
593743,1679.02,403696,488.449,-835.489,6434.85,-76.0885,-589.384,423.259,9.90525,,,,,,,
1.25E+06,1857.41,743870,510.203,-488.742,9830.9,148.337,-264.769,139.647,9.90541,,,,,,,
1.15E+06,2060.26,606326,477.805,-482.937,8893.11,450.081,-325.528,544.609,9.90849,,,,,,,
788050,1858.3,653808,295.692,-309.865,8748.55,23.5693,-164.387,357.609,9.90865,,,,,,,
821297,1474.15,353871,130.457,-707.482,6102.5,225.277,-517.968,301.891,9.90953,,,,,,,
1.16E+06,2178.74,687721,301.582,-679.255,9199.75,215.714,-160.985,515.283,9.91157,,,,,,,
1.27E+06,1975.28,754868,473.637,-740.687,8495.68,485.03,-492.511,252.845,9.91197,,,,,,,
1.13E+06,1857.11,792767,447.942,-221.651,9243.91,31.6694,135.021,227.223,9.91201,,,,,,,
1.11E+06,1649.21,421304,334.629,-430.323,15335.2,-156.258,-779.731,137.42,9.91267,,,,,,,
1.34E+06,2232.63,1.01E+06,591.469,-1036.73,14469.4,310.644,-210.339,383.342,9.91503,,,,,,,
768512,2152.08,547233,276.998,-255.694,6680.41,170.04,-503.625,97.512,9.91535,,,,,,,
1.25E+06,2024.52,924653,571.04,-1300.3,12243.9,402.67,-591.974,468.401,9.91547,,,,,,,
943104,2302.62,916145,608.133,-697.917,11458.3,429.626,-262.782,181.453,9.91587,,,,,,,
1.68E+06,1889.12,1.13E+06,1032.29,-1832.73,19765.6,229.244,-1096.55,937.564,9.91731,,,,,,,
656617,2040.67,738118,489.334,-577.88,12738.9,59.2711,-37.9372,502.063,9.91921,,,,,,,
872980,1651.27,550306,480.692,-580.248,8726.61,196.141,18.1521,277.673,9.91993,,,,,,,
1.28E+06,1762.09,870363,399.073,-743.163,13905.8,657.225,-775.599,453.5,9.92387,,,,,,,
729761,1945.7,535452,83.8234,-13.4998,5059.19,-172.889,-199.146,13.6368,9.92393,,,,,,,
841819,1943.03,653810,476.234,-254.559,8330.33,279.661,246.667,443.757,9.92423,,,,,,,
607471,1537.26,386529,141.397,-10.7349,3983.24,-159.509,-284.701,116.978,9.92469,,,,,,,
1.17E+06,1720.69,817027,479.338,-1174.44,11436.7,683.563,-517.148,714.173,9.92573,,,,,,,
620774,1614.69,424549,201.747,-176.541,5664.37,-66.1211,-143.594,201.023,9.92709,,,,,,,
1.22E+06,1820.93,886080,895.561,-1386.73,14752.5,863.614,-458.429,766.381,9.92849,,,,,,,
776989,2022.79,496359,210.706,-34.1378,5750.79,-93.4282,-75.7645,246.455,9.92933,,,,,,,
854710,1685.51,492976,113.951,47.6273,7948.4,-51.3278,-163.77,-25.5844,9.92935,,,,,,,
837817,1848.62,650963,663.858,-713.558,7356.33,461.936,-554.941,200.751,9.92985,,,,,,,
1.05E+06,1522.88,740276,267.487,-512.52,10350.3,388.348,-19.6196,269.266,9.93027,,,,,,,
800005,1974.4,655082,208.205,-203.484,7265.41,36.1338,-527.697,194.668,9.93327,,,,,,,
1.28E+06,1794.2,1.01E+06,983.732,-2067.83,18360.5,450.168,-1417.84,695.484,9.93387,,,,,,,
881262,1553.83,699518,182.343,-223.747,8266.66,5.64606,-372.499,216.433,9.93391,,,,,,,
1.17E+06,1856.23,777624,353.632,-711.273,9491.03,114.048,-882.362,433.255,9.93401,,,,,,,
980451,2036.04,638083,482.322,-392.878,8620.87,408.176,-600.3,124.079,9.93419,,,,,,,
1.35E+06,1945.54,927832,868.536,-1224.92,16140.5,337.008,-1079.43,879.716,9.93493,,,,,,,
1.36E+06,2386.84,991899,349.699,-764.304,12268.7,138.306,-337.051,629.475,9.93545,,,,,,,
1.29E+06,1901.16,938816,648.034,-654.503,11242.6,27.7196,-434.581,419.668,9.93665,,,,,,,
1.48E+06,2284.41,629616,421.752,-473.115,7896.12,-27.8577,-406.373,362.1,9.93765,,,,,,,
1.39E+06,2390.68,809843,555.551,-971.202,12830.4,546.401,-614.443,153.611,9.93779,,,,,,,
1.32E+06,1607.21,550628,345.53,-433.262,5091.62,161.29,-13.9551,214.105,9.93891,,,,,,,
926717,1698.38,538783,90.91,-149.562,7581.09,262.456,2.85795,344.384,9.93963,,,,,,,
556577,1876.22,514235,294.728,-814.539,7633.01,311.887,-395.188,374.726,9.93991,,,,,,,
1.72E+06,2416.54,1.02E+06,581.387,-174.441,10157.8,224.147,13.0074,292.421,9.94059,,,,,,,
869343,1855.09,451919,337.749,-597.702,5081.24,365.181,-855.022,291.296,9.94177,,,,,,,
686887,1995.27,519598,295.446,-303.036,6120.4,330.742,169.541,139.599,9.94329,,,,,,,
1.25E+06,1967.73,933945,634.492,-608.364,11476.2,317.553,-445.337,206.386,9.94695,,,,,,,
1.31E+06,2373.04,832522,641.058,-1293.66,11935.2,411.346,-847.147,392.878,9.94719,,,,,,,
1.19E+06,2306.64,952626,488.912,-629.305,12040.7,167.272,-4.75646,373.823,9.95195,,,,,,,
887493,1666.55,679834,618.369,-786.737,9710.52,-68.327,-20.0673,365.482,9.95245,,,,,,,
1.29E+06,2064.56,767936,439.896,-590.209,10265.7,372.931,-609.84,344.603,9.95329,,,,,,,
696812,1651.24,597370,542.079,-591.685,9052.78,234.286,-1.75414,400.355,9.95427,,,,,,,
1.02E+06,2085.01,655079,281.224,-479.638,9102.29,-72.4507,-232.623,418.131,9.95483,,,,,,,
824074,1496.79,467992,480.842,-189.171,6850.68,142.372,-98.0914,153.128,9.95521,,,,,,,
802070,1860.31,490945,202.418,-47.6639,4946.92,-91.54,-225.616,56.9944,9.95541,,,,,,,
1.03E+06,2100.27,790584,595.583,-828.87,11500,112.805,-433.337,471.905,9.95745,,,,,,,
589800,1784.57,510760,378.969,-524.45,7827.96,331.223,-651.659,281.61,9.96113,,,,,,,
935459,1987.03,503520,-96.1683,-50.8649,6366.25,458.076,-22.3874,263.99,9.96265,,,,,,,
718684,1587.05,361649,110.882,-398.91,5170.75,484.198,-499.691,86.2662,9.96291,,,,,,,
950464,2342.62,643032,448.637,-240.456,9001.14,238.614,-58.996,18.2202,9.96315,,,,,,,
888268,1592.35,645093,414.633,-392.183,11931.5,-139.005,-217.515,328.991,9.96511,,,,,,,
901500,2050.25,818859,413.309,-451.135,9412.46,-17.9011,-121.729,608.714,9.96627,,,,,,,
1.14E+06,2120.21,942813,190.635,-422.629,9632.73,-58.276,-288.036,419.553,9.96747,,,,,,,
891703,1706.35,543707,340.241,-563.755,8069.3,335.857,-506.415,421.467,9.96766,,,,,,,
592489,1567.59,403727,15.2433,-496.782,5862.47,-215.362,-285.664,259.123,9.97048,,,,,,,
980908,1850.52,477968,277.788,-455.877,6156.49,230.823,-314.928,204.452,9.97099,,,,,,,
816784,1555.76,595423,472.37,-713.593,9666.9,-177.799,-715.203,1860.89,9.97216,,,,,,,
874528,1615.45,514253,376.956,-614.132,8709.73,65.0371,-471.883,337.692,9.9728,,,,,,,
891433,2069.6,650126,354.527,-389.036,7833.62,137.517,-509.936,173.732,9.97616,,,,,,,
898961,1603.52,630141,393.177,-473.978,8005.88,43.4066,-216.34,253.104,9.97712,,,,,,,
831008,2143.15,445401,260.803,-134.414,4209.27,163.602,329.343,99.5835,9.97726,,,,,,,
663187,1625.99,527927,310.33,-120.411,4509.04,266.513,-438.066,3.63398,9.97842,,,,,,,
1.21E+06,1878.5,841247,447.705,-292.763,13313.2,355.995,-560.392,286.043,9.9787,,,,,,,
1.01E+06,1574.66,566876,264.232,-493.042,7593.65,189.157,-478.793,507.698,9.97894,,,,,,,
801235,1881.8,526797,453.37,-339.704,5844.81,-142.951,5.31812,192.468,9.97922,,,,,,,
1.06E+06,1914.47,683308,480.671,-272.421,7158.75,-251.411,-378.685,362.129,9.97946,,,,,,,
1.63E+06,1981.08,1.10E+06,386.071,-892.364,13802.2,325.717,-43.8515,451.175,9.97996,,,,,,,
871307,2386.48,621066,177.188,-363.02,7466.01,-198.567,-344.91,471.581,9.98108,,,,,,,
970145,1906.95,750783,504.966,-461.666,8964.02,149.043,-609.097,219.902,9.9838,,,,,,,
754860,1597.29,529835,321.154,-237.777,12093.6,-149.855,-235.181,284.605,9.98432,,,,,,,
1.01E+06,1981.84,821273,786.093,-295.181,9035.44,-147.872,-192.513,381.122,9.98478,,,,,,,
732395,1493.35,507211,280.756,-805.27,9188.81,404.463,-453.539,584.589,9.9863,,,,,,,
826507,1601.03,664457,442.15,-500.896,9661.8,155.984,-454.409,108.334,9.98856,,,,,,,
963300,2228.49,1.02E+06,617.168,-926.899,13800.2,417.711,-226.527,525.66,9.99018,,,,,,,
1.20E+06,1743.19,649837,150.922,-37.2987,9039.5,121.621,255.414,277.638,9.99366,,,,,,,
1.03E+06,1704.29,542241,388.905,-1077.38,10711.3,227.808,-370.402,681.075,9.9937,,,,,,,
846941,1464.94,575646,56.1127,-616.39,7027.25,358.973,-595.08,275.317,9.99394,,,,,,,
958619,1563.44,560629,540.998,-561.133,6973.96,330.868,-292.693,296.474,9.99494,,,,,,,
1.12E+06,2067.49,736525,350.135,-709.172,7371.7,234.19,182.694,256.193,9.99524,,,,,,,
952692,1939.54,540506,432.858,-245.558,6014.2,-45.9028,-403.163,385.126,9.9965,,,,,,,
1.01E+06,2009.76,984439,579.029,90.8261,9679.64,-32.4684,162.478,475.464,9.9967,,,,,,,
837564,1742.37,683426,577.587,-321.322,10970.1,123.675,-478.398,239.539,9.99724,,,,,,,
1.26E+06,1976.26,956399,573.181,-998.364,16715.6,-340.203,-634.77,565.122,10.0001,,,,,,,
680674,1598.35,507117,150.443,-161.272,7509.21,-4.23173,-287.72,358.218,10.0004,,,,,,,
851712,1779.5,491308,390.233,-262.257,7396.26,226.545,-83.1753,330.154,10.0007,,,,,,,
900115,1705.67,670726,503.333,-497.549,11685.4,253.569,16.9309,670.814,10.001,,,,,,,
715788,1670.6,508826,355.132,-365.384,6871.82,133.226,-204.316,379.316,10.002,,,,,,,
1.05E+06,2075.71,953039,343.198,-412.777,11082,607.524,-256.999,266.778,10.0032,,,,,,,
1.26E+06,2161.16,899262,612.233,-708.784,11381.8,350.44,-221.31,693.434,10.0054,,,,,,,
1.33E+06,1733.07,817148,792.197,-1056.54,10826.8,-77.7379,-309.681,372.783,10.0093,,,,,,,
1.22E+06,1820.2,1.12E+06,630.719,-806.551,17301.7,416.933,-46.1573,663.071,10.0111,,,,,,,
779540,1871.22,698573,41.2231,-463.488,7533.22,408.627,-82.0018,233.612,10.0114,,,,,,,
1.28E+06,2503,865851,567.026,-6.82962,12154.6,139.181,239.008,233.068,10.0117,,,,,,,
1.39E+06,2392.71,1.04E+06,643.461,-1529.39,15086.2,499.734,-842.171,1002.49,10.0127,,,,,,,
1.11E+06,2437.92,708467,541.608,-978.074,11050.7,348.31,-615.469,892.033,10.0128,,,,,,,
1.26E+06,2544.18,803834,403.485,-100.235,8485.32,-49.9347,-24.9758,146.017,10.014,,,,,,,
883786,1903.11,756694,525.066,-408.81,9782.17,393.171,-250.998,33.5987,10.0147,,,,,,,
1.24E+06,1802.97,855265,425.415,-1001.77,10102.5,755.049,-817.082,453.843,10.0147,,,,,,,
858721,1789.82,404813,409.299,-334.265,8353.43,77.363,-362.693,144.332,10.0159,,,,,,,
948607,1595.64,617694,232.032,-525.625,6971.66,173.858,-410.199,292.546,10.0161,,,,,,,
1.22E+06,1699.97,811697,452.459,-708.091,12618.3,467.393,-343.932,475.247,10.0164,,,,,,,
1.34E+06,1925.2,824332,478.496,-198.326,10864.3,260.151,-342.502,252.52,10.0166,,,,,,,
989620,2261.62,695523,408.985,-1044.04,10526.4,355.401,150.008,534.538,10.0166,,,,,,,
1.25E+06,1694.05,567751,369.395,-14.4815,6321.83,102.853,-167.459,29.8851,10.0173,,,,,,,
1.70E+06,2232.3,1.14E+06,828.201,-750.268,19196.7,341.62,-259.753,562.627,10.0174,,,,,,,
804233,2055.55,511317,272.412,-102.864,8223.91,-184.219,-318.274,267.953,10.0183,,,,,,,
874931,1713.76,624864,395.989,-535.025,10100,93.0596,-456.348,333.06,10.0208,,,,,,,
1.12E+06,1808.13,804755,548.07,-289.907,9014,144.747,-184.551,81.5799,10.0217,,,,,,,
765995,1763.69,632588,248.043,-364.303,9568.85,457.935,74.5356,29.9266,10.0218,,,,,,,
1.34E+06,2104.41,996182,282.012,-497.064,9386.11,43.9263,23.2714,599.462,10.0248,,,,,,,
1.33E+06,1760.03,1.23E+06,791.686,-520.253,14218,305.168,-295.528,243.607,10.0258,,,,,,,
922617,1655.33,451343,426.485,-410.621,6538.39,1.07241,72.305,472.311,10.0279,,,,,,,
1.66E+06,1860.2,872675,600.069,-450.016,11655.9,272.324,-824.495,262.938,10.0289,,,,,,,
842596,1732.7,673427,532.411,-870.208,11248,212.882,-279.459,339.513,10.0339,,,,,,,
733312,1848.37,608018,402.109,-263.552,7575.36,210.777,-30.8406,267.921,10.0341,,,,,,,
922953,1752.11,680134,621.432,-803.405,11452.4,-157.292,-433.376,430.733,10.0378,,,,,,,
1.48E+06,2146.92,642191,462.643,-523.168,7111.83,-74.6066,-539.667,308.14,10.0396,,,,,,,
1.42E+06,1999.35,1.08E+06,1030,-1203.93,17912.2,331.285,-670.557,944.459,10.0416,,,,,,,
1.09E+06,2100.84,782333,673.621,-630.537,10522.9,238.377,-365.175,444.442,10.0428,,,,,,,
848836,1900.02,783829,391.16,-159.209,8715.42,203.978,35.8559,260.539,10.0439,,,,,,,
1.25E+06,2616.46,672898,434.025,-402.852,7020.53,116.24,26.0377,692.81,10.0467,,,,,,,
1.00E+06,1713.62,482762,332.186,-558.421,10422.4,-143.961,-288.781,415.4,10.0479,,,,,,,
884437,1921.94,591474,477.782,-299.609,7235.14,58.8906,-207.489,43.2368,10.0505,,,,,,,
623926,1821.89,691991,313.919,-742.814,10219.8,430.894,22.3036,406.654,10.0505,,,,,,,
1.58E+06,2423.11,1.38E+06,942.886,-1040.52,20907.7,147.999,-1088.72,575.887,10.0514,,,,,,,
1.51E+06,1602.62,814496,1017.93,-895.547,17767.5,374.884,-585.225,433.931,10.0516,,,,,,,
1.44E+06,1943.33,952582,668.382,-757.222,14139.8,-21.3544,-101.24,575.486,10.0518,,,,,,,
984543,2367.93,783052,406.815,-465.595,10661.9,493.096,-182.23,285.066,10.0572,,,,,,,
1.59E+06,2129.52,1.08E+06,547.515,-981.185,14382.4,614.882,-347.72,672.499,10.058,,,,,,,
855461,1748.15,456213,15.8598,-202.019,15573.5,-157.62,242.054,112.713,10.0587,,,,,,,
1.52E+06,2003.99,1.05E+06,616.664,-381.373,12528.9,217.659,30.0149,508.993,10.0602,,,,,,,
1.06E+06,1694.4,844873,311.732,-346.233,9271.81,150.039,-122.333,264.079,10.0621,,,,,,,
1.02E+06,1826.87,745660,682.598,-345.794,9833.39,326.181,-277.347,211.158,10.0625,,,,,,,
888467,2252.05,807885,778.159,-837.402,11855.7,194.834,-627.158,123.987,10.0632,,,,,,,
891946,1732.14,495490,198.516,-494.534,6998.6,77.1317,-306.986,293.685,10.0636,,,,,,,
1.03E+06,1880.02,623049,380.486,-164.642,7267.94,128.254,-507.209,110.609,10.0664,,,,,,,
586140,1959.46,609716,324.154,-381.937,7235.67,319.948,-182.401,360.824,10.0679,,,,,,,
972287,1648.75,544236,-21.7532,-166.371,6624.01,-18.7891,-155.393,16.8675,10.0699,,,,,,,
932657,1599.82,590576,481.387,-423.338,8700.14,-84.3321,-288.814,226.261,10.0749,,,,,,,
1.31E+06,1974.33,727125,592.712,-484.829,7655.98,384.741,-650.228,241.193,10.0772,,,,,,,
817249,1566.31,376021,204.449,-213.867,5236.7,384.786,-444.604,210.033,10.0787,,,,,,,
1.46E+06,1900.12,889667,363.766,141.828,11599,168.42,-349.651,499.346,10.0853,,,,,,,
1.71E+06,2126.39,1.21E+06,604.605,-1395.18,14288.7,-113.138,-928.102,1055.04,10.0858,,,,,,,
1.34E+06,2258.8,1.04E+06,738.268,-668.942,13366.2,224.802,-729.676,687.694,10.0865,,,,,,,
1.32E+06,1792.06,942429,353.943,-135.861,9441.31,-68.5406,-104.449,139.928,10.0916,,,,,,,
794151,1625.66,583545,263.236,-434.473,6926.7,29.6989,-441.945,409.598,10.0917,,,,,,,
1.49E+06,2468.86,883781,980.274,-1047.79,15678.7,80.3052,22.7213,332.299,10.0926,,,,,,,
1.23E+06,1900.9,906361,417.667,-916.351,9268.17,250.309,-86.0766,315.6,10.0937,,,,,,,
848930,1547.95,500577,281.346,-408.856,5765.02,-10.0974,-216.195,388.1,10.0962,,,,,,,
860775,1732.89,659765,719.253,-1123.97,14250.4,223.506,-517.309,443.548,10.0985,,,,,,,
1.24E+06,1873.65,1.01E+06,541.686,-781.777,12849.1,240.908,376.538,319.394,10.0992,,,,,,,
1.00E+06,1777.07,989598,320.061,-853.795,12021.8,290.614,-498.945,492.24,10.1,,,,,,,
1.29E+06,1835.79,976297,538.223,-484.405,11881.2,82.0376,-363.873,293.373,10.1004,,,,,,,
840106,1923.44,877592,201.43,-210.945,10017.1,268.566,67.6217,141.019,10.1038,,,,,,,
837838,1658.52,615935,459.783,-863.193,9775.73,315.224,-332.399,285.077,10.1131,,,,,,,
1.10E+06,1827.12,812405,636.99,-1025.69,10580.8,334.547,-313.312,457.622,10.1154,,,,,,,
1.08E+06,1613.91,589909,297.694,-232.396,6997.38,-224.391,5.21078,423.374,10.1155,,,,,,,
1.02E+06,1625.52,594778,511.43,-200.375,7251.96,356.954,-215.44,-12.0038,10.124,,,,,,,
1.15E+06,2358.83,999190,505.739,-769.664,12277,275.011,-264.591,619.563,10.1313,,,,,,,
1.05E+06,2032.74,784611,414.783,-1071.4,11180.3,231.086,-843.439,265.792,10.1327,,,,,,,
916586,2355.32,491469,229.673,-85.9354,5930.21,-35.7721,-111.334,112.686,10.1358,,,,,,,
1.13E+06,1516.02,727161,454.613,-580.76,9612.71,41.7156,-331.208,249.117,10.1361,,,,,,,
1.52E+06,1824.9,1.05E+06,965.327,-1390.21,18044.3,236.835,-929.602,751.27,10.2699,,,,,,,
667441,2022.79,492566,436.558,-148.17,6490.92,96.0812,9.8691,234.043,10.2817,,,,,,,
769250,2067.92,592361,173.389,-143.165,7980.15,44.7134,-207.764,307.5,10.2883,,,,,,,
1.41E+06,1927.19,818547,579.582,-847.266,13234.6,620.06,-675.227,726.348,10.2912,,,,,,,
1.45E+06,2050.44,1.10E+06,675.564,-830.19,15258.6,205.343,-210.352,679.988,10.297,,,,,,,
1.29E+06,2236.1,1.25E+06,602.786,-434.274,13934.1,-98.6006,-473.746,555.228,10.2986,,,,,,,
