FSC-A,FSC-Width,SSC-A,B525-FITC-A,R712-APCA700-A,V450-PB-A,Y585-PE-A,Y763-PC7-A,R660-APC-A,Time
773620,1364.61,962320,391.046,-237.574,41441.8,172.263,54.037,23.9346,0.0670618
1.78E+06,2057.16,1.21E+06,39047.9,-3285.66,88118.9,34076.2,97326.3,9977.91,0.195602
1.20E+06,1603.02,1.05E+06,593.304,-174.631,62437.5,-154.93,-429.138,199.008,0.354657
692372,1741.88,703469,14044.7,1699.5,52242.8,31385.3,5646.47,4201.6,0.454058
744560,1425.4,654005,39915.8,2924.16,64318.6,18050.5,25992.8,2450.3,0.463656
626033,1603.44,317427,28221.4,124.573,22487.7,7252.2,2694.03,1558.54,0.467049
1.11E+06,2010.18,702276,59917.3,97.8208,69967.1,33098.5,8841.48,13153,0.477464
633724,1457.31,694406,14893.5,-64.5733,22360.1,6401.92,2795.81,1126.36,0.514463
943201,1544.81,471760,7998.46,-217.037,40151.1,1341.08,720.469,642.168,0.515171
819938,1820.5,829107,53985.1,1098.27,130379,57327.7,12184.3,11570.4,0.549744
873751,1509.58,485114,31999.7,25251.7,24509.8,12165.4,2676.26,3190.54,0.569499
656287,2006.51,461286,27224.9,85.5843,47458,18749.6,7540.55,7841.39,0.573085
1.06E+06,1887.84,655492,6492.07,6768.29,21694.5,2957.01,-242.112,926.975,0.584874
1.13E+06,1691.36,721835,58725.1,14.7198,74648,36766.8,6140.42,12165.1,0.633941
740953,1568.02,551101,34518,-249.395,65123,28189.5,15842.9,6022.5,0.637227
905742,1953.97,792217,32201.9,380.239,68522.5,25891.7,16326.7,3440.84,0.659302
905732,1792.06,634984,48355.5,402.104,75613.9,26349.8,11066.9,13984.6,0.673496
625438,2088.22,468375,27186.7,-185.59,54208.3,29636.8,2303.09,4833.45,0.715262
1.72E+06,1683.24,1.05E+06,8425.9,-661.357,30494.2,471.304,-698,938.178,0.726535
1.56E+06,1827.88,1.05E+06,5518.79,-879.361,32307.2,3121.55,544.326,973.72,0.749834
694897,1435.62,495364,24625,1425.7,35754.3,13859.1,17364.1,3443.78,0.75808
752783,1352.52,948414,747.535,282.478,50116.7,354.838,-98.3724,4.72395,0.774443
707759,1925.26,572379,29165.9,68822.1,22435.3,11235.5,3687.81,5218.69,0.795422
760642,1703.63,395241,3660.34,362.337,34904.6,893.772,934.698,1062.07,0.829737
557606,1492.48,409353,207.462,-355.799,23929,-35.6892,-350.568,110.001,0.8499
592161,1681.79,402116,7664.87,-736.266,17629.2,5496.95,315.854,511.172,0.882776
807175,1469.47,421159,15008,-496.984,39736.4,10604.2,2822.04,6953.78,0.88297
1.19E+06,2134.14,396505,228.257,-38.5714,5719.46,-37.5109,-9.68123,132.674,0.884537
1.32E+06,2006.84,900788,33770.7,-734.778,58484,11092.4,856.047,6527.88,1.22756
743054,1871.49,476085,2973.86,-331.737,26270.6,677.804,-844.939,303.497,1.2547
783633,2248.03,419022,-58.3506,375.28,75042.8,245.447,611.112,173.846,1.25727
945065,1385.31,500841,102.643,186.658,3858.59,219.729,-266.264,516.943,1.26181
853698,1443.73,511646,3891.47,-64.8698,19490.3,1376.32,70.5523,571.85,1.26786
772706,2231.99,416668,-58.8711,-19.2761,11200.6,186.068,-154,149.951,1.55406
693578,2167.53,756093,18489.1,23627.2,29629.3,11157.5,14776.5,2758.49,1.89532
