"FSC-A","FSC-Width","SSC-A","B525-FITC-A","R712-APCA700-A","V450-PB-A","B690-PC5.5-A","Y585-PE-A","Y610-mCHERRY-A","Y763-PC7-A","R660-APC-A","Time"
65684.2,811.853,10736.5,15.1864,31.3151,2555.14,39.3124,-18.5707,-23.0858,-27.272,-5.51011,0.289991
143818,1066.31,239826,33.2876,110.49,7659.75,-57.2634,91.4132,-30.538,186.069,-85.8318,0.291732
104540,1016.8,75708.9,232.107,-234.338,769.912,375.646,394.606,117.981,-125.106,-46.896,0.296254
79892.4,895.849,39409.3,-21.902,429.433,1247.81,323.64,297.724,58.7246,-176.647,32.8898,0.306938
186654,1099.43,257824,151.8,-228.958,11145.6,167.464,-155.734,-40.9412,-47.1424,37.9318,0.306978
581419,1369.65,1.09694e+06,36.5521,-151.501,31989.8,129.931,101.093,40.4512,45.1385,184.613,0.324546
76678.9,943.729,24266.2,50.2768,-68.1054,3999.88,24.6627,50.4143,1.18196,-9.48296,71.7569,0.325327
465600,1205.22,195484,226.803,-105.679,43427.4,399.445,-315.062,-66.7949,-243.355,123.44,0.334111
185598,1133.42,195794,-28.8381,46.2679,11535.4,-294.95,441.094,104.659,102.373,-91.7019,0.334291
544269,1596.61,337204,331.14,2034.61,8439.16,838.921,119.452,-12.5819,-212.482,-15.9467,0.335731
1.01903e+06,1701.52,1.06638e+06,31.1871,18.694,26161.2,290.368,239.243,46.9189,-284.435,-17.4667,0.336992
315883,1201.04,299242,180.189,-12.3459,8766.6,-105.27,530.733,124.049,94.9173,73.0296,0.344475
65216,872.09,38360,-40.1742,-93.8587,4025.36,172.821,-83.5168,-3.38034,-99.6838,-40.131,0.345076
163125,1096.86,104230,18.9675,354.714,9538.01,-381.149,83.1611,25.4196,396.681,123.991,0.346576
113190,1041.2,185123,-93.356,-174.29,669.338,66.2747,120.653,2.89759,13.4488,122.611,0.348617
155298,1141.3,72998.6,88.1242,186.125,8236.29,189.164,41.5469,8.2347,-279.949,58.0962,0.349438
199799,1134.87,139456,175.673,-220.668,13098.2,210.219,-257.843,-32.973,-175.96,143.311,0.349658
