FSC-A,FSC-Width,SSC-A,B525-FITC-A,R712-APCA700-A,V450-PB-A,Y585-PE-A,Y763-PC7-A,R660-APC-A,Time
886607,1977,738347,57973.4,488.198,63704.5,22545.3,41210.8,8992.62,0.0924287
820490,1785.61,935243,29633.6,915.594,42765.4,61959,12609.2,9137.57,0.100493
680328,2073.82,739071,33369.8,4446.6,51090,29648.8,7390.09,4286.77,0.11458
766043,1748.3,472970,50943.5,81824.7,54486.5,40736,19093.9,9489.63,0.155842
837398,2006.49,849755,30323.9,1622.13,135706,13907.6,13572.3,1909.85,0.17059
636332,2086.17,560756,61558.2,80720.9,47529.8,31557.8,19940,4528.51,0.186358
615357,1439.59,444629,52281.2,-315.63,45853.2,22978.5,18809,7868.17,0.199565
997300,1854.87,743945,55436.5,-462.616,41022.7,6161.83,1449.05,1286.48,0.203387
598652,1812.85,384846,16884.8,52.6923,27294.6,14837.1,9273.89,5665.91,0.239446
720126,1619.6,484342,14307.9,106.23,24439.1,10762.6,16663.5,4414.14,0.242588
1.02E+06,1493.74,643790,47059.4,855.729,57842.2,23871.7,18222.8,5959.42,0.256595
657449,1510.26,526511,50160.9,714.259,68334.3,20539.6,6408.97,5434.11,0.263579
1.11E+06,1715.72,882864,50415.5,84294.5,58676.1,13358.9,22438.5,4178.65,0.277086
736958,1946.77,689951,46877.2,-41.9641,37349.8,19043,13558.9,1938.01,0.294755
1.22E+06,1670.46,667950,18176.1,48706.3,47833.2,7557.06,228.929,1687.5,0.343381
589401,1483.03,470175,62873.5,201.639,52106.1,22093.1,13771.3,9296.67,0.378199
974276,1809.74,1.04E+06,57239.3,77235.9,70214.6,22229.6,33477.9,3921.92,0.410736
857788,1713.54,556081,33417.7,-126.026,52800.3,18456.9,18067.7,6759.69,0.433148
1.38E+06,2443.87,1.02E+06,33076.8,-86.5512,85956.9,25931.1,6233.51,3990.77,0.460783
677458,1964.54,658386,65359.4,-35.8709,51755,18768.2,6350.58,2067.41,0.51315
749123,1542.4,491662,46689.9,-130.912,64035.1,23402.6,26368.9,2217.73,0.536462
916583,1843.3,730465,81719.3,6420.02,79193.2,48829.1,20740.4,2705.63,0.542025
617162,1806.05,427384,38041.4,345.961,46266.3,28406.8,8353.49,5054.25,0.558534
610942,1776.64,344237,17919.1,1619.35,25554.3,14639.7,6082.88,5366.92,0.561956
769335,1683.59,676761,37924.6,830.301,78153.4,31563.9,20517.7,8768.79,0.574763
909812,1830.49,832062,59508,9950.87,54771.8,21654.1,27087.4,2543.3,0.621727
939754,1554.58,755364,44828.7,51.9302,45383.1,15122.4,16973.9,1389.25,0.646821
902605,1727.5,621189,69154.4,440.901,67537.7,22561.2,33053.1,2500.84,0.660348
587115,1689.38,406761,28082.7,-273.156,50448.7,15863.8,6684.6,4760.82,0.696727
722246,2009.42,587035,44462,29613.1,39461,11276.5,17739.4,1655.45,0.741931
676603,1425.44,455060,23804.5,152.59,34186,10560.3,11964.2,1384.07,0.782052
656164,1823.9,453397,33740.9,208.375,66309.8,17548.2,4170.62,9776.63,0.801822
684484,1538.3,549650,23517.4,218.51,28609.9,9881.16,16756,1844.09,0.812968
866599,1854.59,624726,34139.6,-595.883,57816.3,27378.3,14658.6,6223.35,0.842844
676688,1441.97,551883,35262.7,-43.8435,19751.8,4123.19,1391.07,823.304,0.844244
723368,1464.88,569136,52168.7,3864.85,53106.9,24273.5,12723.3,5222.01,0.850788
758429,1752.67,573843,26354,-340.111,23461.4,5489.83,7766.95,750.231,0.857111
575901,1642.17,440581,32823.2,409.708,61882.3,21528.2,3236.24,6145.44,0.896592
880186,1467.72,556102,21777.4,256.34,52798.8,24873.3,5153.41,5930.97,1.03839
1.78E+06,1764.04,1.31E+06,23468.2,-235.317,16561.3,1048.8,181.998,480.293,1.06524
1.16E+06,1843.67,1.14E+06,61368.1,-986.558,82838.6,21943.4,27108.9,1921.94,1.0671
637918,1784.39,705252,262.435,-129.176,21272.6,-133.83,-67.6886,-53.3531,1.09272
674101,1751.84,507586,56353,415.751,67288.6,26308.5,19929.8,8366.58,1.22328
665774,1554.75,525043,38086.3,486.28,70810.1,43584.4,5947.08,6464.62,1.28256
1.07E+06,2288.19,827980,43937.6,61532.7,46089.3,23635.4,36229.1,8069.93,1.2897
1.17E+06,1797.18,1.00E+06,35412,2181.09,66026.2,23419.8,19764.8,4729.69,1.29378
585055,1577.2,492691,62682.7,191.287,60901.3,26179.2,46941.4,7238.06,1.3002
746516,1589.04,524679,33505.6,516.252,44992.1,17262.5,17815,5036.78,1.30593
930191,1777.88,815157,29793.1,2637.46,47436.4,13653.4,10369.5,3333.27,1.32232
592094,1618.74,430107,22158.8,4549.15,32368.4,18923,8306.3,1560.26,1.32906
542927,1745.44,477672,26413.8,-38.5756,41317.7,16185.7,12640,1612.75,1.33374
1.24E+06,1916.88,808501,51894,8556.36,41902.3,18249.1,23254.8,4890.5,1.34179
583080,1646.43,581266,28687.4,1516.14,48351.7,16981.1,8596.32,3144.16,1.35739
793887,1764.96,566132,34265.6,25.0626,28785.3,4531.42,1088.43,1620.06,1.35992
965310,2103.61,774896,41332.8,1248.96,133168,79701.9,38996.1,10438.9,1.37178
745033,1506.4,448299,48901.3,940.089,63767.2,25777.8,4672.34,18415.2,1.38101
979113,2076.35,791936,51524.3,1120.86,56278.9,28562.9,23312.3,3027.4,1.38521
716531,1604.07,623808,36659.6,144.93,48148.7,22037.8,15076.2,9441.77,1.39153
709134,1493.8,528251,12024.9,136.215,17757.9,12194.8,1522.09,560.793,1.40362
636423,1673.52,362651,39176.9,282.619,40879.4,17422.4,7781.91,7532.39,1.407
702447,1463.72,477007,37435.4,10475.8,42277.3,22805.3,15857.9,1309.35,1.4079
1.06E+06,1715.33,995746,50938.3,22308.5,90338.8,40105.8,24486.5,3313.11,1.41254
