FSC-A,FSC-H,SSC-A,SSC-B-A,SSC-B-H,SSC-H,Comp-AF-A,Comp-AF594-A,Comp-Alexa Fluor 647-A,Comp-Dylight 680-A,Comp-PE-Cy7-A,Comp-PerCP-eFluor 710-A,Comp-eFluor 450-A
1032690,619560,618580,4157530,2689840,401176,26048.5,2145.09,224.565,41.324,333.727,18004.8,-1865.47
520962,321079,240754,1815110,1171030,158390,3669.44,459.965,-65.1214,185.805,-156.288,11382.9,-510.381
1098790,701879,420687,3118430,2162810,305206,12179.4,603.226,-159.25,461.623,343.213,11171.6,-1091.05
1311810,551002,547719,3507190,1484900,219846,10166.7,139.921,-253.355,506.802,12.9684,8186.62,117.204
484773,292151,218138,1348810,842129,139673,3415.13,-409.455,335.621,233.383,-32.6492,5392.69,120.344
433186,331522,318812,1891930,1613020,270503,9073.36,-11.7944,243.105,62.6444,341.544,1073.75,1.82894
743770,444818,535108,3112000,1783960,308774,11535.1,117.926,10.6761,282.728,-327.764,3926.96,66.6409
608578,318457,402660,2354320,1352850,220562,5525.6,-1250.18,-372.822,689.1,-406.627,12724.8,-386.01
840217,420282,378939,2119220,1090420,201293,7587.59,-176.328,-605.195,957.459,-412.109,10546.8,170.824
614724,363872,189646,1330160,861810,128260,4106.46,252.83,192.141,63.8468,220.715,9700.4,-62.2929
574868,321077,266959,1836280,898104,134157,4927,-32.3276,88.25,20.8039,-375.647,1092.33,-609.779
657879,428628,248832,1792250,1258420,168575,4297.77,366.717,-412.757,602.84,-100.149,8446.42,-473.759
1070090,495361,428573,2383170,1163580,208832,7251.65,200.518,-64.8942,-42.6822,-288.435,5191.28,-128.542
529217,327252,273681,2203430,1653250,203411,5060.17,308.347,32.5062,-346.69,-118.628,5711.84,-365.551
1002810,410391,456042,2552960,1517860,271029,8271.92,-604.043,267.138,-237.477,-83.4966,12061.3,-158.426
1398640,656314,635374,4194300,2430400,345257,14215.8,401.475,-142.128,685.462,165.396,11220.9,293.61
935911,497946,187848,1241280,804449,122405,4901.41,-282.493,-362.001,-0.521198,84.7601,690.16,73.9178
840789,388413,413272,2929530,1431020,211441,3506.99,86.9429,-147.608,607.059,348.615,37598,569.266
490986,355768,421411,3130260,2456020,332723,32646.5,3516.35,5260.69,1151.66,154.363,2550.03,8711.11
725940,412525,220420,1392410,985224,157257,4371.48,21.0432,217.094,105.849,101.741,4468.75,416.513
1064390,550452,477302,2567990,1358500,259951,9561.23,240.405,13.9688,244.799,198.356,8709.94,187.633
566204,248528,282496,2162980,873297,125354,4427.41,321.003,368.583,-615.228,-564.065,17957,156.207
923968,364773,315808,1854780,695775,124348,6161.73,-204.279,-346.293,645.502,-252.57,3460.73,-28.1626
898665,452408,566165,3395740,1903500,323747,9838.76,-518.324,-135.651,510.242,-576.21,14050.7,791.683
834345,506290,447644,3271370,1912170,255785,1569.61,816.042,459.778,-21.3073,335.483,54396.6,7.46096
868648,523654,377759,2637990,1519920,221221,6191.11,-231.151,-534.859,618.752,360.573,12752.7,-30.2134
665718,341631,217806,1208310,657427,118581,4404.93,-693.747,-356.458,116.524,85.9596,5620.02,334.267
319627,186036,246309,2137280,1230550,138334,5075.99,111.859,204.948,421.32,166.129,3705.51,219.287
655820,409689,232972,1396890,1000380,166516,7194.49,-538.734,10.4783,769.101,-267.41,7326.33,526.004
977969,516084,583691,3536660,2057760,341784,8972.43,-520.745,-76.1836,925.864,50.2772,11390.5,707.559
716607,402355,606176,3366630,1817210,337419,12215.7,-1100.44,-157.428,478.04,65.5816,3626.46,187.54
571595,334972,284569,1677960,979807,162445,5879.48,-520.967,729.12,-484.599,54.377,5513.55,199.042
995109,475274,474248,3040150,1577960,253365,8139.91,-420.616,247.394,311.168,461.27,11237.5,-197.242
386820,268294,213942,1261710,910861,155429,3975.59,-339.775,-63.5042,329.503,-418.669,10475.6,79.8708
727704,340249,251021,1419700,648776,120467,4298.5,-547.678,257.883,-460.922,-298.447,4037.34,-132.964
900169,493446,410874,2675340,1839460,284322,19605.5,1293.17,-733.758,1441.14,7.73856,5542.57,-858.706
1203730,442204,562570,3356570,1261720,225298,12057.8,-1172.2,247.408,-106.855,121.37,10530.4,438.767
757567,427746,392913,2239330,1310720,228910,7460.21,-323.246,93.2291,269.617,246.688,15881.4,-109.111
1029130,584989,483066,2581740,1387770,264246,9029.73,111.38,-106.443,475.096,49.8373,5565.48,-185.675
624709,414865,223308,1443280,1044980,163314,5976.85,-170.151,-342.188,356.465,237.319,3745.17,59.6045
487811,325149,247323,1655360,1203530,180111,7600.58,244.782,-296.764,-36.8938,154.171,387.511,-81.7
975315,444431,538680,3812310,1819430,267681,9811.34,188.432,157.379,173.442,-369.51,7543.99,-308.086
754568,345576,285301,1822100,1027620,152117,5015.93,-366.199,-571.242,837.758,-830.267,20093.2,362.24
500884,233151,404486,2355870,1200750,215070,7325.89,39.4552,-369.936,133.618,-112.519,6515.67,168.089
495634,325609,199877,1270370,881467,136752,4244.63,-333.883,125.642,239.981,-74.324,8410.37,-249.449
1025360,522704,349897,2433740,1480380,213583,6014.6,413.366,-72.3665,88.6475,-15.4121,9096.37,-237.091
1048490,640697,578427,3063650,1989600,384320,18034.3,603.254,-296.469,277.971,28.3839,5321.76,-104.272
861138,376743,509265,2984200,1174270,206965,19691.2,-932.719,-445.753,460.097,369.393,3325.67,634.248
670473,356439,351154,2282850,1304200,194530,5203.64,6.77932,171.439,203.055,281.451,10213.8,311.044
933858,488006,546648,3131680,1481520,255109,12379.3,-246.554,76.7199,458.483,8.78495,10006.9,-588.247
845531,484872,431816,2411980,1507690,266769,9835.55,-100.495,188.801,431.211,-213.112,9810.63,169.142
960682,440451,568029,3406120,1953390,329332,11080.9,-412.255,257.667,-345.789,-488.357,6451.71,304.15
902837,439231,561943,3424710,2251100,379314,8734.01,-401.73,-115.933,37.3542,-38.0321,12370.8,386.603
828013,474512,239938,1640740,963152,139248,4759.68,-12.3005,-36.9129,234.969,98.5949,7141.54,203.021
649717,401983,284970,1741450,1157130,191420,8932.32,-484.996,236.213,17.3836,234.103,10977.4,424.665
1095630,567427,539263,3907710,2536670,352787,11137.1,475.556,136.265,-69.5488,16.6408,8498.34,-309.6
823443,334106,302517,1899340,948570,149942,6205.35,-316.81,-67.5392,235.253,-280.143,7716.18,324.859
1098630,548954,422300,2981590,1674590,236647,6826.96,-53.7798,230.023,725.181,101.335,16851.8,255.911
867144,347707,462699,3406330,1633950,221670,6304.04,-91.074,86.6423,682.451,-212.986,20632.6,304.368
497906,307472,142118,998564,651038,92073,4153.1,-257.251,-168.251,712.619,140.944,5206.6,134.623
1274500,637461,709524,4194300,2380950,374460,18616.4,-448.606,-792.973,789.856,-266.562,6720.3,1976.92
801562,486533,528959,3134600,2241790,377780,14085.2,-383.243,173.694,-266.216,-42.8975,5551.3,1383.97
