FSC-A,FSC-H,SSC-A,SSC-B-A,SSC-B-H,SSC-H,Comp-AF-A,Comp-AF594-A,Comp-Alexa Fluor 647-A,Comp-Dylight 680-A,Comp-PE-Cy7-A,Comp-PerCP-eFluor 710-A,Comp-eFluor 450-A
857171,444434,243240,1253040,868679,172419,7599.34,-511.887,388.353,-82.4283,-153.829,-333.134,1035.13
678786,298119,214053,1782570,978257,113567,5115.73,-49.6506,397.352,-175.54,258.18,31.9175,290.51
1004900,599687,492599,3020980,1866520,300283,10873.1,-383.748,344.621,-202.056,-151.882,-369.028,-148.063
1061020,609189,475952,2552360,1359900,261360,11921.1,-82.3453,156.632,-303.757,-43.6671,-167.017,332.391
1009900,604023,391343,2222260,1456510,257369,8732.16,64.9936,-105.105,-135.345,-110.626,-90.6934,393.359
786529,533928,305657,1666420,1170280,211780,10263.8,-96.7677,-157.894,-354.008,-238.996,448.307,-267.028
717781,495185,192991,1324630,1014220,144867,6400.08,-247.872,-42.0079,-4.22242,66.9661,79.8755,-106.65
327433,233153,123264,1103990,779151,84382,4299.74,40.7969,-198.5,202.282,80.6544,-75.9572,44.4226
1177770,678293,702866,4194300,2714900,428994,35289.4,-1080.34,-604.988,-22.0088,-549.166,-22.5663,2020.6
691394,504348,164576,611857,494935,136431,3592.41,-203.521,-14.7078,6.61492,-297.064,407.228,46.4637
1055940,621429,464290,2932230,1874120,289122,11870.4,-187.51,110.931,7.78978,-246.25,-282.359,824.885
732940,470347,309460,1669970,1051380,198605,7237.78,-241.231,-192.267,-16.9305,-865.736,375.783,-103.371
775219,551998,349919,3156040,2187930,248550,10728.1,748.033,296.601,572.333,-50.6017,59.2328,-444.258
570217,313783,250874,2078170,1051790,127939,7206.88,92.8655,494.107,-186.825,19.106,139.341,150.32
1069380,606269,500313,3485730,1957450,280977,10646.6,574.611,29.8889,-39.7896,-208.564,357.675,-153.664
995232,484218,517633,2846320,1215600,225361,9449.68,-215.527,-144.83,-222.97,-278.632,193.819,-10.8669
1538020,763613,527835,3991060,1874220,243563,10406.9,97.8108,424.765,-434.64,-187.508,133.329,55.0639
1139690,534440,547046,3209760,1545010,261051,16308.8,-181.185,-104.16,-251.098,-390.74,-2.03064,-769.054
720095,408392,355252,2228540,1525180,228440,7871.61,-447.422,311.267,1.21726,-3.74215,-34.3434,116.597
839842,356031,429250,2444090,1131510,193719,11766.9,-357.489,-174.466,413.787,324.156,-431.405,297.831
677602,401414,129919,709777,418030,80817,3238.31,-505.305,-99.135,172.289,47.3753,-172.097,455.325
756159,491399,399424,2362860,1289540,225402,7760.94,-479.053,81.3608,274.544,164.233,-481.869,-257.809
1250660,654806,599313,4194300,2955550,326105,14617.5,1172.75,275.579,-290.918,410.478,123.682,-733.123
1056010,567453,360423,2049690,1089230,188154,10108.5,-275.586,98.3674,-316.535,-207.511,207.758,82.8854
1207850,618084,513061,3022210,1577780,275590,10865.6,8.21869,-208.67,-195.339,32.0065,111.033,-49.5849
687786,483123,199368,1085010,794498,144994,5608.06,-78.872,128.405,-58.1582,203.285,-388.061,-507.945
975898,594610,461180,2205150,1290890,294138,10401.9,7.99603,-162.382,72.4931,188.962,-124.082,-266.68
1149280,665323,397927,1773610,951845,207510,7757.98,-173.243,101.492,-412.487,-82.9685,208.484,-81.9893
774825,438514,342332,2411010,1422030,209054,7028.01,217.157,-716.558,240.488,100.285,-369.851,-76.9425
1107000,522249,271650,1858720,904012,136453,5285.79,-585.217,-0.581674,90.1294,228.708,3.06874,89.256
1119370,594752,416598,2303280,1218170,221839,8629.1,-373.31,-196.204,18.8065,34.1297,-416.153,-227.988
926938,590879,351483,2294880,1359520,214899,8603.04,-391.349,258.158,-194.391,244.234,-36.0385,-543.02
1001280,645668,390880,3302770,2001580,237398,25523.1,2868.33,190.17,50.3992,199.432,1580.38,-1697.66
897300,500757,412679,2423810,1255070,213607,9588.61,-542.036,-280.469,185.21,-520.374,-208.04,-92.8432
1455100,715257,543721,2666790,1559240,321379,10435.7,-417.305,530.583,-592.358,-287.126,30.3126,-304.976
1024580,585223,393159,1989950,1130510,224068,8934.36,-55.6675,433.923,-364.196,-383.202,-125.673,70.8602
738230,424364,224469,1396830,734513,119119,4245.06,-758.144,-11.2277,233.535,-386.744,36.4564,-185.152
704270,456387,353259,1945070,1226220,225124,8868.18,-277.422,411.796,-564.84,-354.009,334.014,-340.389
728402,461947,176884,711415,558972,133341,4929.54,-314.003,390.645,-479.672,230.762,135.69,-64.7214
1135970,433099,356325,2005890,796588,136335,7578.76,-375.884,-718.837,83.7085,-82.8113,-154.313,724.745
944038,544217,201323,1218060,765349,123187,5667.83,-386.907,-74.133,116.081,-93.1167,-157.11,350.886
909039,564947,307776,1738480,1198310,215322,9334.62,-453.984,129.523,-650.058,-364.227,-10.7854,118.273
892125,486254,313614,1455830,906648,195850,6714.78,-144.263,336.15,-279.26,-7.46181,50.8659,-705.493
995166,523725,381586,1910830,1082300,217315,8628.21,-220.667,85.6666,-58.5311,-51.0264,28.2092,82.5898
1389970,628444,425268,3056380,1591910,212755,9667.75,196.135,-298.356,112.223,240.86,-8.97652,151.909
830821,451352,287863,1420240,923148,186896,10165.4,-45.7973,71.9815,127.72,-257.437,-138.569,446.859
1218760,648438,428735,1777470,914894,225793,14533.1,606.864,-21.4634,-78.4592,-474.766,527.444,-372.327
1080200,584612,556383,3232420,2174720,368812,12624.3,-587.503,28.5175,12.5942,595.395,-217.101,-244.089
895049,453094,490623,2699300,1465610,260868,9268.81,-249.397,644.825,-850.92,-209.166,-181.179,230.487
964304,447855,349563,1938630,851426,157720,8105.05,199.094,78.7384,83.5002,-316.747,-225.632,-131.937
1146900,509196,493920,2556190,1168880,229894,19821.7,-219.535,-507.932,400.286,-490.086,-657.801,1191.66
1032500,644558,306556,2334100,1349170,171485,8199.93,201.666,88.7103,212.36,112.322,-399.083,-139.295
1061520,721075,397141,2745890,1958760,282364,13224.7,567.464,162.089,-325.404,89.8424,124.33,497.899
880095,497596,616005,3690190,2246460,388926,23829.1,409.361,-181.784,-47.0703,23.8479,493.41,357.046
955453,535272,236307,1277780,823375,157557,6157.77,-45.7508,240.109,-420.635,-122.865,84.0919,-97.9463
1040290,522881,285139,2044390,1025260,145362,6652.11,410.774,-112.799,-3.57337,-181.545,135.467,-42.2487
969958,442816,431092,2328820,921296,163426,12210.7,-608.221,-144.346,41.8598,248.316,-374.535,243.485
503406,203907,187614,1566970,752217,81952,15397.5,-198.794,-532.766,119.138,139.977,-253.067,566.225
905130,559519,392778,2392210,1644250,275611,12121,662.559,94.9742,-119.645,128.09,622.956,-460.511
594346,303870,270333,1807930,1107650,172278,8277.21,156.758,105.678,29.7666,167.838,287.808,-290.609
1071120,591281,396198,2952530,1655720,220468,7538.6,-44.8618,-30.3319,235.334,290.858,-77.37,-381.351
1154570,612029,455477,3719280,2502130,303369,16162.7,1423.02,-169.11,-381.397,275.954,791.143,-314.523
969502,472072,611687,3599900,2026020,347505,11655.7,-67.3499,144.023,-52.9677,6.10044,-121.33,-188.36
1079380,600806,294687,1394660,915977,189274,7144.76,451.184,175.332,-483.034,-363.404,278.505,131.491
1147580,545614,271446,1843090,808604,118501,7282.92,-15.7455,338.634,-233.301,245.839,-302.218,-157.87
430885,265082,328577,2274980,1453220,205707,10639.9,739.239,-326.321,222.95,207.796,-50.7153,7.83053
980030,610351,300038,2258340,1597390,215260,13494.5,271.245,-292.646,57.9019,-209.772,283.451,392.626
954577,443326,344699,2098940,902554,150802,11260.6,-126.835,-318.46,4.65969,93.1362,-215.563,346.988
848804,553172,294987,2167320,1342210,180334,6814.43,-59.3339,-307.723,120.476,-243.962,-25.2484,18.6683
1015170,594534,476576,2749890,1754770,306606,7719.58,22.3869,-343.282,100.528,-97.2985,-104.979,-70.5671
1122270,689643,559509,3276970,1938550,344083,18282.7,473.959,-68.7166,24.4673,120.372,269.993,-108.275
691615,364213,334071,2240070,1122780,170920,5616.06,287.102,223.72,-446.172,22.7977,286.744,254.308
997187,606418,414365,3298620,2070270,258797,9515.29,-41.187,-106.152,-48.1469,152.867,87.0522,-743.38
1005530,645315,378028,1788220,1036520,222943,8510.92,-134.671,-175.77,48.3272,180.058,-144.858,244.452
1223310,569864,596018,3518670,1761000,298248,30838.2,-74.3763,-729.959,-160.603,-241.081,155.149,1293.43
402333,302428,122466,851616,649746,93810,3090.36,102.171,104.201,-54.9618,-432.685,364.593,-418.427
853727,545803,401369,2816110,1631030,230140,9647.48,603.234,569.62,-800.289,-302.849,213.194,-761.433
1152480,622562,447549,2671040,1627480,269693,11125.1,-264.444,175.941,-190.499,-280.069,-81.4138,692.097
1084630,476719,321636,1998830,969578,164749,8390.98,-32.0375,190.873,-507.093,-271.632,539.897,-581.669
1824400,1001050,670572,4194300,2590470,371052,16910,304.391,-238.259,471.298,-33.9845,532.242,-416.685
830770,561570,402133,2303990,1653920,286320,7050.55,-79.4974,208.002,260.247,-472.066,-217.916,-200.468
901053,473517,561739,3199970,1698990,296326,10453.4,-13.8227,-122.029,285.5,200.364,-540.122,674.788
1077700,540728,425036,2819940,1655700,243524,8130.83,-12.7328,27.9818,22.9133,177.887,-422.918,152.955
876570,564082,439586,2716090,1936480,314699,28508.9,-651.923,-484.412,374.647,43.7399,-1245.39,5807.03
1016290,639707,432670,3840580,2208380,241278,8692.8,285.888,260.221,32.449,-61.9148,-209.503,-475.692
340594,197374,284285,1696030,1006890,169133,7365.82,356.302,-336.194,417.176,444.093,-212.913,-253.458
657788,426811,142686,1019670,730193,103315,4238.73,203.284,-8.19203,-265.672,83.583,350.318,26.2395
1115730,643913,297478,1979810,1233950,176454,6818.32,-409.66,-111.853,356.28,63.8585,-499.579,11.9691
897203,502765,288341,1838270,1016000,171371,6791.95,-524.479,213.318,-3.33381,-227.309,62.6694,-394.436
435094,327612,176420,908775,668114,128023,4309.75,103.316,-102.698,212.282,222.363,-23.4673,-192.036
540198,299816,254344,1536710,877210,145013,5906.63,-80.1843,357.498,-50.6036,-5.40822,-201.509,-315.052
584618,423838,354129,3333700,2183490,245163,13244.6,710.208,-278.871,-11.0228,172.361,-207.268,1084.63
905138,342101,344865,2761530,1273450,170703,10497.6,77.1641,-375.279,223.721,-140.104,90.0104,-378.018
887740,393294,410873,2260530,968556,185033,15319.1,-395.943,426.34,-602.356,-170.051,326.548,853.985
930879,530671,507756,2864370,1517270,275551,11092.3,-1071.7,381.36,-384.087,-289.259,-271.231,132.5
815595,436892,283491,1419530,803116,160549,6607.3,411.561,-36.5563,313.431,-22.8745,-322.282,104.899
802536,400797,218320,1620030,1048660,135315,5981.51,-22.1341,335.039,-494.441,-8.83956,352.473,-11.9363
547539,316801,230811,1555090,1012830,146338,5411.24,36.9341,152.529,18.6325,-69.2365,221.337,72.2278
745192,420504,373419,2180350,1391410,238366,11242.3,-152.031,-143.722,-356.152,463.56,19.4687,-578.58
1026160,531951,474058,3233040,1604140,234147,12978.1,950.103,-84.7288,-332.344,226.155,342.837,313.518
