FSC-A,FSC-H,SSC-A,SSC-B-A,SSC-B-H,SSC-H,Comp-AF-A,Comp-AF594-A,Comp-Alexa Fluor 647-A,Comp-Dylight 680-A,Comp-PE-Cy7-A,Comp-PerCP-eFluor 710-A,Comp-eFluor 450-A
600315,313424,239425,2164400,1078020,121924,3925.39,68.5971,12153.8,23.5758,-50.9888,135.214,-52.1511
789305,312497,228089,1461420,562211,89612,3901.93,0.214317,5326.3,-330.056,286.745,199.188,216.381
393340,240809,304954,1777780,1177470,202578,4369.25,-768.755,9264.71,-260.032,-17.3337,15.0215,-255.52
582710,360929,296859,1822940,1127200,186891,3858.48,-328.57,8451,-103.627,8.42748,-85.6478,-415.306
700189,356886,291679,2055550,1197940,166120,4647.85,-366.309,10046.9,183.886,261.097,-584.909,81.639
619336,375930,311790,2327940,1516570,205528,5546.88,12.2058,8067.59,84.7851,189.864,-128.278,-260.824
789829,471289,452698,3083530,1998700,301503,8473.6,5.4996,6073.52,240.983,183.501,-143.441,-250.352
730212,486849,486396,2894890,2124590,354521,15178.1,-822.804,380.46,-70.2843,-172.899,-99.9076,-214.43
755754,443023,367735,3162260,1572520,192247,6136.01,205,11812.6,-161.798,-191.146,353.729,146.23
560115,328634,253358,1941570,1228200,163970,2943.34,524.044,15068.7,-162.293,-44.8647,143.757,118.511
1058070,484987,335991,2298450,1204930,173793,6633.55,-108.282,6883.66,19.3323,-273.721,-156.267,558.3
902284,409041,429200,3408850,2058680,268955,11118.2,558.91,13962.5,141.536,-130.974,420.613,315.34
795158,394593,282126,1772360,881541,144240,7390.43,589.441,598.538,263.395,-250.285,-277.298,-273.204
1137190,492778,474354,3301540,1460730,207539,6836.01,20.2755,12855,112.61,251.124,205.362,-300.81
732874,434942,299395,1688110,1179660,209150,3964.85,343.265,11753.4,-111.897,-215.659,242.222,342.125
1038080,478176,575209,3667640,2201290,355381,16473.6,-360.707,5367.26,-181.799,159.003,-621.452,1944.9
1218320,470607,788242,4194300,3446400,380995,67777.6,3316.23,13578.2,-606.945,490.701,-496.447,9690.15
599951,370814,367408,2162370,1590580,273380,8712.01,-20.0611,1852.19,264.665,73.362,-92.6299,-257.357
667662,295571,287575,2057060,1362480,188994,3565.23,292.408,11915.3,29.6194,120.534,-578.022,-188.719
500694,290855,295675,1742910,1137070,191614,5347,56.2214,5745.81,68.5034,50.6506,-422.473,-5.69807
808240,417513,456753,2876320,1897950,302538,14862.2,612.74,5181.94,4.80482,50.9432,206.062,-416.499
428875,256282,214751,1663060,1200540,150566,4756.64,-67.0447,4379.03,486.006,72.559,-158.983,-49.1126
759970,347429,325060,2610950,1274500,174174,6685.53,158.821,5844.29,512.474,-63.2839,75.2079,-54.785
1403380,650567,804847,4194300,2268870,350737,13333.8,192.824,12443,-381.677,-13.3399,199.661,-622.799
