FSC-A,FSC-H,SSC-A,SSC-B-A,SSC-B-H,SSC-H,Comp-AF-A,Comp-AF594-A,Comp-Alexa Fluor 647-A,Comp-Dylight 680-A,Comp-PE-Cy7-A,Comp-PerCP-eFluor 710-A,Comp-eFluor 450-A
432490,172416,298046,2317320,994623,138100,4631.98,89.6794,225.567,273.304,141097,-831.292,179.084
703575,401996,323010,2340650,1244790,172710,6089.03,-652.063,347.424,-352.314,87616.2,-2.02306,-209.317
501083,271992,415171,2566960,1344520,227630,7526.51,340.926,127.98,-480.186,83490.6,315.659,420.45
944132,420352,400654,2696190,1789670,261815,13674.8,1018.24,-495.408,234.624,82084.2,490.466,-10.7767
885460,458958,345047,2382810,1161680,174132,7013.36,8.42601,-154.842,28.1632,63175.2,-77.6328,178.998
1217880,495374,430520,3477440,1433820,171944,7555.99,376.181,86.7011,80.7182,150146,-818.624,-424.864
775960,428930,264177,1633070,998761,164654,5503.86,108.708,73.2943,-188.809,18604.7,187.852,-44.9288
798337,448280,517276,2921510,1638830,303895,9738.12,21.5666,55.2994,-69.1922,90746,-188.606,-236.878
583668,327173,189749,1247730,767049,121703,4765.43,485.647,-219.431,508.238,43472.6,-553.541,-86.1696
1676190,903374,739923,4194300,2815600,431110,15370.5,80.1671,58.5943,689.847,231864,-1488.67,-283.084
755884,464706,354872,2971110,1691850,194256,5820.52,455.047,-490.931,803.856,131162,-1421.41,-8.76089
884483,332120,301334,1842280,981180,157913,7161.14,34.1215,-676.897,669.315,79799.1,-498.046,-80.9634
1302480,662573,512572,2949240,1611380,288983,12217.3,-903.733,471.646,-503.558,135532,676.067,435.796
894971,477732,385141,2418270,1212850,194748,6171.96,129.959,143.39,-176.178,49641.5,-96.9554,282.525
844049,472193,439090,2768380,1532770,243042,9666.25,130.932,-289.68,174.961,71106.4,-247.905,-75.4053
638465,333883,302509,2252630,1311960,181826,6227.93,-292.922,427.879,-41.1062,85996.6,118,-336.679
722379,387498,352354,2236020,1392080,217039,5486.36,-187.244,819.974,-536.013,60385.4,29.3548,-288.891
994984,485032,279334,1928930,918068,132382,8063.68,-199.686,30.9424,-33.7805,15781.8,-6.36182,-202.789
639639,355451,230850,1404300,871334,148078,3856.1,-20.7894,-12.0485,-116.406,46521.2,-413.868,-104.219
509886,362924,372229,2267600,1820860,295340,4131.49,-997.533,-187.327,17.1614,290026,18.7235,119.8
658357,350091,186256,1406870,696852,94290,3943.28,-64.6981,183.992,-251.577,53063.3,-401.557,35.7044
437988,255191,281473,1890340,1212150,185215,5172.17,52.7589,121.424,-371.928,101826,-203.49,255.587
499976,265256,322506,1905820,1023460,182632,5758.2,1.60597,-3.5237,185.458,59238.9,-553.583,372.608
1437860,677743,874598,4194300,2421000,388858,15625,-851.097,158.782,191.213,148687,-403.306,88.1045
950123,479468,266803,1777710,963072,143982,13605.1,-520.385,48.4306,-263.968,81329.6,191.01,-243.416
979627,368430,471508,2647330,1060380,198019,9502.91,-491.654,-97.401,-254.239,115454,262.957,637.359
1131570,584684,388796,2626830,1352950,194645,9980.35,-223.219,72.3511,422.577,161933,-1145.62,238.739
493240,296027,217990,1387110,914985,147608,5753.09,-65.9976,230.492,-89.3376,49691.5,444.419,-235.429
495470,358719,118725,671752,513693,90893,4459.61,0.283546,-473.653,273.662,34496.4,335.823,208.833
1210890,515693,478360,3636730,1679020,216095,8176.58,24.502,624.578,-22.0615,157266,-612.214,57.4558
736080,410880,238484,1357020,956348,165836,5288.92,-47.7746,-69.8376,-168.028,37240.1,-166.855,520.05
760980,354361,266674,1583470,933644,167496,5331.13,-78.106,-550.15,615.353,55177.4,-238.634,509.437
674113,253648,313090,2259730,977491,132370,7734.46,318.237,347.243,-220.352,36102.2,-175.62,-278.357
1205640,543921,504978,3455510,1717800,263955,13031.6,-122.148,575.591,-643.847,42118.1,50.7532,-251.091
685788,354850,201389,1326140,714943,108549,4819.85,-241.786,-218.396,134.325,42197.2,184.145,-407.141
877084,561213,326107,2392510,1643070,236788,12615.3,763.736,114.354,-123.652,3780,747.483,-955.814
1044520,437783,480511,3015630,1255900,201539,9714.27,-903.456,159.528,82.0599,70294.2,-94.276,-461.001
415991,284381,133249,1151960,905830,103092,3519.57,208.918,160.785,150.059,77781.2,-407.535,5.93747
466338,220337,381533,2615080,1214080,176769,8097.22,587.11,66.9984,-292.214,11218.6,270.235,21.6613
1138300,475385,506487,3082060,1866150,307676,14726.8,224.39,92.2569,-197.691,50758.4,283.245,787.528
918818,474128,351845,2425080,1431150,213536,9748.53,355.299,-47.4953,284.872,85941,-576.862,272.959
1051920,453254,411762,2890030,1601930,232866,9792.25,28.3148,48.3153,-132.586,72194.1,-555.977,-159.217
644429,346132,183114,1206170,734239,111283,4788.53,-298.826,233.27,-624.282,73454.6,-332.919,-251.456
621145,355322,318515,1866260,1444000,248478,11565.4,-347.495,-205.855,158.78,76024.8,-272.148,644.223
546673,336059,236780,1594340,1113580,163238,5413.94,191.267,114.288,268.547,66036,-627.063,108.968
392169,208811,218599,1337460,705613,126411,3843.82,-170.692,-157.01,-119.843,58088.3,243.838,-13.728
755971,307797,392471,3599980,1377030,190846,6844.16,-2.75881,37.0508,-48.0391,108704,-1303.48,-398.643
616109,265937,291127,1923050,1047690,156624,6162.45,244.419,89.3417,-23.5035,90868.8,-953.88,-447.68
679063,402834,370982,2534360,1470070,218762,8344.35,74.7547,436.964,-613.9,25205.3,279.287,9.31378
553994,238901,319898,2118270,1208650,180664,6100.83,230.635,242.422,-110.902,119358,-1163.64,-246.48
966064,484448,374912,2539100,1264120,197711,7374.1,57.5799,-97.2103,345.251,89119.6,-308.382,42.1615
1032220,607711,634917,4194300,2776200,399207,24757.6,1354.53,-180.907,-277.333,44125.8,608.759,699.047
943389,441884,327226,2101930,1042340,170130,8761.48,650.467,-554.253,465.63,81373.2,-818.02,80.6971
484878,266262,207404,1379760,875258,131326,4221.48,63.9269,32.1902,-107.736,82566.1,-260.882,-362.695
866744,490821,369561,2644000,1702810,231100,7550.77,120.494,216.651,-187.604,104999,-475.981,85.0775
660146,335607,539488,3535870,1552340,233431,8563.72,-365.496,84.2354,-153.235,143765,-1234.75,-357.499
