"FSC-A","FSC-Width","SSC-A","R712-APCA700-A","V450-PB-A","Y585-PE-A","Y610-mCHERRY-A","Y763-PC7-A","R660-APC-A","Time"
350217,1374.49,158326,4072.01,12124.8,13289.3,35922.8,5364.75,3071.63,1.89559
716775,2069.31,314726,6974.29,14043.7,10907.5,63985.8,832.109,21051.1,1.89933
1.06899e+06,2351.17,4.1485e+06,3102.51,20635.5,5417.23,-6411.92,8366.68,12549.6,1.92067
7.18367e+06,12290.1,5.77619e+06,11547.4,132717,19849.7,-296.539,24971.5,40985.3,1.92128
712424,2516.49,480856,38992.9,46219.8,28600.7,177232,2120.43,24491.1,1.94285
851561,3005.9,220218,8415.01,18243.4,20718.6,92497.2,-1875.98,14673.5,1.98868
1.17108e+06,3826.49,446699,11739.6,52466.3,95174.2,92961.4,-4558.09,14037,2.00459
1.01958e+06,3399.04,476839,101510,39981,34316.4,129200,8209.31,25630.2,2.00732
1.41229e+06,3640.79,1.84869e+06,48684.6,71205.1,49553.3,185319,19906.3,29201.4,2.01773
1.95147e+06,5970.78,916435,39510.2,64204.4,69990,266683,5068.58,42355.4,2.02641
642426,2456.7,110361,5862.58,9762.04,27049.7,29733,-2583.59,12026.9,2.03532
2.89197e+06,7391.61,1.05668e+06,191533,131555,194606,274320,8142.77,70580.6,2.05216
1.48459e+06,3399.97,1.43102e+06,37609.5,82690.8,49344,82799,33094.9,27816.3,2.05997
434330,1473.9,163088,4514.79,4221.03,5257.04,21531.8,997.009,5144.11,2.1188
333402,1342.54,101925,2160.63,3923.09,5396.17,5006.03,5286.67,5957.9,2.13242
520755,1853.32,311920,4208.85,5079.33,13163.1,20474.1,1074.95,2422.63,2.21521
426418,1642.54,176944,4021.85,8297.88,8213.67,27436.5,1073.06,8343.89,2.26351
443048,1642.06,203046,5077.64,7986.29,14998.9,25388.4,1736.56,4809.64,2.30284
623376,1716.29,2.96132e+06,2754.43,8525.26,3677.24,-4335.32,5552.26,11432.9,2.35524
726148,2134.11,302993,11489.5,12117.4,13702.6,23850.9,4089.29,10241.8,2.36617
5.93426e+06,10311.6,4.09523e+07,70181.5,228499,99642.1,-128734,157845,258222,2.40781
