"FSC-A","FSC-Width","SSC-A","R712-APCA700-A","V450-PB-A","Y585-PE-A","Y610-mCHERRY-A","Y763-PC7-A","R660-APC-A","Time"
546425,2049.65,266353,1311.92,3558.09,748.536,1365.81,1895.53,5485.32,0.752475
337038,1378.21,72939.9,299.307,997.481,258.574,219.349,678.318,961.507,0.76397
6.14834e+06,10499.5,3.17489e+06,-869.387,40914.5,1466.65,-2990.23,1198.86,3833.54,0.778725
2.11197e+06,4654.24,1.33229e+06,5596.61,30147.4,5720.24,10377.7,15823.4,32990.3,0.782226
1.00255e+07,17068.6,3.56717e+06,-1103.18,33285.2,7556.88,-8539.01,20654.6,12214.5,0.785626
2.30012e+06,5889.48,200539,-1667.54,229.161,69.8139,-44.1711,-618.411,7182.43,0.785666
6.66358e+06,11513.1,4.63443e+07,63513.1,42500.1,104851,-136575,190754,371900,0.786618
552108,2116.05,254124,2245.4,4098.42,1159.42,2614.62,5387.27,8273.11,0.802768
306796,1251.07,201679,238.574,3413.92,690.869,1034.45,2788.4,2813.88,0.803396
2.35784e+06,4255.97,8.31294e+06,6981.15,72979.7,14937,-21078,22535.8,42709.5,0.803659
787869,3224.22,203260,635.17,3495.99,288.844,958.678,2186.12,2078.04,0.857615
2.37271e+06,6145.05,1.01079e+06,3315.28,19399.5,2110.2,4273.84,11865.9,14538.1,0.867775
604244,1887.89,474379,1860.62,1745.05,1039.23,2246.24,5628.74,6149.28,0.868058
539759,1754.11,254031,705.686,4965.81,1225.14,1179.77,2671.98,3785.41,0.86818
1.24525e+06,4365.6,589882,-2401.95,328074,3588.31,39957.8,13081.2,-197.334,0.8682
1.96903e+06,6143.62,953057,2694.29,17504.3,1751.29,4008.71,9965.18,16923.6,0.868321
1.86938e+06,6258.32,714324,3342.01,20838.2,3031.76,7011.88,14790,14005.8,0.880201
565529,2142.41,212181,447.602,4642.65,446.654,1406.74,2442.97,3281.24,0.896129
385362,1439.6,203601,820.484,4215.47,482.328,920.517,2479.54,2229.06,0.896959
934966,2304.82,605959,1063.43,11147.7,1317.86,2321.29,6019.12,6867.98,0.896979
645644,1777.29,398381,1043.87,5534.29,890.628,837.774,2055.55,2712.46,0.898517
537488,2044.9,195019,341.439,2173.5,672.636,247.509,918.561,2088.18,0.900582
514142,1914.87,119505,812.672,2574.39,554.082,436.542,1358.04,1258.39,0.900602
481967,1851.55,212649,863.414,2721.86,371.175,913.229,2279.18,3212.36,0.903496
923182,2836.74,338324,1202.93,5410.53,589.216,1828.28,5040.34,4524.73,0.907686
545600,1606.44,1.08438e+06,-2669.48,261855,-1072.15,-871.492,-142.318,-3588.79,0.921165
1.49885e+06,3522.56,739896,4273.59,10651.3,1991.36,5808.35,10114.9,22555.3,0.925496
1.2267e+06,2840.81,8.5347e+06,1729.05,34071.8,6885.24,-9349.37,9702.35,21296.5,0.929725
463868,1665.45,519201,2293.86,10327,1359.73,3010.66,5162.39,11414.5,0.932357
402418,1486.39,92583.8,258.032,1540.02,144.291,342.629,1058,1768.33,0.934117
738232,2578.27,335027,1566.49,5603.09,1307.45,1757.7,2958.34,4934.69,0.939339
1.40302e+06,4381.23,1.15862e+06,6996.12,27368.3,7900.4,12944.8,24174.3,23908.1,0.939622
