"FSC-A","FSC-Width","SSC-A","R712-APCA700-A","V450-PB-A","B690-PC5.5-A","Y585-PE-A","Y610-mCHERRY-A","Y763-PC7-A","R660-APC-A","Time"
833352,2305.76,375743,26870.4,13584.7,11976,16794.3,42520.5,2434.23,12024.5,4.31194
449276,1510.05,226953,-3333.02,7347.49,3440.67,3265.44,1417.69,-888.071,2305.84,4.36593
1.75898e+06,3555.29,1.59665e+06,6125.39,35054.3,-2109.69,7065.36,-8746.15,15760.8,10379.1,4.50643
333160,1232.21,107601,-4679.65,8964.85,6928.95,7175.05,15916.9,-1806.36,3791.2,4.53897
8.70825e+06,14707,-5435.3,-586.2,131.951,698.597,597.588,-1601.24,1394.1,-5124.28,4.72437
1.12273e+07,19089.2,863073,887.244,15714.5,-1012.45,1380.62,-2278.9,7289.66,4053.7,4.85875
6.65255e+06,11481.8,2.76449e+07,3458.3,52185.2,-13349.9,64366.7,-83349.6,140916,246051,4.86462
1.14401e+06,3174.09,1.13856e+06,54769.9,69889.8,76363.3,43532.6,195294,-13133.9,65354.4,4.92602
3.94307e+06,7099.14,3.0155e+07,90916.9,141051,-28591,59608.6,-84448.5,138313,350969,4.93495
5.41727e+06,9593.4,2.01522e+07,-2582.86,65876.1,-8141.83,53455.6,-34346.2,118394,213899,4.95235
3.39136e+06,6688.56,3.42698e+07,94442.7,4857.41,-19286.2,60203.7,-77440.2,121087,242227,4.95569
3.48253e+06,6061.02,1.14326e+07,42119.6,136654,-7763.83,29995.4,-33328.1,59805.3,82052.7,4.95658
626912,2076.57,483853,54188.7,41864.7,43353.4,59519.4,102001,9577.77,49116.7,4.96121
1.11598e+06,3954.53,413530,48124.9,38399.5,32305.8,41361.1,62953.9,26966.7,43106.8,4.96287
730399,1944.77,267133,19873.7,20437.6,21625.8,21616.2,77917,8614.1,38743.5,4.99617
655827,2165.28,226601,5439.72,7069.91,3973.25,3230.94,2987.79,-1191.75,5676.67,5.00319
646478,2143.32,165520,10600.8,13340.4,10152,25811,53687.1,1693.99,16407.8,5.01031
456204,1656.9,145560,3809.05,8883.32,10374.9,8298.08,51003.2,2982.52,20497.3,5.01638
2.2411e+06,4282.52,1.83582e+06,8118.75,51590.3,-2851.79,9281.77,-11397.3,19124.7,8649.85,5.0176
1.47668e+06,3256.58,1.06705e+06,25986.4,30679.2,21361.2,45664.7,74448.5,10268.6,33045.7,5.02816
802549,2191.54,306335,2661.13,20125.7,10993.1,21343.2,62331.7,-272.333,29630.2,5.03128
