"FSC-A","FSC-Width","SSC-A","R712-APCA700-A","V450-PB-A","B690-PC5.5-A","Y585-PE-A","Y610-mCHERRY-A","Y763-PC7-A","R660-APC-A","Time"
744773,2010.22,312649,4055.3,15651.1,4072.9,9132.37,19384.5,2240.27,10419.8,0.754302
1.81899e+06,3469.28,5.7709e+06,13866.7,51332,-3233.01,9986.28,-12093.9,17527.1,30364.1,0.776283
418321,1585.39,94391.2,8107.55,12957.5,5729.08,9271.71,42737,246.286,7841.15,0.786904
589597,1746.75,246297,4339.05,11990,5001.01,16944.1,39149.8,1175.89,5956.04,0.803786
540793,1755.51,147362,588.985,3931.87,1774.57,6634.93,3731.68,38.8384,5509.25,0.809226
349196,1322.79,115075,-1688.25,7607.55,5692.14,6191.5,7756.1,1682.47,4966.59,0.819367
324459,1317.47,89386.2,-398.922,10469.4,3461.79,7042.7,21789.6,1350.99,6881.25,0.839789
1.12796e+06,2811.99,521296,-38672.9,44390.1,38724.2,28759,44538,-8951.84,29864.3,0.85087
282864,1157.53,188714,-1721.72,4087.98,2531.91,2069.71,1452.02,-212.304,1770.92,0.869071
550836,1787.34,193731,21630.4,8419.32,5763.22,7450.7,22088.7,564.778,11837.4,0.945017
711706,1867.15,2.36767e+06,4620.88,20035.4,-1258.63,3276.88,-3977.57,6157.42,9884.56,0.953838
3.12824e+06,5692.07,1.89114e+07,46532.8,143256,-9856.76,31638.4,-35738.3,66539.1,105450,1.0181
402660,1478.54,165939,1443.6,3928.2,8503.28,15423.7,9426.41,-1072.37,8869.02,1.03628
1.59407e+06,3223.28,6.44113e+06,16480.6,52164.2,-3566.27,10712.4,-12630.9,17931.1,35369.1,1.05111
8.40444e+06,14384.2,1.13806e+07,3652.71,88950.9,-2248.98,20707.8,-23728,55229,29731.5,1.06779
1.49531e+06,3079.78,5.28196e+06,15348.5,47508.6,-3223.32,11326.8,-12767.1,22285.6,34458.9,1.08151
512734,1644.45,154818,428.765,9152.92,3468.56,9306.03,11960.9,763.511,5127.63,1.08577
2.68588e+06,4872.48,1.26093e+07,34757.3,114157,-9380.77,24098.7,-30326.5,44206.5,82078.2,1.10223
1.82491e+06,3513.46,6.75291e+06,17748.6,60527,-4658.12,12491,-15031.8,21805.6,41049.8,1.11907
948725,2660.58,669103,6159.36,142526,14065.4,15982,52331.5,21765.3,40020.9,1.14133
388083,1510.6,141807,12909.7,15494,16825.2,15076.5,82023.4,6404.6,28847.4,1.17028
604139,2037.99,228905,-7614.16,24940.7,22531.8,16032.6,48241.5,2906.4,23805.9,1.17304
620625,2193.14,218200,8815.88,94113.4,23687.4,28547.6,72413.9,5383.38,21978.6,1.17808
742830,2975.13,293305,23587.9,40396.8,23998,23643.4,106395,4586.97,19886.5,1.1794
430411,1674.6,90407.1,4427.88,13600,10670.3,11210.4,31814,7382.01,10198.8,1.1912
1.33483e+06,3878.65,436316,19924,59599.5,55110.3,62012.8,123706,34193.9,71806,1.1912
1.12213e+06,3439.81,468020,29402.1,17224.5,9927.85,18561.5,12626.2,2755.26,12384.8,1.20796
349996,1326.88,94777.7,6613.35,9513.92,4448.68,5499.93,21886.1,31163.5,10379.6,1.2201
1.73907e+06,3583.12,929528,5402.09,64688.1,45476.1,57110,221002,12818.7,37856,1.25972
540240,1758.8,307704,9122.86,11938.2,5140.59,15023.6,47107.6,-1084.89,11273.4,1.25972
365059,1360.61,126152,6660.07,11602.7,12156.2,10762.2,23530.4,716.118,9086.19,1.29117
353650,1370.77,122101,-5893.25,13990.3,6881.71,9559.65,20850.9,-293.426,6718.81,1.32547
389306,1403.46,68394.7,5612.53,6601.35,10916.7,11187.8,10550.5,555.699,4794.2,1.33305
1.42243e+06,3139.86,658513,3803.43,69675.2,30695.3,57824.9,95306.3,-1490.93,50096.6,1.34677
1.38007e+06,3722.7,491186,22745.3,39372,33467.8,44860.1,110205,13246.9,38185.4,1.61331
252316,1037.14,79650.7,288.803,3930.6,1665.98,1476.71,1404.04,297.619,1552.88,1.62813
356778,1354.84,118938,-15887,8876.49,15783.4,12206.6,31644.2,365.273,15613.9,1.67072
482280,1681.01,164672,5185.54,13465.4,8411.07,10903.9,27374.2,3087.82,10575.9,1.67072
333860,1318.99,119705,1907.74,5895.06,6440.14,6117.24,5667.78,546.81,5985.81,1.68676
373149,1303.36,185536,-2032.15,4456.36,4098.39,5477.78,4708.92,935.873,4776.98,1.7001
407671,1525.96,160381,1090.59,12295.7,8578.35,10006.7,17815.2,954.787,6968.19,1.7108
847289,3011.49,194293,30067.2,28129.7,16497,25091.4,69845.5,5434.36,26884.6,1.73978
1.2464e+06,3620.23,682287,-11407.9,41706.3,38202.7,33829.9,76001.2,6939.94,32492.7,1.76792
