"FSC-A","FSC-Width","SSC-A","R712-APCA700-A","V450-PB-A","B690-PC5.5-A","Y585-PE-A","Y610-mCHERRY-A","Y763-PC7-A","R660-APC-A","Time"
451328,1600.94,175775,1015.93,2830.36,747.864,1877.5,868.033,-94.8335,922.126,0.0382229
1.15802e+06,3004.66,1.11349e+06,3997.76,63046,17889.9,20581.5,87460.7,666.195,23156.8,0.0465432
733605,1964.22,1.40124e+06,5665.07,21711.5,-1904.5,3443.44,-4357.09,6275.08,11153,0.0518433
3.98267e+06,6861.4,9.78378e+06,69026,144395,2733.88,43653.8,7101.78,73569.3,89309,0.0937447
309220,1214.15,129779,-3036.77,1926.33,1941.35,821.578,957.684,-1297.66,735.363,0.236089
1.52143e+06,4061.2,766812,61448.6,70119.9,43654.8,57494.7,162592,41025.5,59943.2,0.24867
378526,1484.69,118575,2759.94,13678.7,16217.7,11885.8,25172.9,949.789,12834.7,0.328453
446730,1705.08,177771,-1364.15,5503.12,2519.89,6409.37,1578.65,-840.913,3673.86,0.441376
369773,1376.22,276163,-4228.11,5086.33,4507.23,12592.3,2105.56,-1869.3,1665.76,0.520519
504287,1592.03,1.75647e+06,3383.87,10622.3,-847.386,1939.08,-2582.67,3896.23,7625.7,0.54178
637907,1908.52,2.02278e+06,4735.59,11304.2,-1220.57,2400.63,-2958.86,5576.21,9539.78,0.611662
2.82706e+06,5131.15,1.49963e+07,36682.7,125875,-10175.9,24262.1,-32267.9,44735.4,89549.5,0.797548
1.20958e+06,2587.25,3.47899e+06,6040.7,27081.2,-1797.73,5736.48,-7248.72,11186.7,15531.7,0.823589
3.32906e+06,5809.32,1.19494e+07,35552.7,139806,-8151.18,28077.2,-24991.1,54503.5,83156.3,0.824029
3.74586e+06,6576.37,2.28573e+07,50716.3,181989,-14993.1,33909.6,-46289.2,69118.4,122367,0.980814
4.97714e+06,8816.4,4.21022e+07,118632,54481.8,-23120.9,80052.9,-101944,156334,246019,0.981854
1.35201e+06,2686.51,3.76566e+06,6581.23,37103.8,-2049.3,5519.95,-7052.63,9795.59,15768.6,1.31201
1.4874e+07,25182.5,1.15022e+06,-3764.13,3267.11,1732.16,1734.98,-1983.42,-347.236,3430.37,2.8452
1.09868e+07,18615.2,480502,1544.82,13837.3,-1005.17,2264.78,-3230.07,8190.31,5107.1,2.85982
5.95398e+06,10358.5,4.65152e+07,121489,-10976,-34346.1,93717,-126313,204938,500932,2.8634
1.02409e+07,17391.8,3.81232e+06,15036.2,28934,-1077.87,8367.47,-5848.03,21720.5,11025.2,2.86438
5.69503e+06,9728.47,1.50898e+07,15704.9,120391,-7826.58,24089.9,-27844,61459.4,62649.7,2.98306
527584,1859.53,273711,8463.67,15009.7,5344.86,8333.64,29707.7,8231.42,5304.65,2.9987
816722,2566.92,324257,19405.9,34986.4,14581.7,13843.1,62985.6,9276.38,18497.9,2.99878
2.6646e+06,7044.85,1.20448e+06,81689,121050,41004.1,72908.2,257589,36028.5,68107.3,2.9988
393072,1312.63,126767,18061.7,11805,763.837,12985.6,18834.4,3626.83,7858.77,2.99882
1.60208e+06,4200.9,1.40642e+06,-982.29,42599.7,23016.7,28567.7,63765.3,715.238,28841.5,2.99894
473630,1877.79,255987,8379.69,39631.9,30091.5,20378.5,86984.3,4949.24,22696,2.9991
683665,2410.39,320362,3225,35400.3,10879.6,22861.1,57513.9,8020.96,10649.8,3.0006
450568,1552.47,235632,7957.26,34056.2,20537.5,16035,73238.5,5007.53,24058.5,3.00062
432356,1336.91,1.43442e+06,3012.82,11451.6,-732.574,2464.4,-2094.12,4179.63,3725.57,3.02512
757454,2630.33,322790,18729.7,23212.3,26792.7,19064.9,86227.8,6272.63,26923,3.02814
2.11195e+06,4073.74,1.04328e+07,27984.1,82179.4,-7783.69,18505.6,-24586.5,37869.7,69354.4,3.03026
432943,1526.76,210047,-20.9639,14356.5,7466.31,10856.1,24106.1,6139.29,6849.78,3.04278
377227,1346.37,134201,-2687.93,4565.25,12922.6,9652.4,12290,9743.72,14502.9,3.07546
