"FSC-A","FSC-Width","SSC-A","R712-APCA700-A","V450-PB-A","B690-PC5.5-A","Y585-PE-A","Y610-mCHERRY-A","Y763-PC7-A","R660-APC-A","Time"
3.9533e+06,6825.88,6.28217e+06,28536.9,120406,-1310.77,27777.5,-1402.18,60032,45236.2,0.219227
557311,1725.33,1.15485e+06,3330.35,11681.9,-934.664,1921.54,-2701.79,3938.25,6354.9,0.401039
795326,2448.21,463015,97945.5,55204.3,25595.3,38506.6,89734.5,5012.49,40302,0.403944
473547,1545.72,1.91841e+06,2878.66,9082.24,-1080.89,2044.79,-2778.77,3907.14,9489.76,0.472253
995629,2346.54,2.9657e+06,8481.32,24873.6,-2528.15,4502.82,-5961.16,10396.1,14735.6,0.480626
2.97382e+06,5263.19,4.19004e+06,14363.6,78580.5,-4492.35,16176,-20361.8,31511.1,25246.4,0.486075
7.41673e+06,12725.9,4.57265e+07,86179.2,22519.6,-31951.8,88918.6,-118577,195357,518911,0.497874
2.12924e+06,3982.69,3.99296e+06,13454.6,59801.8,-3626.13,11530.4,-14931.9,22415.3,23009.9,0.522293
708269,2236.82,611246,30757.9,123.715,28375.4,18848.7,67783.6,-15590.8,47881.9,0.601701
5.16796e+06,9206.03,4.65004e+07,124925,-17808.2,-23080.3,85603.7,-108303,168118,275240,0.758272
403877,1539.08,135803,5949.81,12168.3,7873.35,6362.29,15479.8,-423.831,5057.26,0.827923
3.91644e+06,7270.65,3.51118e+07,89069.3,35025.5,-17277.8,61758.1,-78261.8,115521,184493,0.881229
642512,2276.08,235786,4210.31,12668,14771.7,15237.2,21198.6,5065.55,8945.75,0.93784
518497,1668.58,296612,5597.02,18218,14141.5,11693,14747.6,2044.92,9546.03,0.940424
976326,2774.27,765485,-1298.7,19207.9,14469.4,33141.5,31499.5,-6600.79,18696.8,0.952884
327674,1301.3,97927.1,5799.13,11379.2,5182.47,4855.5,23584.3,7997.65,7783.02,0.962038
761456,2337.27,226774,70081.7,34186.5,33224.5,28995.9,47609.7,7382.01,15167.5,1.02808
1.72752e+06,3344.52,5.69127e+06,11663,46861.9,-3416.52,8913.49,-11816.9,14813.7,29897.6,1.03189
2.98424e+06,5352.15,1.67062e+07,94795.1,118340,-5171.2,26500,-662.121,42864.4,78358,1.03335
4.07471e+06,7195.25,2.84283e+07,69286.6,168209,-17940.9,49997.9,-66060.6,93899.1,170344,1.03459
4.03183e+06,7272.65,3.33202e+07,262987,84618.8,-23334.7,60856.5,-76746.2,115973,193522,1.04892
4.25205e+06,7712.38,3.65404e+07,95329.5,47978.9,-18381.8,65345,-83039,125548,194098,1.15637
512755,1601.69,185154,4650.78,10480.6,3577.06,13474.2,19047.1,-434.664,10897.5,1.21342
866184,2719.84,211792,49398.2,17336.4,18009.4,14823.9,39489.8,11752.2,13148.3,1.2143
638180,1849.59,1.58681e+06,2932.15,11069.9,-928.186,2565.8,-3322,5134.2,8668.54,1.2738
521420,1663.89,243268,4223.19,8234.03,4230.99,11655.9,16147.6,5079.28,8813.09,1.31871
2.12864e+06,3965.16,8.67762e+06,21293,66508.9,-5164.56,12201.7,-16043.9,22821.1,42325.9,1.35938
3.60222e+06,6569.56,2.8468e+07,67842.7,116094,-15917,48284.6,-60740.6,94733.6,155855,1.41721
3.21187e+06,5866.86,2.17652e+07,53533,138123,-13343.5,36151.9,-48182.3,72257.7,125663,1.46092
331022,1314.23,95743.3,-6439.39,11240.7,10167.4,13505.8,10873.3,-3451.34,8059.44,1.61462
6.90174e+06,11895.9,4.76139e+07,122407,-3775.55,-34814.5,98840.6,-132280,213722,498689,1.63752
4.10815e+06,7143.83,2.21065e+07,48437.3,183921,-13550.4,35112.5,-47306.6,72501.2,110598,1.63796
1.5762e+06,3147.53,4.9255e+06,9905.84,37947.1,-2896.54,7023.35,-8888.4,14819.9,23204.1,1.64686
288940,1159.46,107054,5976.11,8357.58,7332.72,4769.24,11216.8,2346.93,3364.36,1.80589
1.01209e+07,17203.9,7.41969e+06,6688.57,86692.7,-3443.2,12838.1,-16935.1,38121.8,8636.08,1.93858
330047,1215.15,99918.4,40532.8,29656.1,3434.12,9717.3,39083.8,11852.1,1881.01,2.04295
289459,1144.07,91329.2,505.423,10429,13454.3,7531.43,20611.5,873.687,7716.57,2.06234
1.45486e+06,3260.76,793941,7231.27,62936.9,40572,58244.6,83939.2,15884.2,48209.2,2.07228
1.35787e+06,3224.44,919622,53618.7,55803.7,31743,41449.8,116982,-2343.01,43129.2,2.10597
613154,2146.82,606762,4788.76,36778.6,25176.6,22870.2,48378.4,7521.23,23413.4,2.12843
674199,1970.71,256931,89271.5,22177.2,16154.6,14026.1,34485.6,11788.8,16336.2,2.55716
372418,1370.88,115207,3288.57,6150.13,5529.3,9848.98,11576.2,-354.345,5801.06,2.67859
337987,1354.99,73580.2,5886.73,30197.2,1637.4,8586.85,39647.9,8975.83,2643.29,2.94728
1.04258e+06,3871.27,468047,72449.8,41382.5,26312.8,26456.9,121856,18376.1,24093,2.9473
842641,2676.44,393525,96300.8,26872.7,18353.7,35335.6,45859.9,5818.19,19580.3,2.98889
719617,2371,394557,19484,29021.7,32132.7,24678.9,66957.8,218.093,25465.4,3.19528
1.16869e+06,3318.53,904819,71544,54960.2,73669.5,61458,139792,-11036.9,84867,3.19562
723756,1897.05,210819,29269,22171,3321.35,12725.2,44234.2,3867.05,5137.08,3.19568
1.00157e+06,2482.1,577322,37744.6,47233.3,22719.2,22143.8,85556.8,10093.5,20570.2,3.19636
321590,1322.01,133401,12525.3,15671.8,17461.6,11493.6,33157.2,8031.27,13079.1,3.21559
464114,1669.14,104806,26935.9,17954.8,368.679,8338.48,32530.6,4927.31,4084.07,3.21569
443024,1553.53,193829,1981.54,3747.12,1427.18,4386.33,2512.69,-149.927,1408.53,3.22096
9.15536e+06,15597.1,5.60024e+06,6276.87,42616,-967.719,9800.4,-10195.6,27172.1,12872,3.22527
556299,1732.64,347756,12265.3,11877.1,10173,6834.96,6799.05,-2568.47,7439.5,3.31711
406682,1554.72,114241,77765.4,15245.2,10583.7,12523.3,47393.5,7970.32,12610,3.34508
538451,1822.55,265097,64062.2,42019.7,37105.8,34978.9,61992.2,36938.3,15098,3.35355
335868,1255.5,87359.2,1347.92,5470.27,2220.04,2332.13,11971.3,1.27508,3608.64,3.35363
492085,1866.67,143398,-8388.2,16102.7,11325.4,8928.42,15853.6,-1003.29,13263.3,3.38641
738815,2037.5,349308,-16355,19884.9,22668.1,11822.8,14058.8,-3315.98,17122.6,3.38883
1.31854e+06,3636.03,606222,46963.2,20764.4,9448.77,40021.3,29800.4,833.933,19707,3.3925
940773,2463.36,408044,58618.5,34073.3,14414.3,29896.3,62872.7,-219.382,20094.4,3.39258
487943,1641,122033,10526,9399.97,13390.4,11601.6,13215.7,37307.3,5566.47,3.41088
895054,2690.31,521184,-8775.77,57553.2,35209.5,48296.2,88258.2,47.3609,31476.4,3.48356
337052,1321.36,83249.1,2100.58,4121.68,5843.28,4323.97,10196.8,110.055,4839.39,3.49802
584161,1925.84,242674,1494.37,10597.3,13815.2,11360.6,25179.9,882.488,12514.3,3.49802
510850,1724.84,138228,-157.449,9572.76,4521.94,10826.8,9903.3,-632.277,5290.55,3.57763
698923,2246.83,151155,6802.21,11738.6,6885.92,9613.19,23980.1,1407.73,8776.86,3.62176
1.43491e+06,3352.35,568826,19531.5,44967.3,21533.1,23422.7,97181.6,9884.01,23665.9,3.62445
614694,1962.06,238287,13990.4,17170.2,20230.9,20798.4,35130.2,9762.07,20343.4,3.6329
606841,2029.78,213943,959.426,20614.2,13648.9,13173.4,26381.1,14054.5,6871.7,3.68096
670579,2251.98,360789,-9418.83,14166.7,7732.69,23357.9,3325.19,-5492.2,9338.71,3.79494
8.2846e+06,14173.6,3.75518e+07,13814.1,139400,-10960.4,77889.1,-84945.1,167263,170520,3.86784
385857,1419,86018.6,-781.73,6265.01,2733.38,3616.38,11350.9,-222.291,3822.01,3.87801
