"FSC-A","FSC-Width","SSC-A","R712-APCA700-A","V450-PB-A","B690-PC5.5-A","Y585-PE-A","Y610-mCHERRY-A","Y763-PC7-A","R660-APC-A","Time"
584984,1678.31,1.14189e+06,13666.9,55670.7,49411.3,20026.1,31989.9,-21156.1,34807.7,0.0472003
841059,2102.44,608002,-1432.03,20959.5,12849.3,22635.2,11724.4,-5704.93,10809.5,0.0744594
347768,1384.93,99949.4,-650.877,10069.8,6863.04,5469.28,11158.7,-443.1,3043.28,0.105929
2.57972e+06,4769.11,3.27307e+06,10987.1,66540.2,8154.39,24283.8,16317.4,29145.4,26853.6,0.220063
1.93488e+06,3752.56,2.93703e+06,8688.98,41382.2,-2582.21,9739.89,-12014.3,22150.2,12393.7,1.12348
5.2487e+06,9143.08,3.65598e+07,125676,-13329.9,-28583.4,79925.7,-104583,158935,398901,1.12392
8.76661e+06,14898.3,2.19051e+07,14220.2,171866,-8295.34,42692.1,-53602.8,105854,33972.3,1.12576
4.02367e+06,6972.68,1.69107e+07,55769.5,196960,-15816,38086.1,-52348.4,75481.2,123336,1.12882
273447,1105.36,745131,1443.28,5610.33,-384.333,840.881,-1204.43,1757.16,3634.8,1.2441
961126,3037.03,339253,21050.5,33597,27778.6,28810.2,110825,10638.8,28189.5,1.28839
707339,2029.08,308416,9938.3,18178.5,9658.31,13960,47029.8,1898.04,6833.39,1.31172
1.2819e+06,3570.29,433058,-10970.3,26971.5,20525.6,26958.8,18649.3,-3939.28,18630.7,1.40733
2.34324e+06,4258.21,5.50417e+06,17523.1,77786.5,-5048.71,13149.3,-17266.1,25231.9,36063.2,1.55687
4.83657e+06,8582.26,4.11305e+07,115389,38876,-22214.1,78594.1,-99707.3,150740,260882,1.56168
2.22299e+06,4078.77,5.60233e+06,16357,61702.9,-4079.89,12047,-15374.5,22185,31041.9,1.77564
5.39003e+06,9281.41,2.71957e+07,85316.7,261355,-23459.5,61717.8,-82637.1,128511,180081,1.81302
5.69308e+06,9725.27,1.08022e+07,38528.3,193537,-13024.7,30430.6,-39910.1,66146.5,80293.5,1.82164
643880,2079.55,475308,7189.73,46218.9,36962.8,35654.6,95849.8,10190.6,32451.9,1.89149
1.06642e+06,2648,745255,-5400.94,30835.9,22932.4,30163.6,82196.1,350.495,30138.3,1.89697
315763,1258.37,88386.5,3605.21,7765.81,5950.71,9777.64,19289.2,-68.2913,6121.42,1.89824
403457,1594.88,120808,9182.25,11693,10570.9,20564.8,33877.1,-1727.89,15513.6,1.90426
431160,1545.68,148110,415285,9120.58,6560.34,9463.46,16050.5,3169,4596.45,1.90521
1.49605e+06,3838.56,793176,2.72769e+06,61154.5,7122.42,45802.1,106481,32822.9,22575.3,1.91939
392780,1463.34,43440.4,635.778,1846.27,1179.18,8958.11,7792.29,-28.7037,2068.92,1.97889
2.56731e+06,5033.16,1.91981e+07,57257,128533,-13240.7,37350.5,-48664,68763.6,117708,1.99622
1.60073e+06,3813.95,1.2861e+06,5317.59,33359.3,17362.1,32095.5,15126.9,140.022,22942,2.00975
580733,1758.3,434790,51185.7,25670.5,16913.1,16316,39778.1,-5735.57,13347.6,2.02791
667750,1919.77,992735,4041.32,11826.1,-784.656,2425.43,-3038.42,4170.72,6447.47,2.05496
796543,2159.15,291366,8378.77,17221.4,7980.05,68574.4,35523.5,3851.97,19963.8,2.14698
5.46253e+06,9487.93,4.06755e+07,117778,115822,-24430.9,83144.5,-105194,160569,244568,2.16823
1.70605e+06,3316.99,4.26667e+06,10744.5,43225.2,-3298.47,8116.03,-10306.3,15982.2,21305.2,2.18648
1.03004e+06,3652.22,806267,47612.4,70623.1,58275.9,52587.6,199887,12316.3,72908.4,2.2219
692202,2603.71,300823,3081.82,13658.5,16778.9,28360.9,69737.5,245.767,12418.7,2.23309
437394,1671.58,175200,28728.1,11061.3,4675.27,7208.97,10483,344.109,4825.6,2.24775
704584,2158.09,245345,309583,11575.1,9407.57,14149.7,27171.3,679.058,11794.8,2.26794
