FSC-A,FSC-Width,SSC-A
5.75235784523387,3.35440182533087,5.39412173206753
6.20115550669643,3.52525182556914,5.63322867626874
6.04028803818392,3.51665926582461,5.8088094256478
5.83492316266129,3.32374434843388,5.30203131642432
5.59495980954369,3.18668721859798,5.23835641802939
5.547586007432,3.15007984126475,4.86657592936354
5.50306669678868,3.10846261125737,4.84758720067716
5.76852685526968,3.25889272099856,5.49290372060604
5.48082680864498,3.09242490496943,4.85156015343166
5.98504395463163,3.49443390742931,5.46742111487862
5.74994001314603,3.27271564430035,5.19371343985487
5.92453237354426,3.37383431297727,5.54814936232922
5.84582187518949,3.33894176585694,5.33701307113636
6.10924625615929,3.5546075301532,5.77525621141959
5.73889518541053,3.26511211150224,5.40928484345553
5.76440828501209,3.35927133950542,5.40955046683742
5.54532896334304,3.15933171149095,4.87361385359959
5.7921349997287,3.31863031432575,5.38650727191276
5.96441646529347,3.41762732231032,5.6769684148426
6.02800795456522,3.4608824019219,5.64146484669701
5.86486019015254,3.37295382043142,5.67122808187787
5.49755388792821,3.09879501085967,4.95167965687145
5.92416586727049,3.41436612260712,5.42491046442157
5.97727154714678,3.44744755513996,5.60383983168927
5.97385107087596,3.49559390412444,5.6670882326862
5.63963254827143,3.181022009392,5.35432679449806
5.89921165731486,3.28362846644324,5.56594299574123
5.81646446155704,3.28527081672845,5.52103951547097
5.61829882389368,3.17731345228267,5.34957406245813
5.59536134611074,3.18030003169538,5.04275918154544
5.6844347927761,3.20594215969166,5.34097655709635
5.9141842520489,3.33005589132573,5.67191639327992
5.45421300842007,3.06597807137861,4.69773709407556
5.86186502815802,3.40994279789211,5.43317221963864
5.83507810621086,3.31135269517622,5.29730444246567
5.52234596130744,3.11458671751396,4.96962116235487
5.71746466957575,3.31824020112573,5.24300989867003
5.72199324193406,3.33255706696172,5.51851612088777
6.06830301534704,3.61037130925311,5.4510117758853
5.94301923137743,3.3569656040776,5.79388369718432
6.0258936729743,3.47091994427752,5.66850673556681
5.78648427532591,3.33061002427066,5.57737305030876
5.81801176748324,3.33804137495514,5.49473974170215
6.15510080399179,3.56237224994907,5.84889367755415
5.67268759632362,3.23364002707403,5.2765850832255
5.81886475859015,3.31624662226935,5.43116854070874
5.59268146436071,3.17953663978001,5.30120944652476
5.79266804907662,3.32921217139495,5.39549353762704
5.77855181608043,3.34806082055967,5.20159826602212
6.05466500488493,3.57488364579341,5.57590183065823
5.56356254623869,3.17362245731472,5.00916888361235
5.9086295758748,3.44229899772002,5.46994368567273
5.58381367279237,3.15479427455425,5.28594115747448
5.67184058447082,3.24426654201205,5.18099891359799
5.8281806564663,3.39693253748691,5.42142566052311
6.08864830975498,3.52103829586219,5.70953254258607
5.75162752189115,3.25574448377391,5.5327017220536
5.72579541623875,3.21835882413516,5.23679830698724
6.05334572414464,3.53361031154427,5.64446287112044
5.8475329645714,3.31949066163338,5.5291860042997
5.82922633749584,3.29400241910355,5.1061795287721
6.1708996762845,3.59995369387975,5.90927496114586
5.95096945484551,3.43712994251025,5.60743428086983
5.67883661506695,3.25301974167231,5.19153109515132
6.10284367589705,3.56716490062447,5.49004372383985
5.93557308882149,3.46884297797681,5.62347326370277
6.18619767890696,3.6111960211952,5.78129762202908
5.86088556551622,3.30369645034119,5.38375014019318
5.71589614089017,3.31012958519288,5.33227411856054
5.79626734452033,3.28218176186943,5.21087115699648
5.75955729871155,3.2637158794303,5.24505260815797
6.00128173238552,3.52366288324822,5.44335947188973
5.5721657733168,3.16372989602908,5.37655625869271
5.85582169794411,3.44621198483377,5.38258730078412
5.7863749110611,3.29108838935092,5.18962408289048
6.06520824243212,3.50462406207243,5.80255115715171
6.16091120094793,3.62283208994558,5.62780162986132
5.84130543513473,3.37180041657705,5.24107222630123
5.66065838704066,3.22894859196999,5.15530462514926
5.8539096247722,3.34762996552305,5.56500396918858
5.88962192969458,3.4122517084722,5.37308431974375
5.48539722708725,3.09668664178322,4.94631054226899
5.47599302396621,3.08197246181186,5.13043559781183
5.6457224941905,3.21472393741752,5.02942703146957
5.87182308322085,3.42377444927876,5.64960514456988
5.78162374355909,3.32795473545197,5.35139942087512
5.60511712436362,3.18615286831388,5.21172550712192
5.94331475461845,3.40878880600333,5.33968523600842
6.0679243367205,3.58596548684991,5.55762948159608
5.81879159767801,3.39710314279684,5.38783574103033
5.76000733572546,3.28698772903732,5.30747818922255
5.87016717793614,3.44348473422322,5.43303924872041
5.69251879047998,3.28891675901203,5.15736203280005
5.72055094910416,3.26570374134553,5.05710540812304
5.86427052521502,3.39226723777928,5.60296309780487
6.08337204571033,3.63879338134119,5.68916287723174
5.63895291299782,3.2525441235124,5.34676292949137
5.65893499079896,3.26118605761407,5.20362476010404
5.7556154642284,3.2811600561703,5.02260426916667
5.8000153578401,3.38576302940918,5.35559643430883
6.02925617265899,3.46306498877004,5.59900995845464
5.78932447140629,3.39729281899009,5.42016649901812
5.74378143304673,3.28626942937724,5.24513905647097
5.57043862342241,3.1456057156389,5.03229496287787
5.80288358943816,3.37149404733766,5.34573759578413
6.0616129187151,3.58436031787078,5.66636038660541
5.77210572155224,3.27240959202306,5.29678286647961
5.8736481800277,3.34476691236207,5.39971292257706
5.69035439781814,3.27936512570558,5.01411569708513
5.75724920731901,3.30492917867952,5.16526408785942
6.08545671931038,3.6666337692963,5.76608526053674
5.5706966170377,3.13147662979429,5.102895394637
5.7168799480504,3.21239730767517,5.38148449326193
5.81062808175342,3.33650721369772,5.44907810419808
5.9677288901598,3.412290366626,5.58983085998148
5.53440265799143,3.1256202343679,5.08721922907676
6.19970463198991,3.63862673694247,5.7421260179838
5.54188820349864,3.14476944096253,5.17093803426485
5.81265247260589,3.37262248440971,5.02890724242943
5.88663884354101,3.3725193505147,5.37663289578592
5.82242286304234,3.29084392764828,5.19004765306648
6.21752491263622,3.64161758753838,5.81482315876189
5.81673343623056,3.3651897264644,5.23513856146217
5.88017176658933,3.47317989945385,5.59125905754088
5.72118027214724,3.26875278965155,5.29437948481607
5.9690712558062,3.47126489713071,5.56783025197293
5.88091167304286,3.35986530373802,5.5433112877148
5.90470454296804,3.42202276164453,5.36607100296797
5.79703450894457,3.26898662738754,5.25692608340705
5.78490505625237,3.29199170304901,5.30711432700511
5.95523670467429,3.43373580105851,5.53434175293599
5.70288756080191,3.22883578269729,5.17099955688316
6.07762791613362,3.52676396107067,5.7245672057886
5.53022616149777,3.12630588623219,5.04737089719836
6.20108171126672,3.58342745554797,5.95066596009423
5.82790189883018,3.27193153363044,5.21562079731237
6.21535348933855,3.60630903951587,5.86605958926905
5.7099045317432,3.2116696729494,5.19798494236272
6.05209176607275,3.55483031374811,5.42810993036512
5.79380899698831,3.37093981915845,5.27251147602787
5.98889353669459,3.44147789500316,5.58229483843965
6.01498048650474,3.50138071995822,5.46729822878738
5.585497566554,3.16416162037226,5.10582908591138
6.1231606800299,3.66646998567097,5.65576411475125
5.70325410222867,3.30167818507334,5.35038692624572
6.10110259542644,3.51782605873983,5.75999676973306
5.619202576661,3.1939165332433,5.07818722984331
5.81621786552631,3.32378144160143,5.51426298692606
5.96731094833538,3.44653829338625,5.54484740855603
5.78403617402895,3.31707821815409,5.33900132526134
5.80016193802485,3.34210814786169,5.48542847306664
5.54740503762619,3.15582995665784,5.01692332045662
6.14143273280918,3.7050342775731,5.67714290141742
5.61207639477531,3.17516007544126,5.301207275944
