FSC-A,FSC-Width,SSC-A
5.90054826938335,3.38985106466127,5.66560036710888
5.88164803969642,3.36975880380186,5.35560409457814
5.93761299372593,3.43544574836288,5.32592115195425
5.518583233603,3.08664710020188,4.99967005953394
6.13286000275592,3.5092155981954,5.96361202394019
5.82879174820205,3.29586764893982,5.40982606964674
6.01811174608545,3.58848765174726,5.67029471518352
5.92564550229352,3.42847452105912,5.59497857089183
6.00068376070468,3.39580800078177,5.76142236315234
5.60926099200375,3.19322961010147,5.05784350188343
5.73115075076457,3.2620254271574,5.42341408089706
6.12009517269522,3.56130264577185,5.78263574581848
5.9734874563265,3.3925241243964,5.61071301739853
6.03335364233346,3.44799281905706,5.9925679457349
5.51535802101916,3.11642417634857,5.0703063337673
5.99564337910756,3.42214107530414,5.80170867746679
5.74861409135552,3.28288647203404,5.3162884120837
5.54108058895131,3.1262734153072,5.0844749566561
5.56802052355734,3.12881179829809,5.09356055751611
5.78592935772615,3.39027738603935,5.21601976797375
5.85346984742629,3.26040706122185,5.51549851635474
5.73801087227751,3.29292632862783,5.11794594099921
5.59794040231546,3.19798512921383,5.16913536659357
5.6345806997873,3.22326932478305,5.18184260864173
5.74438660633491,3.26509324151434,5.23751522972344
5.72710076748423,3.22506809116969,5.25379013716037
5.97896011166386,3.44963068430245,5.52143709093686
5.78604096661909,3.38700649044512,5.22093313639769
5.56147068382862,3.15461787144776,5.16061154337639
5.62378836727425,3.18457993374915,5.02354322535043
5.83008136882693,3.33604670783223,5.33262760396533
6.04578271865715,3.5822153679396,5.57865944286557
5.58188558099685,3.16532365294667,5.3017127282773
5.71591953112094,3.25318463042598,5.23761826867186
6.02761281943461,3.51314129225241,5.64117521430955
6.03629572490375,3.43366540693865,5.62302035403285
5.88283728653837,3.36663346920597,5.39748577235323
5.95520107620694,3.41431259289207,5.25639938055801
5.94107227373507,3.41072616935966,5.60003434743044
5.93552170373562,3.46984369353938,5.6558130437026
5.95205911924666,3.48256164406112,5.26289857934438
5.83281578483922,3.33802741615929,5.29669295187102
6.2090229797901,3.56244124303299,5.77252828290614
5.96876102150885,3.3506718789035,5.69727177356986
6.22894561982403,3.68368334950019,5.79238724653878
5.76344795361652,3.35872599930917,5.17789030505905
6.03058177396126,3.48467804496332,5.79016313425002
5.83730406990797,3.36257242532273,5.28865304625384
5.67444193819436,3.27726697260345,5.25787685881352
5.74520651065835,3.29487767429997,5.1859376197141
5.74130578720281,3.30686172987699,5.45566034999166
5.79791791160034,3.3822147279327,5.33236504229058
5.88868689901825,3.39966113389447,5.26144763011948
5.50852387077122,3.09366582005171,4.94223411146769
5.86813677374155,3.40538175317726,5.33290009625776
5.53153340129748,3.11608190662565,4.95701532996666
6.10477574515568,3.60151322353401,5.61839189801742
5.68737078256174,3.21372150918097,5.15073390277189
5.74575433455415,3.27300526784213,5.26252383923822
5.72162652207641,3.27489811774239,4.99024895474642
5.76231511742052,3.30431540700444,5.23181010600267
5.57547726724732,3.14076478891507,5.1460928478728
5.71167789733992,3.2573922903633,5.28860165552273
5.68473556929499,3.17834870785544,5.17943015229272
5.95935037465617,3.38900780415388,5.39199070749911
5.6191576946166,3.21658738608359,5.10025560473585
5.87854687427882,3.31778706321987,5.39281413937674
5.48400592510376,3.09927558875332,5.09745395526732
5.78275178524105,3.28989812150414,5.67261561376021
5.70675758991655,3.24311181074987,4.93059379927946
6.00672083513605,3.54917587219638,5.67943212801099
5.82907637285387,3.29842233327189,5.3456846980672
5.60900569315087,3.19969684277284,5.51316385246869
6.23386019650258,3.68275746473828,5.70100265216144
5.8091620402194,3.27413411286031,5.34414982106544
5.68957491154178,3.23553785262464,5.1925581352819
5.65004089646701,3.23493145028774,5.14560239898756
5.72760847577409,3.31752373375821,5.26995088735774
6.04311682531423,3.49812262924284,5.6109024246444
5.85273772292304,3.34284438348187,5.37138682635308
5.83662640684531,3.26671072112951,5.42304696618159
5.58479880866219,3.18355375133068,5.33343852252076
5.57584532306449,3.1738844404681,5.0433963019955
5.89184879888613,3.39473129942047,5.71953235628073
5.64259672473434,3.24469692174322,5.00544503078517
5.50435892005175,3.11304284556437,4.89877210288039
5.84441855585951,3.29689264204864,5.41621541834468
5.76937707292318,3.3588552707494,5.36035037021102
6.00291976488896,3.41474398848958,5.65236786576045
5.87911289367216,3.45786180844595,5.67342058505443
5.63037463483685,3.16928558446453,5.11254688144137
5.70689236711293,3.19550868094182,5.22239298921067
5.54588289523083,3.13327290178176,4.98974098769215
5.81968910858847,3.37474234486943,5.38872741558564
5.71907316747311,3.31673069164903,5.16979682218661
5.65307608262396,3.20895093715524,5.09146878003909
5.78141832990719,3.30104459883999,5.3495682369419
5.9792932119577,3.55749484072728,5.40859210531603
5.9962067084391,3.49693480027469,5.63138050479856
5.57082263963814,3.16460480771318,4.91373523400132
6.07670802426254,3.52728403529894,5.80862322676802
5.95597028995053,3.39619886766949,5.90861188792409
5.58937051775049,3.16519601114276,5.20431444129428
5.81371883167338,3.38249202906713,5.01078172757462
5.92906350559068,3.42047679579697,5.5377871918263
5.82331812719263,3.32387210045356,5.44408331402342
6.01881931322427,3.48830773286442,5.74319110558785
5.79461117730757,3.25216762772587,5.58732212240627
5.52297947764986,3.12004628888283,4.8982816526654
5.56250300886506,3.13880374317708,5.19212584646502
5.87671171820824,3.45326745292866,5.2145356471673
5.52914619542465,3.11041031678357,5.26086446127044
5.59437117466096,3.20401607918151,4.85956971790194
5.64499725586309,3.20647431974439,5.02243933049214
5.85219483771409,3.37142573075311,5.51893967828043
5.92732757689378,3.35952003041804,5.78031346415245
5.61865323552608,3.22720189451262,5.40439690668193
6.16598157234312,3.53896528323555,5.90985472177526
6.1173063219999,3.58169453935732,5.68586946261687
5.96511448389065,3.39222147490406,5.71792389834225
5.85453901458472,3.43104955125646,5.46534218240418
5.59370094934152,3.18388375862172,5.02001162293412
5.69436004487585,3.27311411634901,5.19998722495349
5.51422444454034,3.1197629030344,5.0041994844083
5.99094841838316,3.51558208669932,5.50886175289087
5.82058279918679,3.24117210167873,5.47975327722555
5.85045548181949,3.4262114216965,5.45146505727742
5.74261097244355,3.21924839453658,5.33067885002163
6.10461535170962,3.52196758505966,5.73759784067523
5.80720590654994,3.33781997546818,5.2792964890349
5.8449277987347,3.4248877185466,5.42135982632368
5.84699835526332,3.37129275956144,5.3034199687051
5.80653042847295,3.29978771297474,5.66888949685092
5.6065937919952,3.19498785348961,5.3630883625456
5.66392569915895,3.20563661597438,5.20884336906839
5.85736968567781,3.28595929563046,5.51907376252852
5.67144190826189,3.23693692350851,5.33397628208427
5.93763304866197,3.38100441654738,5.54861376480558
5.45303941088268,3.05599235163824,4.76159603432872
5.81262773566842,3.35667533055465,5.61476190722007
6.26509050671564,3.64550157992575,5.91434033089063
6.1376660004493,3.51666058749872,5.67229523895888
5.50949373442274,3.10049021854658,5.07691941374425
6.02261625971973,3.51171726185747,5.553656912966
5.60558046879693,3.13214029057609,5.05498689718237
6.06452000551442,3.57005785297864,5.58204591944328
6.1106757719525,3.54317586337779,5.94526254539446
6.1069607411151,3.49429338616895,5.82642187739374
5.61317418323767,3.20722417908195,5.08587064381117
5.80137122745265,3.29086838001175,5.18242508807812
6.02160918587331,3.57506623136544,5.30108136369433
6.13223908159319,3.51620701719846,5.7299182016815
5.70191636639364,3.26698089064178,5.05902033249066
5.81732843084607,3.33583230595791,5.31899701844252
5.82645879375023,3.33564988085201,5.16773859470723
5.75544542123999,3.33883628560605,5.42316991861567
5.52818325079171,3.13784676596266,4.94655717695982
5.87653169968559,3.34465694586069,5.33604456859849
6.12410158460832,3.68336833793221,5.74141529336788
5.79682239106188,3.32951935319943,5.17620895790445
5.84139179556186,3.37026270157406,5.45882007436749
5.74376263020366,3.32427159805545,5.10902362260346
5.62724462362902,3.18861276800252,5.01314768592137
5.9491369965608,3.33316045501022,5.50373303276659
5.61724748007393,3.20778976241717,4.97366326379525
5.62107305417871,3.21732526646594,4.99132735753554
5.67893941071786,3.21407978493643,5.25838979664529
5.80808239276371,3.41263813524778,5.3945543885213
5.43581197935338,3.04813374582946,4.94405832329371
6.09002714066516,3.46967289505859,5.83897285159288
5.73673078612102,3.26887440098717,5.47957769576694
5.58414305408263,3.15235172572302,4.89284093224816
5.56461713798766,3.17308343956903,5.11245302968896
5.508993603672,3.11602206480057,4.99969787461425
5.755192139659,3.29599288485637,5.27152484450355
5.87657267199786,3.46296479419179,5.44518941319102
5.68672620827963,3.23980663190187,5.34076061256021
5.60457772943262,3.20168580720842,5.04924771363702
5.86384646843725,3.47213999398644,5.56819427908214
5.98675232814544,3.44984192061213,5.54917946794592
6.14979029837044,3.65176895944791,5.6888882666858
5.71557021734997,3.32831583112293,5.47799570480327
5.93701242084192,3.41048658069051,5.43486842759321
5.49886397096238,3.1041856128817,4.98610840166664
6.03343005160596,3.58209147191036,5.51451542142181
5.81872172079618,3.42555822524085,5.44340484516714
5.98442048502868,3.56093876137443,5.53515058574223
6.03239537502666,3.55213350428738,5.74702291092712
5.73350835034697,3.26054771743852,5.2703006309766
6.01999050598261,3.55793253613309,5.68420031199023
5.54054926635444,3.1408275973705,5.20032962663379
6.0818424154896,3.59336552359239,5.50632052934521
5.7769027843669,3.3346642628245,5.39856087894286
5.54497001429324,3.15471824751843,4.87972797035815
5.63233747238755,3.18500277680938,5.05702543608142
5.50052415761086,3.11426970259794,4.95103747630292
5.84838044608824,3.37841193828942,5.48348981187862
5.92917241012335,3.37356796391735,5.39109689094309
6.07753710443296,3.51172394581546,5.75368695333542
5.79736287930413,3.32948274690519,5.446594101975
5.76771056027388,3.34045348503739,5.25585517190131
5.80424009057437,3.2807233957829,5.62277508939867
5.63651663832623,3.19957068663739,5.10100999412656
6.13700440066514,3.60252847814929,5.780917316622
5.60962178625576,3.18315798100311,5.15377419800443
5.81679237640425,3.29702415761519,5.32429615748665
5.74065132615112,3.25159375499135,5.33973092421039
6.09929922568841,3.61236177709453,5.48684354543661
5.71858111452246,3.3022805361789,5.19142769846097
6.15741314224148,3.57127283417214,5.74193408744548
6.10022081084859,3.64076530034737,5.60676674571841
5.73339281996294,3.33152188977818,5.26677400785154
6.01073897317529,3.5555426959369,5.28130308551524
6.02636394951962,3.41290842955437,5.72851582663207
5.63509417209467,3.20798350726811,4.90530118953794
