FSC-A,FSC-Width,SSC-A
5.66815720625943,3.20450179067983,5.04002312117127
5.71796879683102,3.2892225574138,5.39568042549264
5.76413550956811,3.32573875691022,5.16374756682158
5.82951453610496,3.31822559115133,5.41811337230926
5.90753531977964,3.50435085439248,5.68939735847872
6.00267380608321,3.49556754340928,5.80242796947868
5.53724678031744,3.13119097566436,4.94895186682673
5.62154045562211,3.15882586961674,5.22624577155712
5.87856525566353,3.40160337980179,5.62648578265529
5.68654301752308,3.25723859922109,5.21486942101991
5.75391738843498,3.30561514499069,5.2851017523415
5.88891635848792,3.30285610544453,5.53888232665728
5.54628059782266,3.12652013347054,5.11413926596139
5.87647167692553,3.36311107768041,5.60663784264818
6.05141327456752,3.58681420939734,5.52398520755872
5.57203897647607,3.16125634462118,5.08137128067049
5.89754168479367,3.42515702445214,5.29965252718216
5.99650320387701,3.43291756528317,5.71831535670576
5.90254931074405,3.39078630066343,5.51282530198415
5.90169891886312,3.37764081515223,5.48710676738075
5.63523904267305,3.21641063580782,5.221663676204
5.73443389013442,3.30277176517544,5.14207225666666
5.8068225644718,3.23529539328626,5.37412606629902
5.74571299873827,3.34131525058835,4.94272792456939
5.70312765457761,3.26305281160466,5.36989211964107
5.95458867653483,3.52055915120354,5.34921467604185
5.68095130084891,3.2626829484952,5.12599384454934
5.79028562665956,3.30544536709603,5.20644713900252
5.61413194910306,3.18392072657622,5.09152858463358
5.91368442248019,3.47694855231757,5.36808346702451
5.65412228273502,3.23122924777487,5.05062973138926
5.65428212447308,3.20708671189674,5.23229624949679
5.78102231131598,3.24101754734972,5.26810892692805
5.77806413466069,3.2307725420797,5.28209995985843
5.90193739243722,3.40635914430605,5.82370283042019
5.61873996481842,3.19848312851521,5.1655964197893
5.89004729618429,3.40163266277777,5.53129322572115
5.85512141985266,3.39846731300743,5.37310455378168
5.6669816579623,3.20197777590378,5.08438914159754
5.58265602866204,3.17024036731324,5.02619671834014
6.02441409649607,3.49755536278296,5.78218418643121
5.79173390599985,3.37259854479541,5.26103116086271
5.87331226307853,3.44837193147195,5.39897354052819
6.1490452544974,3.57153033284504,5.76972186058298
5.73790526888245,3.30518734957838,5.17129240222717
5.75831122567278,3.33077632914725,5.1075208445945
5.70248624772806,3.21091944019578,5.19444400892923
5.66062233519138,3.17237733464129,4.97403088076211
5.97105895230258,3.44369741691084,6.40180115758073
6.04811368911876,3.56274206750874,5.5318385392537
5.89776596484393,3.41703755568548,5.39261546221359
5.45655073186584,3.05023171173132,4.96946696808404
5.77075605674336,3.25661366905701,5.24479810324283
5.82663685490181,3.33756253147578,5.60792515489104
5.46810006264491,3.08436077553754,5.22158546283453
6.04486718326562,3.45049964109047,5.70666543965946
5.77774836926172,3.22329010234495,5.32426116663037
5.86642006356927,3.38878608798097,5.38319876375239
5.75104854118957,3.32964135190077,5.26014692300675
5.97434478531726,3.43778499613245,5.74953353868517
5.98241627097952,3.41776343630585,5.48694262618187
5.58913792647571,3.15329561062009,4.78841202580946
5.86599691894763,3.37012381754299,5.11993405107946
5.75464769480726,3.27608646013008,5.12470195090933
5.58538137299216,3.1667873646519,5.13721689205219
5.91962801988748,3.49170160652698,5.03907153496505
5.75446351341714,3.28762198688619,5.18793974605301
5.67871104400512,3.2010028713194,5.06197865650686
5.52844959191595,3.13272296243041,4.95702635782816
5.99112309902197,3.41394942033331,5.5461373680457
5.53024281452436,3.11606528472355,4.93271599513384
6.07158587109563,3.48810311342696,5.67698120681566
5.86820678364739,3.37376452694812,5.34030459714642
5.45669945731537,3.0672595865952,4.67119652224229
5.92339462597401,3.38820376598429,5.45310367403996
5.68728156340019,3.23121649715076,5.26300762014764
5.7093833184592,3.26123603718903,5.18810875562741
6.10196198871364,3.51526265429262,5.72605418912179
6.05467649263073,3.52014110445519,5.64837041172247
5.66513676791504,3.2755709899112,5.30835235193051
5.68882781127388,3.2206538183278,5.07568437105068
5.90795048492555,3.40776422893431,5.29836101327291
6.19286161949008,3.62307628795507,5.78221430500174
6.15816510179636,3.61648782848233,5.75410639172802
5.58507099507682,3.18332886135815,4.96705048621966
6.03348232388982,3.43311946529167,5.82954476014535
5.57633865140998,3.1545053009859,4.96876284869634
5.74253948159101,3.26255959076098,5.26581192036413
5.97221656948456,3.39991368527763,5.50608901620604
5.88824896269817,3.49075988444568,5.37142006576796
6.04009404371541,3.58597900736727,5.54386283175041
6.12403304584083,3.62829667112109,5.50998389495398
5.50530148978832,3.09907858156261,4.81803086118419
5.68817115038393,3.23825623355378,5.01686483898846
6.19489315260655,3.63032078852699,5.84130731271794
6.16081524518437,3.55900806459976,5.78367469810245
5.7812724703311,3.3234557378218,5.12126317933829
5.8980565869859,3.50310360757418,5.49940065240562
5.93325522617827,3.47974618032299,5.51805262852816
5.7752766135693,3.2902232660424,5.42763159163711
5.71318437708516,3.24393480920511,5.22511705677736
6.27485162480121,3.65641419696325,5.85007659741182
5.70973340546331,3.24292567627094,5.45193474133292
6.24585198996648,3.66647092175289,5.75589440400909
6.01070507687697,3.50574635052321,5.49709096715459
6.00213825618906,3.5105915537921,5.65068011544403
5.9032906157736,3.45830800006025,5.4183521061905
5.7367960743267,3.26214893668811,5.27862708226064
5.52999038861482,3.1362661434527,5.19561369086033
5.93354228348607,3.44746615495829,5.29568947075661
6.26463265542786,3.58643732918544,5.81765371157364
5.7523493958824,3.28119642472592,5.11345753026293
5.61825175634996,3.21824060245957,5.05097744622458
6.11112657611363,3.49535382381348,5.81080066675764
5.81851070349068,3.39677231638684,5.28972862052562
5.8273457851341,3.4126801174478,5.27407850762152
5.96552325971207,3.47622963848023,5.58662179624259
5.78047548554183,3.38427942743604,5.34160199195335
5.79429536486788,3.35311134887757,5.31877819895475
5.81141590783411,3.38526607730918,5.09703388132131
5.72380990628621,3.31109179932742,5.30251200699375
5.97117081530428,3.4802365767403,5.40871413449419
6.00400119247037,3.57560660446161,5.49217999796143
5.8476076093431,3.35984065045926,5.41134971519279
5.92147820202208,3.43232574616828,5.23493127867507
6.04797760523143,3.55707597181195,5.61548991563018
5.95393871422842,3.45253579087005,5.4867968281012
5.79257213446208,3.28743830428757,5.32974895096773
6.00250112019981,3.52726468885237,5.37616921729457
5.69170343854871,3.29935849547977,5.01987473818359
5.79313192073002,3.34900292210563,5.07564788572873
6.19701180725546,3.65658660456583,5.74216533754275
5.95171561651918,3.53917615715421,5.45481081189319
5.85926661881251,3.37753340404036,5.50800509398715
5.95581069031236,3.43668527570054,5.27302363997264
5.75170060951628,3.3230864489372,5.1518068586528
6.0167976109685,3.43755195468696,5.75126189915231
5.98864306865407,3.50958518512187,5.50165981343524
5.77117625500048,3.31454075052796,5.36883086711092
5.7853466776574,3.32265487031928,5.33307359483355
5.58413400226553,3.18737891781099,4.93175199922739
5.98458701111853,3.53987206724802,5.43385885477145
5.49838038996698,3.07885802925332,4.90783232156457
6.17798518060984,3.55388997181131,5.64721925450304
5.63437917226426,3.2223515238147,5.00066681279118
5.50654515510147,3.11543983909545,4.91976852802754
5.84777289259609,3.37847008073296,5.07818360241452
5.48869544393387,3.09226339550007,4.92197430043005
5.81020674007185,3.31738364431051,5.19947723102881
5.65104787123056,3.24771979292284,5.11105962941308
5.60886355805567,3.18215127121007,4.98661660187563
6.14771516396396,3.51759532470365,5.85988350114108
5.62111358221861,3.20501675674727,5.15454769214019
5.5558820658419,3.1299563317055,5.08034019558639
6.07127270557582,3.49086368609275,5.66677684890024
5.84894533632757,3.44425833681716,5.57434923697486
6.10508271631965,3.6696930984819,5.67144931161882
6.12508278684337,3.65841755847921,5.67914947482098
6.01217712580726,3.515389925233,5.63514850422487
5.6490335303241,3.20398892843297,5.01961744403868
6.01837825962405,3.46592200130628,5.46333245804828
5.65046261459325,3.26193039591869,5.39834051662601
5.85401114215154,3.39940670424431,5.22674590992957
6.18278420396054,3.64723301983249,5.62099094732677
5.84818336162811,3.42689289074187,5.27111327944222
5.69213513041706,3.22370803961307,5.23164454031314
5.92766782845446,3.43090143707515,5.57137763722657
6.0376040272334,3.4866581582646,5.69030123503056
5.94926392449073,3.48357121582923,5.68024996733805
5.88468530830609,3.41818644523398,5.35413660444352
6.18271007114049,3.62757959684037,5.8616238037469
5.95801967443533,3.42402481571272,5.56800173501168
5.79685012477664,3.29710304784274,5.3472571204369
5.91584796535802,3.34732167116939,5.47736968297556
6.19772308058573,3.69319626257319,5.70302182314312
6.24179683926598,3.71262169472617,5.72021940332974
5.98259803302826,3.51479169272371,5.40351113711009
5.88572052765403,3.44837193147195,5.54515076365606
6.11322304825045,3.61068328772307,5.72380826567671
5.9431727107559,3.48060293393388,5.31869272521518
5.74255833746397,3.26455982532843,5.34688017980302
6.22257748956608,3.64322631565641,5.72831697278738
5.89672769730307,3.38998732072608,5.51355805104885
6.00604037798168,3.46292291498109,5.48686619445707
5.73916210814086,3.25909366285097,5.13237387619588
5.9867550146148,3.52931319856955,5.53816344499631
5.7780786138062,3.27261828742318,5.17058337691545
6.12922108359685,3.51563243219814,5.79770622485524
5.86859016714711,3.31330971161269,5.35814747971122
5.65658462430435,3.21436619288724,5.13750493999614
5.86125932469781,3.38702430475135,5.16912654037633
6.2578718426319,3.69265106832376,5.77742512381694
5.92964350377748,3.4178414336354,5.53913340337115
5.59726029788139,3.15994515702396,5.14836711342633
6.11392519749975,3.57238794827879,5.59079688470492
5.67840424315437,3.27428655951845,5.21026675796752
5.85630686843001,3.35216268511679,5.52951075974392
5.85698712956355,3.32406365804911,5.40260809009051
5.867224437255,3.36521595110278,5.4181034222157
5.71178585722225,3.27004667020457,5.08074787492672
6.05125506454365,3.45883980582984,5.48712232927458
5.96610213137639,3.40794081853474,5.45495556394442
5.75450173174599,3.3693266906675,5.28325068757271
5.96387074005538,3.39829377133988,5.50301214551674
5.79685081809682,3.3927544892897,5.34928657712094
5.90274602924583,3.34800625623254,5.43314498794649
5.98378394720028,3.47034686397339,5.9669511870293
5.71024404316193,3.28050490083908,5.38225603204296
5.93246395095757,3.42581245334813,5.76189602199191
6.0977311497539,3.53270308224954,5.66606253498854
6.21799049857029,3.69175560678089,5.67068053985949
5.9885026185648,3.56044673457747,5.52286483536696
5.79876224772174,3.40733944071116,5.3422403518895
5.93881515368606,3.45942373943704,5.5093929479532
6.01627920790272,3.57774187813996,5.6128322166912
5.64678359932812,3.2366524328118,5.29540139270752
5.94275125511456,3.43055832656495,5.43832658334466
5.8726932167352,3.43179418614495,5.34040773818168
5.92755905905584,3.36220477893131,5.25261679121567
5.71213738425937,3.24711050747396,5.21239180069391
5.65991967560087,3.24077812885237,5.25530063019197
5.94235964316189,3.44644819457519,5.58137118884272
5.96963470868153,3.48775857054327,5.38396008979428
5.9410837139492,3.44225978337828,5.59954648048119
6.06357564691303,3.51810541244063,5.52159262173978
5.83434099554141,3.40552688041131,5.35145356057595
5.90905654802963,3.34968486418579,5.27719341555909
6.00077914470635,3.52286752964226,5.68391714923674
6.13910915463728,3.57573121051984,5.7079775892598
5.6275355027707,3.2192667440597,5.38376629376637
6.02524262461893,3.52696148195296,5.70757158734088
5.73665672786131,3.27530150533201,5.29946950548518
5.55051166194015,3.12674724995372,5.02134089205667
5.88244692564226,3.3428404391641,5.528516473203
5.86829501535207,3.30654452278341,5.53086108634799
5.75700457530774,3.26716638801325,5.1533320179113
