FSC-A,FSC-Width,SSC-A,HA,pAKT,GADPH,p38,pS6,pCREB,Time
6.50748642941955,6.37162890204074,6.59186908797413,6.37167749042845,6.37434789586003,6.37187078614998,6.37046392105321,6.3722335801537,6.37287090130931,6.37124359412561
6.43974752324821,6.37152716385967,6.39119542921412,6.37161188642255,6.37469584268086,6.37465139772964,6.37825212434943,6.37221951885685,6.37328888429373,6.37124359522744
6.72184201183809,6.37219507592545,7.1568685764474,6.37348493041759,6.39099265613623,6.37542335981207,6.36572827793437,6.37695065444047,6.3823737203438,6.37124364336203
6.44575003324207,6.37154978548018,6.39135560418019,6.37184330371328,6.3717637538587,6.37500285594498,6.37396646227103,6.37224912648952,6.3725558901115,6.37124364782625
6.71514401075455,6.37218481247019,7.2716430165652,6.37361304327016,6.39325888662624,6.37586164366112,6.36515193186925,6.37748348501662,6.38648080862973,6.3712436489206
6.46614814135905,6.37162083267134,6.39688513017332,6.37204948655587,6.37559613307062,6.37949504275846,6.38081404011727,6.37081568389603,6.37315067052682,6.37124367095314
6.4790586575045,6.3715860045718,6.40316463501507,6.3722626818504,6.37274474162651,6.38018397078106,6.38658026999481,6.37112505324112,6.3777953765846,6.3712436872071
6.43197022684589,6.3714874762587,6.41392945356479,6.37177023012109,6.37214485862848,6.37419374432546,6.37191217070254,6.37144653498508,6.37149277319481,6.37124369987413
6.44127493117468,6.37152061012617,6.57423400696863,6.37133273604512,6.37266390396302,6.37147253962175,6.37095895158552,6.371386597821,6.37227699791628,6.37124371345318
6.43278495705388,6.37150734728232,6.39359362749316,6.3718528428874,6.37155963568864,6.37489711677881,6.37367403611004,6.37209318084444,6.37283200812887,6.37124371746923
6.64624105590954,6.37196057618072,6.83984311606824,6.37199699892155,6.38139295831912,6.37359705879014,6.36821389497677,6.37467727715748,6.37578443159345,6.37124372936132
6.73086307275537,6.37222975568822,7.20670854672465,6.37338314086016,6.39243911328968,6.37582927256434,6.36518638247664,6.37719075783024,6.38435651494961,6.37124373025412
6.60703457282453,6.37184862767192,6.88167680842253,6.3720194319656,6.37891424077563,6.3727989741655,6.36928032865144,6.37367684671818,6.37509476381392,6.37124373033023
6.72220031644471,6.37219408424442,7.02908051804593,6.37285078889751,6.38855837388045,6.37505314307432,6.36620489600012,6.37726742879862,6.37995040575346,6.3712437316143
6.85948541391873,6.37281055575747,7.55876196627651,6.37958332294807,6.41664832789647,6.38405640430023,6.35351589571563,6.39076329729774,6.40676697620535,6.37124373173585
6.82899682729294,6.37264031281188,7.181164500736,6.37424647349919,6.40094705231785,6.37829912860784,6.36176548582892,6.3825168062652,6.38770096517018,6.37124373738937
6.9467523845458,6.37331100250465,7.68146873903844,6.38495223071206,6.39190412612304,6.39073698126365,6.34485834966037,6.40504824613514,6.42236344219264,6.37124373851789
6.52619591069888,6.37185927723809,6.43704386336168,6.3729721228312,6.38090245009501,6.39036732861408,6.3977412300331,6.37929969689618,6.37510463281913,6.37124375181947
6.45812530579918,6.37159871496453,6.39831091145026,6.37226718239468,6.37518282622905,6.376272789686,6.38195841787342,6.37140452471691,6.37347858994475,6.37124375380663
6.45732634069255,6.37157944988029,6.40741945988143,6.37201448628431,6.37784774308373,6.37990287365598,6.38347332312104,6.37276201666132,6.37458553752733,6.37124375422837
6.48548406085103,6.37175240632851,6.42830394147277,6.37275202248209,6.37728506412177,6.3845295338558,6.38860796769824,6.37309552721563,6.37568380132782,6.37124376732859
6.54368333726712,6.37183557776951,6.46776566596775,6.37422609078156,6.38964248332802,6.39620423070101,6.41586874130738,6.37199653236094,6.37926821578336,6.37124377014759
