FSC-A,FSC-H,SSC-A,SSC-B-A,SSC-B-H,SSC-H,Comp-AF-A,Comp-AF594-A,Comp-Alexa Fluor 647-A,Comp-Dylight 680-A,Comp-PE-Cy7-A,Comp-PerCP-eFluor 710-A,Comp-eFluor 450-A
906945,482053,482371,3025250,1807390,284344,5986.58,20869.6,-80.7411,-251.95,-34.4371,-68.0649,427.783
762107,495968,228517,1197700,764885,151670,3399.73,8432.01,-222.474,110.521,-180.217,-81.6398,-300.912
1048900,582022,607783,3754760,2328290,375568,10536.4,11258.4,-122.474,437.958,-814.595,-373.352,-398.448
1138380,566354,346919,2238520,1084560,175405,5324.88,10622,-190.472,653.03,-84.6565,-169.635,-269.243
1086880,595124,714718,4164040,1972150,344254,8877.59,20816.9,92.6259,-136.881,-4.99321,-731.888,-615.821
522900,375015,186531,1165160,905144,143131,2546.94,10841.9,-282.209,30.9816,-152.635,-1.32955,251.604
1054240,518526,545195,3601910,2129440,317528,7984.85,16397.8,452.249,-490.397,-211.358,310.625,126.748
591063,406234,284329,1776400,1313330,207432,8136.36,11189,-615.87,563.497,-62.868,-414.97,374.791
1252610,750853,708409,4171680,2441640,430683,13641.9,11609.8,-387.211,255.759,137.681,-473,237.383
635042,463497,172315,1021680,862422,141750,4257.48,12153.9,337.632,-198.808,-106.117,-349.548,-134.34
644534,423450,291124,2074410,1378330,192568,5652.92,6974.45,31.5474,-229.005,117.736,56.9332,-18.5298
817603,339556,383446,2114750,965738,177614,7451.07,7200.96,-183.847,-5.67673,-287.087,106.4,108.587
881830,398466,552806,3364700,1714200,281415,6930.62,15507.8,-447.601,119.727,-289.507,-246.597,-159.176
987448,495392,325897,1924140,1150530,195771,5902.33,6056.91,-108.983,-150.122,-236.091,-102.802,-333.469
1083210,654945,448808,4093160,2383390,247708,6582.3,18967.7,-83.0572,91.9145,-126.612,97.5437,-639.567
1180140,621028,483669,2756900,1621890,291425,8039.21,11221.7,-91.3443,62.9621,-227.622,-219.558,-88.4434
1097310,590691,677041,3927370,2450360,426043,12339.6,12797,-519.497,-226.371,-194.969,403.198,-579.957
961230,515445,338720,1672660,1061600,217277,5734.96,7587.8,-150.094,124.279,163.91,-194.201,358.596
1632320,841562,767149,4194300,2588140,430874,14297.2,12344.1,103.513,-269.332,224.469,-675.017,-232.609
1044970,482502,500630,2958100,1445360,249221,7924.48,8013.56,-335.903,152.116,-133.867,-100.503,-329.989
623861,350672,462455,2957870,1822480,282855,11502.5,15185.6,352.652,-463.948,-141.338,370.915,-853.118
836596,312558,306395,2327330,1107650,173663,3148.76,25177.8,253.595,88.6151,76.8051,-175.213,709.804
645492,409951,293373,2028490,1120880,164241,1458.76,21595.9,143.531,-378.457,-370.605,182.224,94.4854
1188750,607614,361846,1923500,932130,172983,5926.56,17408.6,154.121,-578.36,-686.183,242.852,-197.324
789433,435223,344321,3106500,1649920,187010,4859.98,12590.5,46.771,-120.367,327.211,38.5084,-184.297
819377,558348,353867,2325320,1721750,269249,10671.5,2981.89,-363.322,455.667,3.32769,288.961,-399.883
803342,456260,228733,1340840,741575,130320,5086.22,5225.2,-312.064,171.525,13.2658,13.1764,-100.982
533309,363069,355520,2011900,1484990,255252,16244.8,1354.67,-304.984,-26.0973,34.0876,-287.474,878.216
1306130,605781,758715,4194300,2691600,414511,11940.7,15092.7,8.18035,-236.562,-298.998,85.7669,-782.456
834199,505014,392021,2163570,1270910,237605,4704.37,17376,418.435,-523.459,-17.2007,-8.24008,-482.042
1062160,492561,360507,2518240,1259850,179636,6206.1,14352.6,-118.852,11.6723,130.935,-348.54,-403.394
1114380,666287,711233,4194300,2773670,467707,15453.7,6836.23,30.2174,44.0607,-409.549,223.438,122.006
1130150,565147,711917,4194300,2695160,444664,13052.3,10688.5,27.2666,331.873,142.516,-238.413,-463.422
790658,419885,311165,2245040,1325920,186212,3056.38,18048.2,395.524,-18.1704,168.18,12.8363,654.091
559817,252708,296922,3229200,2119940,181347,3405.82,16377.1,98.1179,-174.662,169.69,450.757,64.6051
1006530,409399,292830,2166400,1005900,139014,5757.55,8408.8,59.9474,194.756,-129.02,-438.799,-317.288
434544,253619,301990,1732420,1149280,194681,12960.6,6907.76,31.6139,41.1336,81.6511,215.822,-491.024
903355,557364,335766,2065850,1456590,236393,5650.19,13902.3,-126.753,435.557,-328.549,-629.017,-814.691
909463,533834,454657,2577120,1597740,286660,8704.7,7696.28,-9.14775,184.202,178.262,-485.668,380.081
958482,552582,423481,2227890,1347160,263840,7661.39,9301.98,-119.595,-188.034,-526.654,215.998,-155.244
928172,515393,690858,4194300,2654440,431071,18803.8,17787.2,-281.644,96.2785,-394.489,-191.064,-983.564
1162080,509492,412544,2496660,1072130,180563,14090.7,3786.65,-429.776,41.7775,-543.291,-329.144,-314.419
1200130,588589,484973,3542140,1795200,256770,7088.6,12851.3,-68.0663,-282.976,-179.723,-20.9779,-36.6547
893188,473821,385823,3174420,2015020,252580,7758.43,9559.44,426.897,-132.064,-7.3158,540.737,-574.326
850327,549750,288546,1567600,1096050,205047,5692.91,8604.55,-191.268,-139.412,-270.862,405.442,191.372
997546,529219,500857,2850990,1466460,250897,7536.82,8646.1,564.937,-331.164,-130.548,-24.8254,406.285
553690,318728,365257,2100480,1375830,247629,8752.11,11323.8,-283.178,-244.784,-334.402,139.652,-60.1526
1266350,489917,457003,2902920,1671530,254632,6959.58,28035.4,-589.931,273.914,-461.124,53.7809,408.357
1197460,584606,499996,3612220,1810900,255705,9469.88,10542.4,111.69,-265.032,-71.068,201.307,-217.542
1044500,447677,508068,3756390,1579390,213082,6800.47,19390.8,-58.0998,-136.977,-62.7891,41.2648,144.81
715720,367332,181743,1390600,672550,79539,2300.49,11292.2,331.728,-318.841,108.096,46.7784,310.888
831055,502898,268880,1700690,1104820,173504,4597.4,10500.8,-248.068,550.494,445.885,-302.065,46.9976
970831,566591,386510,2103010,1486630,273380,7724.68,18760.4,-355.306,-71.01,296.699,-438.268,-14.3245
1033950,672196,433337,2107450,1346750,279503,6680.52,6893.79,-52.5056,41.2845,-192.785,-372.258,-46.3867
644817,351548,349358,1893590,998444,176326,5105.88,6922.59,-168.298,174.318,-618.914,-326.165,-261.335
880887,505891,225176,1270060,663407,118875,2855.57,11246,-189.131,60.9386,-544.353,27.0653,-239.663
334365,229285,150580,1452910,1095260,114021,1146.75,16357,-53.1403,-202.791,231.184,-51.6169,-314.724
980229,633760,205430,1320760,952788,144503,4921.51,13874.2,-371.47,325.503,69.2303,-0.738102,-195.052
476962,290147,302385,2718350,1867640,200112,3515.79,7376.03,466.764,77.8738,49.7317,-38.764,-467.579
1113240,508326,409331,2876660,1385380,188987,5983.16,9281.03,-386.334,624.248,-24.0569,-507.115,336.897
480590,269972,260425,1546080,958651,166148,5653.26,11488.1,-137.87,-34.4831,-150.383,55.099,-575.655
870045,480890,366408,2548760,1799060,261355,7722.29,15577.4,59.5979,426.275,-430.738,106.504,573.807
1075340,532337,711490,3724840,2534500,493302,20754.6,20410.9,-388.284,28.5052,-579.906,423.378,-335.333
936887,371922,381336,1925060,827146,173780,8209.29,4905.05,-18.2371,-4.43609,-659.208,148.083,363.06
968789,589593,605991,3599590,2339540,395631,8811.68,11399.8,-140.319,-28.0639,8.93252,82.7138,-511.107
848278,414341,320374,2746010,1397400,162340,6944.85,12888.5,67.6213,11.0641,-353.165,424.279,-67.1316
443732,305662,131342,860909,616788,96837,3655.01,2546.36,304.329,-360.193,-63.8282,200.002,-382.575
574582,349798,396798,2445680,1435300,228329,8837.15,10125.7,162.663,-256.129,-204.366,-403.763,103.057
802814,551652,276650,1647930,1248150,214505,5936.63,10751.9,-61.3159,167.859,-238.399,-11.9727,610.661
699433,406925,291254,1663420,1080310,189813,4691.33,11462.8,291.01,-250.1,-217.589,-138.956,191.103
651624,324855,479864,3166990,1707630,267385,8846.24,2971.68,56.2375,4.10243,-181.37,216.282,394.342
751454,397299,349377,2018680,928018,165288,4374.19,22114,-322.873,58.8308,-60.653,-186.947,-398.038
725599,390256,381001,2096650,1216510,218010,8238.81,7260.66,-163.064,-18.4305,40.3998,-143.741,-642.058
1005260,503244,517635,3376660,2303290,350749,9771.45,7712.27,-345.708,-263.404,18.9034,-56.2689,22.4049
813780,450885,447025,3528940,2163090,268120,6689.47,18049.9,232.21,-175.194,-144.637,183.931,487.035
1254960,690991,459348,2983710,1696850,249272,8433.8,15899.6,613.087,-365.97,180.822,-88.1367,-104.882
507942,325400,162787,1008570,765741,125026,2587.94,14069.4,-158.492,485.194,-383.559,-151.348,52.7108
1101600,569952,483250,2695300,1307260,232600,10014.6,8336.72,-9.5101,-203.802,43.9203,-342.337,15.4029
747167,450342,528280,3098960,2065520,345178,15090.4,23230.4,-245.554,150.389,6.17244,-575.092,724.584
1262880,656743,525578,3080760,1637760,289012,7304.39,16694.5,355.405,-265.404,213.878,-617.36,547.813
622786,302960,246807,1642700,758963,123294,10220.3,2059.21,-52.4004,-222.946,-6.26709,328.72,394.526
1134040,469274,491269,2954530,1559680,258007,11191.1,10942.8,-77.1683,-487.699,-565.636,421.863,114.972
365282,241289,315371,1832730,1161250,200299,5903.94,3017.77,56.1552,-523.617,-54.1674,187.639,18.5989
669384,428411,246098,1546030,1132700,179932,4440.73,5463.81,237.522,-312.671,243.474,273.779,-78.619
922637,484459,301125,2310480,1120960,162269,4436.19,8536.48,-99.2507,219.654,-376.779,72.9849,-232.708
1178460,585137,476135,2604490,1403450,249925,8157.14,15282.2,-106.251,12.8243,200.423,-60.4718,-194.229
699103,372818,414117,2586010,1708250,275664,5015.79,15274.3,364.218,-170.231,-428.253,-309.584,-165.978
552206,388532,152794,883350,668227,114784,4097.98,11130.2,352.468,-131.451,-303.686,-26.5531,-218.541
1283480,617077,674950,4194300,1968760,306443,8288.33,16607.7,-417.793,614.414,-437.238,-314.442,-120.974
535280,364214,153304,1214900,915528,117463,3788.47,14041.9,47.1711,238.117,-259.416,133.914,-277.653
731953,467948,447016,2568180,1988860,342755,10896.3,10303.5,-270.218,-1.67887,-348.373,173.815,-199.844
933739,522182,260943,1591370,1064090,172247,4188.96,16686.8,5.05321,-200.121,-274.801,160.456,-304.674
1239910,541841,762785,4194300,1948450,356625,14272.9,14086.6,-255.982,262.704,265.185,-657.361,121.502
1001510,507816,570991,3142320,1773100,313188,14632.7,17674.9,-185.315,-45.4982,-318.061,380.548,741.119
831748,486371,333759,2486050,1696410,221762,8514.49,8737.93,-211.64,51.8169,-339.115,2.1909,778.351
