FSC-A,FSC-Width,SSC-A,B525-FITC-A,R712-APCA700-A,V450-PB-A,Y585-PE-A,Y763-PC7-A,R660-APC-A,Time
985275,1882.57,890272,24430,4131.2,62102.8,32472.8,3990.36,3289.41,0.00109087
1.19E+06,1861.23,1.15E+06,13780.6,21998.3,31424.3,15320.1,2081.7,2850.16,0.00790368
773380,1744.76,678143,41797.8,309.016,84925.5,24478.6,3312.09,4307.74,0.0363693
641634,1621.02,682528,18307.1,-635.452,42508.5,27125.4,587.73,1134.41,0.0377895
1.08E+06,2085.29,1.00E+06,43937.3,1385.44,87498.1,28640.7,18285.2,2177.81,0.0381188
601342,1853.67,389269,17567.3,278.77,36650.4,19349.2,4877.42,3571.37,0.0381805
1.26E+06,1937,932679,39629.6,473.68,107042,27395.4,13795.5,7984.63,0.0469692
663218,1538.12,505984,27711.1,-163.553,50188.7,19846.8,4411.81,4044.22,0.0509417
786401,1473.85,583678,20630,-666.224,53858.2,18789,13627.6,1764.09,0.0526088
872871,1444.57,816577,13682.1,30757.5,24519.8,9664.44,2362.95,2052.7,0.0562931
940090,1588.58,772619,26222.4,18.8586,55850.4,15410.1,4696.45,6564.9,0.0691572
579502,2009.82,493142,24017.2,80.2762,49621.5,22533.6,2973.28,3518.32,0.0739941
925485,1938.44,874929,28559.3,680.392,66423.4,25485.7,6373.8,6606.03,0.132942
1.12E+06,2101.08,802620,22549.9,6903.45,22231.8,6927.39,754.212,689.052,0.140331
1.08E+06,2352.25,951761,21145.2,-169.907,61734.7,21914.9,15093.8,2549.88,0.16291
657532,1513.09,589383,39099.5,364.723,32121.3,16793.2,7788.12,4403.43,0.198518
586136,1662.8,375840,17686.1,77.8922,41189.9,14934.7,1996.96,3765.2,0.199506
757311,1906.23,761885,15570,1372.95,59481.5,21023.7,5610.94,3147.58,0.200247
731672,1807.16,571580,30745.3,100.606,66080.2,23809.8,4293.41,3539.58,0.202943
1.02E+06,1640.47,898582,32160.3,207.329,81031,25729.6,8350.69,4757.76,0.205125
646976,1637.53,729912,9951.11,172472,10837.4,2957.37,210.328,-736.25,0.218257
623729,1413.62,409820,3216.85,-427.471,19576.9,1776.51,-820.169,456.208,0.228671
655108,1511.72,399156,15611,344.31,29547.8,13326.4,1752.72,1390.66,0.234414
979060,2026.12,709896,29235.4,399.413,102992,23350.5,4128.15,6922.14,0.248657
605234,1743.25,325747,16156.2,4.24405,28319.4,11701,6154.64,1969.05,0.251045
790044,2168.77,964850,29572.2,1511.48,87851,38631.9,18468.6,3805.13,0.25547
985475,1617.77,873085,21460.9,234.606,32620.1,10182.3,1381.69,4588.96,0.264279
996082,1897.13,779802,40180.1,577.904,73930,23394.2,5729.21,4501.25,0.268272
1.42E+06,2461.28,883821,36069.4,507.331,56251.2,18803.9,3118.87,2658.11,0.269342
639629,1398.67,376864,9481.87,1508.5,16556.2,2841.71,-241.387,514.894,0.285129
666794,1766.63,478983,16894.1,-21.3808,40841.7,21617.3,6256.62,2592.67,0.286858
949165,1948.13,702318,17935.1,2202.27,26626.6,12827.3,6267.58,1222.49,0.287352
