FSC-A,FSC-Width,SSC-A,HA,pAKT,GADPH,p38,pS6,pCREB,Time
776292,2355.91,457975,852716,24297.1,44801.4,95141.9,6546.01,10028,1.29679
1148940,2495.79,3757440,3937.21,26957.2,5843.83,-6914.54,7840.32,16033.6,1.39016
406282,1619.26,94508.5,2100740,5775.31,17035.7,44301.8,-13032.8,6111.85,1.39845
1138070,3713.78,848017,224749,103459,69461.5,223978,4997.08,29904.6,1.41777
1756510,4098.09,1409230,707533,94160.2,82221.1,166095,15942.7,63250,1.42118
528856,1914.25,198720,4860.94,9817.85,20939.5,19331.6,88.6716,9305.01,1.4311
289752,1190.18,96765.1,4041.36,10673.7,11706.8,17780.9,1854.86,2541.1,1.46575
2685170,7319.98,1660920,64014.3,218009,183267,529481,4015.96,94057.5,1.46809
436230,1702.36,115047,7456.49,26844.9,19700.8,62940.2,-50.6357,9275.02,1.47848
880664,3309.79,324754,12271,37744.3,43506.3,98190.1,2861.02,18191.1,1.49465
493481,1764.2,187946,7854.03,21154.5,12968.6,51333.5,765.206,6263.97,1.55769
385218,1425.41,87224.7,1778.91,5345.58,5738.78,15759.2,-408.715,1850.05,1.56647
526176,1656.11,142566,7345.64,22263.8,20000.4,41767.4,-1409.76,5960.98,1.60287
385981,1454.43,75998.1,2518.7,8752.43,9302.29,23289.3,1729.75,1831.14,1.65168
332179,1340.91,117069,3138.18,9030.93,9480.02,25058.3,3174.16,5175.84,1.65746
319744,1280.9,156117,5700.91,22203.2,9867.49,51943.4,1838.08,9776.68,1.65812
370668,1380.03,141134,8628.37,30095.7,15922.5,74524.4,-1680.67,8165.52,1.65812
344073,1317.81,126601,4608.79,17197.8,10034.5,37651.1,1499.11,6417.52,1.65814
353197,1334.78,171091,3722.78,8710.24,10178.5,23528.1,281.342,6257.29,1.69194
487999,1716.37,217082,5628.16,6711.73,11223.5,8099.14,315.979,3814.59,1.70447
1054440,3092.19,726806,43711.3,70168,35495.2,173110,16315.7,25524.1,1.80049
1059740,4105.64,336310,16021.8,40096.1,31096,87742,6369.89,22766.5,1.80277
331321,1284.89,172070,2681.35,5378.85,1892.29,1611.31,2904.02,1689.49,1.822
741978,2621.4,267649,16098,22138.9,31475.9,82563.5,3405.52,17732.3,1.82829
479810,1639.06,265243,7351.64,15190.2,12771,25824.5,3967.28,6799.73,1.82829
491847,1913.8,126483,4945.77,19796.2,14266,74138.1,-1219.23,12558.1,1.83895
392658,1578.62,116920,4975,12739.4,10664.4,53980.6,1236.63,3407.81,1.8691
468240,1755.71,223795,8455.52,38919.5,36754.3,53746.6,-393.297,9770.34,1.88698
417640,1602.17,146415,5077.53,21908.8,25337.9,48416,3162.87,7921.97,1.90712
346948,1413.5,140208,3320.12,5844.69,6466.93,2027.06,2070.1,1791.04,1.91408
332282,1332.79,94886.8,3674.59,10419.4,14102.2,16302.8,3268.56,11302.9,1.91428
443451,1702.41,137939,7048.4,12528.9,13289.3,30943.5,12546.1,14277.5,1.9236
1461140,3730.08,1117800,50061.8,107593,89355.2,455010,20770.9,71226.1,1.92572
1681690,3276.14,5107370,5039.2,39696.7,9196.09,-10581.4,12551.4,18082,2.01974
770228,2632.27,778749,26794.7,87444.1,97144.4,245747,6233.67,38441.7,2.03154
556395,1917.88,454283,15281.7,39986.1,52159.9,123491,-2213.99,24787.2,2.03156
977044,3045.01,321545,15049.9,27847.9,27670.7,146509,2260.02,20229.4,2.03998
1972960,5079.43,1311390,459344,82549.9,77561.7,257296,14803.2,38386.8,2.04555
1634290,5521.96,1309750,72822.1,173107,102114,377259,10230.1,59827.2,2.05539
605818,1847.66,587014,6036.54,22424.5,14405.2,54654.1,9986.42,3319.69,2.05572
968313,3377.77,482476,17771.7,53745.2,32609,178325,-451.605,29854.1,2.06651
521858,1849.43,475796,10324.7,7209.3,14349.6,4400.39,3151.27,1875.38,2.07097
416460,1627.64,94065.9,5249.47,20337.2,18997.4,51898.9,-444.909,13996.5,2.08007
427540,1577.91,166873,6776.19,17595.2,13852.6,30985.2,6135.94,11319.6,2.08417
391975,1543.06,236952,5850.44,15427.7,17868,56384.3,1712.01,11091.8,2.13613
772527,2692.68,202054,11808,36012.3,54742.8,106462,-1011.57,14379.5,2.17488
1579940,3635.84,1447300,32663.2,70568.4,87939.7,192587,24117.7,32107.3,2.19786
288281,1183.79,134919,3241.49,6794.63,4804.02,18018.6,1680.35,6181.4,2.20186
851354,3164.15,308039,11014.7,42269.6,54987.8,92017.1,6132.69,16821.3,2.20856
1560700,3609.6,1125160,135066,52159.6,47697.9,235518,20121,66991.6,2.22103
529859,2173.29,386215,18522.8,61348,64103.4,184393,5459.55,67915,2.22478
406054,1574.85,192757,11141.8,21343.7,17293.3,64788.1,15024.9,10468.6,2.234
592871,2075.07,240052,80239.1,18256.8,28852.2,72139.7,-1239.15,12834.7,2.23838
445073,1785.48,142684,53230.4,28270.6,23957.5,64144.5,3139.41,19306.2,2.26601
445586,1642.19,344461,2755.75,5271.93,15020.2,930.329,276.556,1202.18,2.28851
965778,3286.18,394955,10957.3,31380.2,54177.6,140254,1285.16,11765.7,2.29654
632133,1868.75,226061,17234.2,19236.6,26182.5,56408,1524.53,13108.1,2.33938
559880,2040.21,191973,31465.1,28476.2,30852.9,62496.1,2190.49,16230,2.33938
436644,1623.87,328763,75728.9,14644.8,23964.7,43821,3408.49,12556.1,2.39296
539958,1939.46,158207,5842.52,18208.4,13142.4,35053.2,3218.29,9613.57,2.42143
648346,2617.02,245253,10207.9,28448.4,27911.8,66199.8,3644.59,9543.05,2.42891
412766,1557.42,148507,5720.12,25912.2,23818.7,53607.4,6836.42,17876.6,2.43638
339812,1305.67,203187,1116.8,4309.97,12600.5,410.45,229.696,853.207,2.46968
632798,1737.34,1269580,2423.01,5730.75,1649.13,-1776,2535.61,5381.22,2.51883
534016,2113.54,282348,15407.6,24619.8,20515.5,81114,2290,20234.7,2.54531
432609,1635.23,1375720,4417.58,10338.3,3579.25,3495.49,2663.38,8919.45,2.56781
637805,2161.94,193729,7580.36,19309.9,18501.2,52452.4,761.41,12338.2,2.57277
544234,2148.27,153513,10804.9,33165.1,28717,68510.8,530.544,15351.6,2.57411
446354,1742.03,69440,4051.34,11576,23938.2,19942.2,-1391.57,9138.34,2.66425
1157940,2567.85,5986880,5002.43,26390.3,6056.08,-7057.7,7298.52,16167.8,2.7021
568865,1844.86,242876,6047.25,12114.8,16720.9,23396,5151.84,9658.65,2.73907
370575,1447.78,200770,4520.4,10570,16022.1,53774.8,-379.665,2873.85,2.74547
385750,1513.35,222378,5157.13,13154.1,19505.7,37470.9,490.739,5511.82,2.76432
383598,1496.74,34492,830.158,1430.89,1709.07,599.273,536.294,565.75,2.89201
316867,1245.13,99592.1,4755.23,14262.8,9449.27,32504.4,2778.89,10273.7,2.94801
2234860,4294.46,10213800,53159.9,108538,78864.9,135300,15898.5,64843.8,2.98665
456632,1725.02,268242,11239,23698.6,26525.5,90374.4,2190.59,13106.7,3.04009
535980,2115.29,97392.1,120551,11040.1,12434.3,28239.7,5059.05,15417.1,3.0479
1210110,3014.55,755966,14243.4,41460.2,42834.1,125177,88.3406,29567.9,3.16978
742524,2214.58,318726,9791.26,30286.2,34222.4,54985.9,10329.6,9825.06,3.2616
413524,1600.48,71404,1990.1,3944.77,5215.5,23151.8,1625.32,1764.73,3.44315
4844560,8361.58,20244600,33646,226400,56063.6,-62444.9,83802.9,133152,3.50819
377739,1510.43,240655,3532.35,16456.1,13545.7,19470.9,852.185,6673.47,3.53029
454444,1754.71,132388,6147.37,25090.2,16574.9,52530,-104.89,8860.21,3.53973
553570,1816.71,244040,4816.7,13188.3,15897.4,22055.9,-884.413,6688.54,3.56689
915612,2691.99,1113500,28461.7,56291.1,53295.8,188330,4467.06,17965.2,3.63007
552529,1824.99,276633,6544.54,19559.5,24049.7,50437.5,3019.9,10461.4,3.64733
866661,3218.05,111421,5929.32,13122.5,10815.4,57262.2,23029.1,9884.35,3.66852
478051,1718.59,207390,9424.08,31121.2,31724.3,70899.5,-2345.37,13718,3.72373
335492,1280.54,93729.6,3170.94,5174.95,3848.47,10389.4,2882.53,3152.33,3.73781
639883,2214.19,273413,9075.67,19446.1,18921.1,26740.4,4690.02,13562.2,3.73813
4420390,8015.78,38072500,72272.8,73897.6,83440.9,-96772.2,129617,253640,3.77042
1054010,2789.59,736159,4797700,15721.6,43993.1,122063,5425.23,982.33,3.8381
896925,2234.85,485448,15667,26813.8,28321.4,82917.9,12238,7921.07,3.88563
2847000,5075.64,9461060,14936.7,104829,25681.8,-4010.92,32797.5,59618.3,3.89666
348283,1403.66,135161,138104,13787.1,20446.7,32418.3,1676.99,4434.31,4.01887
450988,1493.76,232508,5275.45,8937.05,6307.4,20108.7,1565.43,1466.87,4.04694
638855,2574.73,101402,18825.4,18204.6,7560.68,51273.5,5825.58,6521.38,4.06181
323270,1326.83,99200.1,133902,9553.64,5656.64,14623.2,4072.9,3951.95,4.06726
512384,1733.09,254578,4813.25,5098.91,5041.72,3432.21,1525.14,1132.59,4.10788
621651,1918.54,467663,9831.86,19234.6,11076.1,21046.1,5614.14,3093.49,4.10849
493158,1592.51,244413,9359.07,14145.7,6798.06,26650.9,4534.22,3695.3,4.15088
511742,1708.56,204424,6967.46,24114.2,19512.7,36117,2377.07,7843.91,4.1619
331926,1319.21,93004.5,1973.05,7666.63,11756.9,13375.9,433.043,1541.73,4.26433
456672,1537.05,186120,6011.82,10710.1,10870.2,24078.6,1289.7,9894.78,4.26841
350212,1326.44,108082,3244.52,7181.21,7471.78,15488.7,1874.15,3608.03,4.39933
587239,1841.41,351501,4116.34,5169.4,33002.1,261.799,186.82,2172.21,4.50114
703087,2084.71,246127,7303.18,26648.3,21037.2,66498.4,-801.291,14013.1,4.62623
356985,1337.41,76303.9,2579.68,6643.85,13326.1,15714.1,2134.14,3983.52,4.64996
1406200,3947.73,755687,31370.3,96742.7,88734.7,153206,4206.85,33597.2,4.65107
574631,1881.33,411168,5579.8,9372.85,25986.4,14647.7,2279.36,2692.27,4.86491
413487,1546.1,861435,6617.23,3178.62,3450.71,11812.2,1034.68,9583.28,5.08783
10527500,18064.4,1967550,-2573.41,30934,5303.51,-6329.98,12933.1,5597.25,5.24919
2309530,4227.43,8586510,10429.3,74751.5,16404.4,-19149.6,21627.1,41975.4,5.25103
3427310,6016.61,9403250,13912.8,120722,28298.9,-34851.5,43518.8,58955.6,5.25175
5518750,9534.22,15248800,22688,220290,53701,-67217.9,86157.9,104311,5.25553
4236990,7476.35,31689200,35759.8,213266,55780.9,-72661.6,80214.5,165411,5.26097
2564570,4631.54,8429920,12268.6,73246.4,26300.4,18436.3,21718.9,40584.8,5.28462
635710,2565.44,413762,122577,42661.2,30342.5,131994,235.553,35056,5.34928
717806,2739.96,293703,26733.4,20159.2,17528.7,78200.3,1240.14,12312.8,5.34944
388774,1474.07,124229,6525.74,9043.99,21317.3,30503.2,893.051,12735,5.36397
1452880,4609.81,778361,177531,68785.6,77624.1,257530,10022,15842,5.37142
335487,1352.51,197353,10303.1,12057.3,9182.22,30376.2,-435.955,7106.94,5.37142
3369800,7777.11,1343220,1660880,433382,712958,402230,410817,422134,5.37146
1562220,4577.52,552190,102753,103670,86093.7,193525,-1627.9,31662.2,5.38068
1015480,3642.98,339615,31749.8,39958.4,32998.5,105110,2300.89,17331.4,5.39349
438724,1584.38,256251,7836.52,14712.9,12841.8,23296.2,1070.42,3912.46,5.3939
1608210,4289.53,788563,27270.7,83519.9,91605.6,128776,3284.72,23804.4,5.39714
502863,1970.2,225097,9856.97,23741.4,15438.6,56116.1,947.378,9278.46,5.40033
476058,1934.09,174894,5492.93,17495.9,10492.4,26016.1,1416.43,5349.21,5.40047
1201600,3748.97,314227,743118,43945.5,53204.3,138091,-6766.33,31105,5.40604
352188,1364.99,76936.9,9934.91,14821.4,14970,26870.5,276.436,6307.65,5.40941
644812,1983.42,262949,6750.73,11500.9,20283.3,23988.2,8432.48,5998.78,5.412
779783,2690.06,291782,13611.8,27541,26734.5,73147.4,58.2396,14499.9,5.42259
562956,1734.51,160468,6871.12,19227.3,22678.5,59828.2,14376.8,7189.26,5.42812
527145,1951.43,146616,24706.4,27489.8,19386.9,64194.6,300.149,11140.4,5.43193
825803,3121.57,305728,14378.1,46509.5,34706.9,168790,-4773.57,30457.3,5.4412
290097,1191.1,81620.3,3305.67,13517.6,9080.58,30117.3,-57.483,4965.86,5.453
752159,2794.67,241174,11977.8,40605.6,25494.1,100021,-1147.48,18585.8,5.45669
771956,2695.61,287113,41823,50959.6,42324.4,140862,-1574.1,18113.8,5.46103
346514,1389.4,110678,6062.65,17260,16090.3,48535.9,-488.917,4923.14,5.46378
986601,3593.97,118237,9168.19,22860.8,78993.9,31926.1,-2720.35,8387.36,5.46729
350830,1412.19,115327,4046.35,10858,5570.45,15738.2,3839.1,3962.45,5.46793
819486,2814.21,293816,16537,47948.7,27654.8,112114,-980.107,27327.4,5.47056
405123,1660.12,118293,221430,17885.5,18591.5,54529.4,7647.43,4831.29,5.48553
797035,2374.22,361293,365185,35470.1,34338.2,92468.7,6140.94,21426.1,5.48821
658620,2486.38,158523,33165.8,32079.5,23432.6,89130.5,399.724,9264.16,5.48823
402247,1633.23,160886,7397.55,21097.9,17527.5,57644,2029.45,9676.02,5.49552
641239,2518.6,239894,153049,21111.7,20153.3,88464.3,-133.676,9153.96,5.50042
1128510,4636.45,413131,132957,49805.5,47840.3,131084,7173.5,41132.7,5.50349
400105,1526.48,250835,19070.2,12641.7,22283.3,50384.3,762.956,19333.4,5.51653
2407510,4563.66,16293800,30488.6,104614,24904.9,-24383.5,29859.3,70391.7,5.51687
508241,1841.5,279837,10043,21670.1,30889.5,89064.4,-185.96,12916.5,5.56239
415944,1613.95,118991,4829.42,12844.2,7902.03,43569.9,-102.777,6614.79,5.57593
369938,1444.01,111187,29817.3,10285.1,17517.5,43940.4,124.81,4700,5.58945
870449,2475.89,464364,10740.5,31297.1,58091.4,82649.4,2817.6,18399.5,5.60741
543635,1891.88,137905,8266.51,16803.3,15226.9,32599.2,3092.24,5221.69,5.63458
363000,1404.59,204831,3117.7,15051,9949.82,26375.6,474.545,1510.35,5.64777
371950,1453.59,68741.9,4837.83,14344.6,16856.8,21706.9,1447.68,6057.55,5.64906
972272,2474.71,517932,18053.4,51349,39397.2,80757.2,4515.7,13956.7,5.64987
511408,1956.2,139933,6409.94,30059.9,19274,72827.9,343.032,12292.9,5.65982
651150,2158.25,955169,2359.12,132840,3142.86,9.58789,20.5747,4288.72,5.6754
789966,2153.05,4175440,5542.69,21042.9,6253.65,2955.68,4005.54,10172.6,5.67709
318948,1265.43,116760,1750.28,8303.92,6215.62,19384.1,614.814,2491.09,5.70498
592412,1904.67,323235,13164.3,16670.9,12854.2,21486.3,9154.5,11006.2,5.72133
483066,1749.89,254943,4946.31,10146.8,18946.1,13956.4,610.296,3321.46,5.72839
8240070,14228.3,35665600,3537.8,200169,82598.6,-105470,165283,146472,5.73067
768642,2301.97,387862,11884.5,33023.6,28829.7,67530.4,7322.94,19138.3,5.73265
606622,1957.78,212152,10494.8,23688.6,18786.8,59670.6,-376.438,8534.63,5.73507
1908860,3616.28,7106250,6981.57,56493.5,13525.1,-14802.4,18914,25095.4,5.73804
467052,1588.4,179574,12289.4,9412.43,24945.4,20745.3,2062.8,4398.33,5.74015
415629,1600.93,121893,4064.56,8071.1,11707.6,32235.9,1425.09,6341.86,5.74843
852146,2096.3,2880130,2099.63,15002.7,3274.11,-4080.41,4925.1,9255.39,5.75823
294174,1203.82,69859.5,3980.18,10651.5,8040.05,33681.2,-27.1267,2790.91,5.77728
329762,1313.96,129027,9069.46,18494.7,20085.7,44209.7,3216.79,7895.34,5.79002
448724,1712.89,227444,5998.78,17091.3,41961,48695.4,11364.6,20051.3,5.79204
408794,1422.7,120664,5216.57,19399.5,31208.6,42054.6,-1425.07,8105.41,5.80604
843924,2274.92,476744,9687.98,17802.2,34071.3,41350.1,2156.8,9788.66,5.81363
492913,1667.27,432483,13274.2,43314.1,42041.8,95531,3409.25,15907.3,5.81492
784036,2716.75,391933,12968.8,34062.9,31421.7,107975,4664.6,35806.7,5.81504
939487,3407.02,208712,11160.4,32336.8,45488.5,46571.2,597.87,9908.84,5.81518
316678,1157.94,126128,17193.2,16892.7,13059.9,56863.2,-694.608,19076,5.81522
1291230,4170.93,508253,29113.5,77689.9,59004.2,154432,642.648,35205.1,5.82293
1361170,3563.26,476368,38221.1,86846.2,76081.1,186248,3979.59,33662.1,5.8235
1122230,3930.34,723759,55174.8,92878.1,57754.2,244914,1233.9,21087.9,5.82354
1016890,3021.48,749980,86341.2,110355,66571.1,208502,11946.5,13738.9,5.8238
744423,2675.15,534681,95499.9,31862,32923.4,176017,-1752.48,29483.9,5.82382
552322,1888.93,214488,147233,23207.1,17388.3,73852.1,4092.91,6378.44,5.82382
526392,1735.3,301054,14749.7,16496,19217,7202.73,5845.94,3743.66,5.83191
383416,1492.93,139418,7401.11,13143.5,8117.36,32854.6,-1153.14,2860.85,5.84505
733511,2385.58,165462,8956.86,15827.3,38334.3,37875.2,1150.81,9886.83,5.89652
289686,1185.37,129500,2875.55,7987.25,8514.83,14966.5,1312.46,2025.07,5.90062
393302,1448.96,143800,4204.76,11771.8,9484.27,28726.2,2253.81,7066.88,5.90367
714973,2323.05,236508,10297.1,27375.8,47474.3,75071.9,3643.35,22183.6,5.90498
1476330,5296.69,615549,99976.1,86960,67737.2,259867,-4551.33,43885.9,5.90875
400593,1531.81,100653,5785.76,7535.15,7587.06,26022.8,-688.495,5208.41,5.90964
445588,1772.6,113592,5912.11,11569,18800.4,48843.3,5609.69,11390.2,5.92264
459609,1805.6,212935,11484.7,12088.3,23127.4,86002.4,-154.856,7637.94,5.93618
337510,1315.19,223545,14016.7,19173.4,39524,31962,294.484,6348.41,5.94356
852878,2772.18,246834,14074.1,28304.3,23110.8,97433.6,2132.26,29143.1,5.94415
672778,1902.77,701160,39514.1,26250.6,28959.2,74308.5,5148.71,18492.9,5.96009
298412,1209.6,68669.6,17300.2,10199.7,8385.02,25058.6,3944.54,7793.35,5.9659
335016,1281.78,150281,4552.23,7842.8,9469.69,11585.6,2370.38,3603.69,6.02154
397252,1549.68,85755.7,4825.68,9055.47,13046.7,29311.5,1615,9097.25,6.05507
364469,1431.44,122184,5330.49,11874.9,9516.23,25181.8,2780.63,19320.3,6.0555
527193,2035.8,105866,7764.16,25382,28137.2,33301.5,-693.976,10380.9,6.11892
421808,1515.93,229177,6291.23,10744.8,6640.61,22882.7,1630.74,4372.82,6.15298
765469,2246.22,247204,8071.02,21820.2,17979.1,86234.9,3291.16,11420.6,6.15872
844529,2521.63,720250,25368.6,34996.4,32093.5,62082.1,11789.2,16939.2,6.15902
390393,1511.59,237798,6687.46,17820.7,21986.4,28842,2108.42,4865.07,6.16864
504394,1908.32,143781,218833,18050.9,16007.4,52747.5,156.993,8833.9,6.18888
656793,2460.4,258695,10390.2,14990.2,11267,26392.2,5060.47,10744.7,6.19054
321944,1322.92,77030.4,12276.9,11539.1,19793.1,17965.2,302.732,2514.05,6.19411
318832,1280.21,103898,2177.35,6385.4,6105.18,13552.9,568.165,1611.89,6.2309
666608,2631.97,106029,6502.84,27665.5,25332.2,36666.4,-701.459,8519.25,6.24999
490196,1727.37,179154,10415.9,15361.6,20426.8,24358.8,1450.25,5421.22,6.25485
579671,1972.14,220376,253187,12257,20333.8,43622.6,794.796,4874.03,6.28764
386022,1456.21,226648,7251.51,8026.04,9666.55,8091.83,1283.64,3113.07,6.30128
1911550,4879.62,973109,56131.8,129011,159135,286080,3496.67,48525.5,6.31827
473122,1660.12,172461,4171.83,8022.46,11243.6,19391.6,-602.087,9956.12,6.36273
3293780,6109.13,1974580,1028.72,71894,5721.95,-4131.03,4436.94,1785.05,6.54939
7699910,13319.8,14633400,7316.91,161858,33659.4,-12717.5,54555.6,28917.1,6.54969
506115,1604.29,225727,7214.95,7745.38,9556.64,18373.5,5202.86,9592.35,6.55581
500031,1602.78,163918,72263.5,14930.1,10993,35600.4,6105.75,15340.6,6.60206
330052,1342.06,88837,2388.06,8247.78,9799.61,12514.2,967.844,3261.69,6.64908
627144,2210.75,252196,15048,42782,36250.2,72745.5,772.979,16449.3,6.65622
303173,1189.97,161620,30005,9557.26,8680.07,33303.4,654.965,8308.63,6.65626
2255690,5695.97,909734,119958,131675,99920.8,314548,7406.27,37102.4,6.6563
4892670,8756.83,39689700,62746,96341.5,81374.4,-106872,141939,379371,6.663
286089,1175.62,129912,7323.86,6056.2,5799.82,3771.96,2331.56,2181.53,6.66314
448782,1577.92,147156,13185.2,13051.3,11268.2,56523.4,4537.3,15322.1,6.6632
1567120,3737.99,1666090,30762.6,64349.3,67256.6,276095,12410.8,49231.7,6.66494
455309,1683.99,142493,3785.75,9138.85,7825.07,24991.3,8704.35,2872.3,6.66859
669058,2107.48,260248,406360,64726.7,36830.8,121070,141.2,11419.5,6.66982
616169,1929.77,178835,5878.23,16568.9,10881,29922.3,2594.59,6417.61,6.67143
349146,1384.85,161446,5932.13,17661.4,13534.3,27357.2,13419.5,6035.05,6.68209
593426,1824.3,345005,13068.6,36297.9,32264.5,72220.2,3376.76,17773.9,6.68275
477639,1870.4,134393,7623.41,25803.9,13902.4,60767.4,35.6177,9420.75,6.72788
679913,2020.68,314730,30918.9,23819.4,13376.1,43276.9,642.223,3728.72,6.73847
