FSC-A,FSC-Width,SSC-A,HA,pAKT,GADPH,p38,pS6,pCREB,Time
474987,1747.68,92311.8,4488.09,12103,22738.2,33325.4,-1047.17,19857.4,5.14738
667756,1912.14,563194,75444.2,27127.6,65086.9,101393,-317.268,28422.4,5.18345
301060,1182.04,59008.6,3227.01,9893.09,21510.7,12776.8,-1487.95,2927.02,5.18525
338532,1366.47,123308,10437.4,7719.58,9397.05,31280,1036.28,6013.54,5.18803
923710,3280.84,351478,15448.6,41487.1,41560.4,119953,-2148.62,38509.9,5.19277
511562,2056.59,197831,3926.81,20715.7,26552.4,52278.9,18142.8,10285.9,5.19496
888923,2853.68,402814,25936.8,53520.1,27530.2,112594,1091.63,13568.1,5.2119
429796,1539.24,148921,3128.05,5614.99,5210,7133.09,4274.44,3981.67,5.22462
567227,2193.37,170471,10685.2,11150.9,15954.9,27712.8,9768.82,18441.7,5.22692
290234,1172.55,85383.8,1115.71,7724.23,9909.56,24788.5,-635.177,1597.65,5.24164
830650,2420.56,597113,42357.3,13928.4,17318,38273.2,24452.8,10998.6,5.2772
476628,1688.02,197959,7319.29,7954.04,13416.2,13919.6,3491.09,14498.8,5.29674
338342,1304.65,74912.2,1539.18,4664.17,8947.32,12128.6,-66.1127,5004.22,5.30214
374675,1429.42,129390,2588.1,5673.43,12097.7,15143.7,2249.9,8702.41,5.32043
465233,1594.67,157749,11091.6,21092.9,13781,58043.6,-1385.46,13976.8,5.35564
308012,1243.15,79453,4180.72,3997.53,13329.6,24014.4,1214.65,7597.6,5.38487
721815,2395.69,487054,123291,26435.4,31767.1,40063.1,1242.63,12894.6,5.39648
964378,2570.39,735811,10542.8,20893,24465.8,35640.5,15155.3,13278.7,5.41976
411414,1488.14,203388,2985.06,6955.2,15927.2,26818.7,1649.27,4081.87,5.42944
558381,2153.31,202745,203238,17723.5,40599.4,97364.3,-585.351,11340.3,5.4323
660573,2146.08,321766,77728,26762,30973.8,86837.7,406.214,11944,5.44005
951019,3542.48,492828,172188,21572.6,46062.1,91986.3,-1788.46,18681,5.44097
304748,1252.09,42934.7,2180.85,2110.95,4889.8,9786.9,60.4976,12528.9,5.44541
371979,1464.3,109980,5424.85,12104.2,16782.4,40958.4,1353.82,7460.35,5.45319
467449,1605.19,236898,9414.99,32601.5,43497.9,83477.3,1759.64,9428.77,5.46272
507304,1893.31,122484,3396.62,20211.6,38333.3,29409.9,2079.92,1889.75,5.47668
557074,1961.15,205671,9339.67,26427.8,27115.7,76192.8,4032.5,9401.45,5.54796
621013,1960.82,415678,19448.9,14466.8,13665.3,50199.9,976.441,11047.6,5.55824
660201,2044.16,435810,8223.49,33454.4,27908.8,117520,8171.41,22902.3,5.5658
690116,2101.31,451201,6231.7,16605.1,18995.3,52466.4,1306.42,7613.33,5.58162
304050,1197.71,87685.6,1815.83,7840.43,7659.88,18726.7,1641.91,3219.71,5.65142
346472,1395.83,142843,2373.75,3051.54,3952.31,18340.2,1264.01,8001.89,5.69048
384383,1463.22,117549,1968.58,70907.7,2394.79,9477.11,5768.68,1355.44,5.69481
497006,1677.34,123199,5350.09,23048.5,34382.5,48610.8,1126.53,15040.4,5.75324
573042,1767.16,345389,4777.61,16472.5,19980.9,33920.1,-373.748,4456.52,5.76877
320505,1312.32,65764,99589.4,3883.59,8047.63,22374.7,-2585.52,7126.32,5.7721
343503,1402.14,139407,2155.62,4778.94,8724.67,22417.6,408.664,9455.1,5.77869
963350,3222.24,608354,70905.3,71965.6,47206.1,151823,5519.14,32697.8,5.78649
773140,2760.98,232288,9738.79,31295.3,36749.6,124964,2852.87,26499.3,5.80628
675118,2523.58,424351,11422.5,32430.7,57036.8,64097.1,-363.15,8246.46,5.89118
1644860,4507.42,779245,23047.3,77888.4,111229,196106,3706.05,41909.2,5.89659
744355,2128.2,466714,17801.5,47247.4,32993.2,85433.5,10569.1,18737.2,5.90074
957365,2476.56,392343,15669.8,46382,44170.3,146208,21231,18105.9,5.92784
759938,2661.85,237339,10517.5,27598.9,37536.7,92163.6,1901.4,28837.3,5.93863
388220,1412.59,105266,1543.72,3884.07,6655.61,11786,537.381,8074.24,5.94004
666474,2196.07,459917,5759.8,26950.3,13880.4,48709.6,2353.94,14125.1,5.94021
603648,2000.38,224830,11206.5,20140.8,15065.3,43643.9,2031.16,18654.3,5.94699
1031110,3348.01,226129,7893.44,31849.4,44326.5,61688.2,-284.984,10807.8,5.94871
459402,1724.89,256057,5298.01,37075.8,27069.1,97600.3,9517.21,15921.5,5.96859
2131180,6271.93,837961,20263.1,64618.3,53863.7,179508,140.634,35002,6.00264
375613,1445.36,80497,3435.93,5763.91,10835.2,33471.2,2178.29,7337.25,6.08679
935914,2649.32,346750,10102.9,33193.9,37841.1,104920,3478.26,15423.9,6.14469
1618040,3191.64,4197160,3692.35,36935.5,8307.62,-9958.55,10712.6,18711.2,6.14755
6654790,11549.5,41699500,66912.4,212010,103830,-131192,173612,272100,6.20649
1561890,3400.38,12165500,6331.75,59235.7,21501.8,545.892,16616.8,38969.6,6.21395
550846,2184.13,238586,11339.1,30717.2,30316,65418,1583.29,7192.24,6.21741
319027,1257.67,87644.8,5294.98,20607.9,23080.8,41612.8,1197.9,614.096,6.21763
2786590,4975.01,4537310,5357.13,69678,17052.6,-19523.3,23836.2,24901.3,6.21847
952580,3386.29,612317,15518,65518,62979.1,170326,4382.82,33756.2,6.21974
2663740,4754.09,7336190,5785.66,80085.7,18043,-21128,24043,40223.9,6.23286
2086270,6086.15,1004970,192953,96755.2,109252,271781,10229,36827,6.26954
427503,1683.34,126319,3967.1,20506.5,17850.1,39726.2,5970.26,8837.47,6.27105
2141190,5598.92,1451920,48398.2,83034,78561.8,340895,44600.8,53109.1,6.28743
561348,1926.75,178109,922892,6965.21,15189.4,61082,-8743.63,8944.6,6.3041
772861,2740.03,466471,17551.1,79493.3,62740.4,156928,24680.6,37767.9,6.3159
648414,1915.6,403500,7951.83,23605.2,21596.2,57795.5,1160.98,10600.6,6.31751
484596,1812.74,276470,86981.9,8070.21,7050.99,27987.1,-345.182,6397.93,6.31757
555275,1800.05,154299,60227.4,9056.96,12209.3,26946.4,-2458.24,8674.64,6.33016
360742,1436.1,236216,3923.42,16633.9,36827.7,31903.3,11676.6,17835.3,6.33478
404465,1439.66,139804,4017.05,5716.17,8327.04,16334.4,2617.86,7186.46,6.34659
693579,2143.41,462592,30094.6,57427.5,56946.5,163178,-1179.54,31022.3,6.36574
580386,1858.58,321837,16313.4,28995.6,19024.6,60613.8,3827.55,8569.32,6.38173
501508,1874.8,229716,6569.12,13727.4,15545.8,54665.9,3742.14,14285.2,6.38271
471910,1927.27,108471,9722.88,9805.5,19445.6,49894.3,487.324,22667.8,6.39963
592982,2098.7,220472,1271540,4626.35,30699.7,46162.1,55579.8,-1321.39,6.40028
731216,1920.15,406926,7240.77,9747.51,20338.2,21611.6,5210.22,20167.5,6.40124
551469,1844.37,171164,7517.86,12141.4,10266,61259.4,-1537.77,15300.6,6.43016
487034,1695.23,201101,4483.58,12818.6,20900.4,39439.1,2361.58,13930.1,6.44645
347987,1365.4,88901,2635.82,3969.87,8575.01,22492.7,2522.17,7669.83,6.46362
400542,1416.32,95308,4373.62,3189.71,11443.7,34890.5,-687.982,12328.1,6.46718
1380790,3197.96,1200170,24926.9,67007.3,49558.8,120267,42834.2,28603.1,6.46793
300761,1210.45,103340,771.323,3287.76,9545.61,9560.93,1011.27,-10.2513,6.46806
737456,2160.65,398528,8364.71,16326.6,26210,30519.9,6985.62,19875.6,6.46983
660519,2180.94,245897,6374.51,6960.8,21347.4,30541.9,-96.2764,13934.2,6.4701
2272160,5728.27,927914,31396.5,169105,228394,299248,2186.07,84047.6,6.47102
481558,1883.85,367908,5570.85,17586,28362.8,52300.4,1073.94,2257.63,6.47212
544124,2075.01,101644,4715.5,21772.2,39597.4,38923.2,-673.745,4231.27,6.47235
947398,2389.17,477904,12794.9,21824.8,37780.9,97191.1,8342.75,24074,6.48434
682831,2058.03,265808,7979.73,16143.2,38217.3,57664.8,9009.94,16883,6.49787
474528,1792.63,134747,4363.85,19725.8,23343.6,30092.1,10765.8,4618.65,6.50282
837185,2684.76,468949,7407.58,37340.4,29665.4,63534.8,1791.16,22412.1,6.50856
886828,3394.96,262260,128222,43858.2,58552.8,95490.5,810.531,16062.7,6.54384
393486,1551.3,99810,2990.13,4690.94,6630.22,26772.4,1705.65,7218.96,6.54645
391846,1525.67,107755,4353.42,13925.1,16762.4,51351.3,246.006,14199.9,6.55475
1297500,3164.26,1357110,21189.1,65255.9,51179.8,126943,8259.15,45769.5,6.56254
835534,2777.88,618908,8839.12,25256.3,48572.4,49359.6,6999.75,15194.1,6.56793
446816,1554.9,158612,3106.45,7532.02,12924.7,14868.5,864.807,2305.71,6.57094
401389,1471.09,158468,6508.45,17602.1,33056.4,49373.4,-1225.27,13084.6,6.58831
355508,1352.82,86059.5,3573.97,-1019.7,2220.66,13400,-523.268,6948.03,6.60188
328626,1254.11,102722,3291.21,5221.81,7646.69,26145.6,-347.887,10066.9,6.60429
2959910,6936.19,1277450,39469.3,147957,148079,372060,1156.46,74533.1,6.61312
437489,1529.72,136259,3073.99,6555.34,10442.8,20475.3,1415.87,4089.36,6.63336
1114980,2988.52,851417,15629.9,53985.1,43010,147455,-1612.95,21728.5,6.67012
404937,1459.56,163506,2409.14,3781.01,6205.75,7851.87,1399.23,4705.04,6.71214
397281,1584.56,129790,5473.06,20495.7,25579.1,49157.7,-1658.46,13759.8,6.74012
674810,2152.82,223606,11820.3,24438.7,51973.6,71273.8,228.572,30240.9,6.74305
429231,1753.64,81194.8,4021.67,8201.04,24253,22334.7,3622.72,14119.5,6.75183
382976,1495.68,119480,4122.31,11618.6,18013.9,18774.8,143.166,10190.2,6.75979
481668,1803.2,134938,6042.97,19723.8,22158.8,55322.4,4312.19,13261.1,6.79443
320230,1302.33,83502.1,3279.99,6731.38,8034.58,16597.1,1449,4200.65,6.8071
640093,2410.04,138878,6556.77,24610,30996.4,55116.6,1784.88,17900.6,6.83718
362358,1431.18,106458,1874.05,5503.79,7581.68,15034,340.838,2022.89,6.83796
1524650,5787.17,559649,394541,62228.3,69104.5,220281,-4849.49,67214.8,6.84235
