"FSC-A","FSC-Width","SSC-A","R712-APCA700-A","V450-PB-A","Y585-PE-A","Y610-mCHERRY-A","Y763-PC7-A","R660-APC-A","Time"
642796,2149.82,1.23574e+06,9704.5,151979,5610.6,8169.8,9311.9,13662.3,2.80809
434494,1665.47,240310,41934.8,18743.4,16695.1,37807.2,29546.7,74975.1,2.86145
318270,1240.37,426726,2474.5,23402.2,1095.3,1751.8,2857.7,5653.9,2.88134
877867,2857.03,281888,20336,53738.4,36206.3,117638,41227.6,27773.8,2.88963
1.14139e+06,2806.45,696480,24108.5,45076.2,66107.1,167541,54701.4,23677.8,2.92245
1.592e+06,4764.91,728176,61257,133472,125460,372948,124305,78840.3,2.95799
391556,1484.57,229616,11830.3,17218.9,17578.1,51674.7,18361.2,15900.6,2.97454
783774,2099.07,539939,21452.5,25977.7,22393.1,58047.3,25432.4,35709.3,3.09142
583782,1855.67,254956,7832.3,11004.4,11199.1,21081.7,9610.7,10316.1,3.13009
552494,1737.27,339324,9232,45354.2,34702.8,107056,34174.7,10503.4,3.14571
481609,1680.82,255443,5088.2,5766.4,12933,27931,8040.2,5305.6,3.19683
887108,2342.49,549751,22928.2,27912.9,19349,45865.5,25481.7,23515.1,3.37361
332289,1259.38,83788.6,4005.1,7714.8,8645.1,34598.3,13044.9,4416.4,3.3818
437402,1671.27,142035,9118.7,19216.8,19523.4,63012.1,20569.3,11185,3.41064
370891,1375.9,126882,7055.3,20624,16423.2,55296,17327.1,8768.2,3.41064
2.02026e+06,5857.3,977843,54566.9,161004,158055,409984,128182,70548,3.4118
381093,1425.35,246832,3753.7,9126.4,10514,19501.5,6692.7,2985.1,3.46481
410041,1601.19,91058.6,8621.6,10514.3,11273.6,29289.8,12830.9,9357.9,3.53864
396110,1612.71,194491,7365.2,16395.4,14916.5,41408,15447.2,9431.1,3.59141
796734,2044.59,468815,21977.1,36354.3,25831.1,70409.3,27493.9,28418.9,3.6523
338209,1295.66,92842.4,2577.7,7593.9,7407.5,14913.5,5805.7,3048.1,3.72027
972310,3007.34,288378,20511.6,69493.3,57535.1,152730,52168.4,21801.9,3.73172
267318,1071.71,91310.4,1442.7,9514.3,10006.4,25286.1,8136.3,1263,3.73477
401880,1586.01,231971,10526.8,19848.5,16899.7,65229,21921.6,13121.7,3.73661
344474,1412.18,189336,11793.4,35638.6,25248.1,74247.9,22603.9,15639,3.79078
498576,1732.24,194021,4893.7,8345.4,10734.4,27542.3,14383.9,4850.1,3.79476
553421,2194.27,998904,8749.7,25720.4,24232.5,60102,20089.7,13367.1,3.82667
441362,1543.35,182312,2735.2,6690.9,8755.5,21764.5,6391.2,2651.1,3.86329
2.15925e+06,5482.93,1.61865e+06,79921.6,192161,188367,391007,141600,86190.4,3.94368
377003,1397.52,53932.4,1498.2,2038.4,2595.5,8690,4590.2,2180.6,3.97615
543946,1909.79,281175,14263.1,34738.3,27999.1,101663,35339.4,17564.9,4.0285
515483,1979.65,250456,20883.7,39272.3,32168.9,91258.6,30572.8,20352,4.035
4.283e+06,10035.8,2.8213e+06,147518,390212,376197,1.01451e+06,338343,184512,4.12139
316072,1273.16,240997,4759.6,14662.3,13293.6,38402.8,12453.9,4373.4,4.12201
850100,2292.63,414690,13393.2,25747.8,36039.4,67821.1,24796.8,14326,4.13086
298168,1147.42,143178,3188.3,4862,3095.2,8905,4448.6,2118.7,4.13422
2.49342e+06,5093.88,3.12399e+06,48747.9,114565,197702,407698,126105,52186.5,4.18332
354780,1319.76,148998,2343.2,1276.4,2323.5,4587.5,3463.7,3023.1,4.20677
351481,1333.38,167625,5392.6,4253.3,7455.6,16907.3,10123.4,5740.4,4.20785
1.60407e+06,4641.59,734808,37702.5,59831.6,86330.5,267739,85110.4,52726.9,4.21917
559320,2198.39,274666,17397.6,27976.8,36734.9,85774.4,27631.5,20963.9,4.23126
463656,1569.6,277221,4505.3,11082.4,11477,27774,10876.1,3910.6,4.25044
1.23559e+06,4656.57,670801,38874.1,99059.5,78378.8,260798,85392.8,48468.7,4.26709
323840,1238.36,101450,6952.1,15986.4,12203.9,41370,13628.9,9632.9,4.27229
829739,2457.57,830941,40696.3,69708.7,74727,243327,88411.6,51632.3,4.28436
392071,1584.47,116525,9488.4,13936.1,14444,46833,18416.5,12373.8,4.28865
385252,1459.46,161340,6967.4,17152.2,15462.6,51371.8,16473,8908.6,4.31645
