"FSC-A","FSC-Width","SSC-A","R712-APCA700-A","V450-PB-A","Y585-PE-A","Y610-mCHERRY-A","Y763-PC7-A","R660-APC-A","Time"
1.2578e+06,3911.63,667896,94902.2,70699.8,83850.9,311372,105890,55340.4,7.82917
295859,1196.41,92473.7,23467.3,13038.1,12453.6,44738.3,16214.1,15040,7.82929
523511,1717.4,374072,19979.1,29369,33660.4,87409.8,30388.6,17743.9,7.83662
597379,2451.18,305152,20481.2,51249.8,48254.2,149168,47995.8,26180.9,7.84273
1.15934e+06,3556.67,488759,50390.9,69251.8,101066,369796,121761,76093,7.84816
308340,1265.75,70066.3,38432.4,12750.4,12312.6,46094.7,15261.4,10740.3,7.84844
419303,1446.46,320909,39058,16930.6,14711.9,40487.7,20253.5,9689.4,7.84844
513698,1689.19,246942,17861,42491.2,42232.9,106446,31577.5,21902.1,7.85567
1.13154e+06,3826.4,504986,711119,83894.8,74917.6,262512,139086,93553.6,7.85662
957884,2633.92,233177,88563.4,54138.6,55112.6,163794,51306,46195.8,7.8594
333858,1346.41,175036,11206.3,12090.2,11240.3,25542.9,8732.9,12730.4,7.86861
586422,2309.1,339099,182773,46339.3,45475,125602,58864.6,38748.8,7.86917
639866,2568.21,212655,23060.2,46941.1,41665.6,116766,36778.7,31972.2,7.87125
977187,2633.26,479763,32027,82748.1,69789.1,201664,66826,40001.8,7.88374
714140,2720.7,174215,26179.9,28800.1,37666.9,91328.3,27397.6,22252.3,7.88859
652622,2184.51,443135,14850.4,30759.9,44228.8,104144,54434.2,21232.6,7.89234
7.35748e+06,12618.7,4.39045e+06,33529.6,79115,41714.1,104400,64006.1,40362.7,7.89309
529383,1619.37,1.05262e+06,3788.3,8727,2232.9,420.2,3045.2,6335.3,7.89474
480904,1716.12,161662,23889.2,37179.8,28913.9,103717,32971.7,23503.4,7.90665
674186,2104.57,255561,11462.8,22066.1,20413.6,74851.3,24282.1,15391,7.9081
453822,1665.59,187711,10392.6,14678.5,17940.4,53648.8,18734.1,10832.4,7.9082
822696,2562.67,159218,13568.5,30299.2,24246.4,83504.8,27835,12431.1,7.94126
534520,1868.39,238569,5957.6,8380.8,21161.6,49700.9,14168.6,7056.6,7.94272
748422,2565.49,229595,293871,41179.1,34771.6,118793,54724,45358.3,7.95002
1.05648e+06,3521.5,502170,46114.8,85422.7,73303.8,259644,84766.9,52642.4,7.95004
1.06393e+06,3772.29,343072,31503.3,64634.8,115821,242304,66401.6,29703.3,7.95049
690501,2545.92,119960,21197.7,33128.1,45218.6,94667.7,28043.2,17271.7,7.95117
610743,2216.6,273928,21474.5,57781.1,40838.1,140306,59520.5,24986.3,7.96722
450804,1682.01,100830,25480.5,15778.2,22673.4,55038.8,23078.5,8895.6,7.98266
608066,2099.27,197059,12696.6,21790.8,24327.6,59975.4,22473.1,18302.6,7.98831
1.26701e+06,3707.94,416439,41079.4,101766,95032.6,303716,89586.5,57139.8,7.99929
529516,1956.02,238428,223205,26954.7,27037.3,100349,50888.4,39363.4,8.01491
388395,1534.49,218948,207680,19628.8,28596,75581.7,37510.1,26304.3,8.02805
896898,2399.23,423942,32710.5,30304.2,34400.4,95912.3,35875,24361.6,8.04849
406365,1499.24,650692,6576.1,30038.3,8803.1,32358.4,10804.6,7526.6,8.0557
988650,2295.06,849780,32993.9,44545.1,42723.1,110266,43733,41573.3,8.06916
376924,1409.89,323644,3750.8,3836.7,7674.8,13777.9,5546.9,3633.4,8.07683
5.2566e+06,9212.25,2.88817e+07,87082.3,157219,63312.5,7323.2,118820,244298,8.07982
775383,2735.26,337948,22570.2,37466.1,59029.6,133038,40841.2,28001.7,8.08367
873463,2485.01,804545,523365,94944.6,91029.6,302348,134552,100408,8.0888
554618,1956.38,176994,19885.4,23472.6,32293.9,87361.8,36675.6,26658.3,8.09134
420146,1686.22,165900,13036.5,16764.7,15105.4,51862.3,21344.5,17538.1,8.13302
553846,1899.33,243809,7683.1,14152.3,22790.6,52790.9,19510.6,8892.1,8.13302
775618,2203.7,887223,35057.9,41951.1,77128.6,155851,48512,42123.8,8.15058
474227,1650.16,154515,7096.8,8583.2,13770.3,33931.4,10318.9,7450.4,8.1687
594672,2297.56,250212,17102.5,43311.2,30267.4,123381,43956,19162.6,8.17532
1.35195e+06,4737.21,546051,33854.1,66324.8,55604.1,203430,72431.6,41942.6,8.17532
1.14725e+06,2974.67,643881,37144.9,57158.1,89354.1,250789,104964,40414.3,8.17738
317810,1293.31,103742,4190.8,3987.7,10587.8,21758.9,5405.4,5440.9,8.19312
639339,2345.66,280717,12943.8,20778.8,22487,53939.7,15873.6,13195.8,8.1972
