FSC-A,FSC-H,SSC-A,SSC-B-A,SSC-B-H,SSC-H,Comp-AF-A,Comp-AF594-A,Comp-Alexa Fluor 647-A,Comp-Dylight 680-A,Comp-PE-Cy7-A,Comp-PerCP-eFluor 710-A,Comp-eFluor 450-A
729497,455804,335317,2007330,1166150,204555,4080.34,-127.595,299.685,-39.118,-0.010879,-88.5806,61124.9
810675,394796,547104,3620020,2071280,325645,10826.4,479.828,107.933,-170.005,-406.877,49.8074,33837.8
596638,337684,262057,1817810,1044630,160335,5495.33,601.658,-257.277,-243.929,60.407,187.323,24848.7
560764,338566,203736,1378780,881617,130895,2802.75,775.601,-222.918,-3.76338,-338.795,592.953,77246
620899,298393,380023,2145350,1149510,213200,4403.94,-260.175,119.431,260.523,-177.803,-438.364,85128.1
1048270,531651,677658,4075740,2134990,360716,12946.1,660.632,-398.69,-218.039,344.246,181.741,141985
794990,376455,422937,2651090,1344600,210132,8941.72,74.8438,213.936,-391.292,-238.255,401.821,91191.9
760866,457763,282433,2041650,1182220,168368,3217.25,136.255,-54.9605,312.473,-96.8193,-53.2831,72257.3
914170,547816,434788,2706510,1692840,274884,7328.36,553.261,-11.5208,-186.881,-128.574,284.348,118610
593391,402868,205490,1512510,1093890,149929,5678.2,583.846,-25.28,77.5842,-325.295,-79.0385,29918.7
798256,406646,469453,3029960,1757350,283042,7837.91,499.032,441.071,-88.9552,-96.5112,243.585,95167.4
690615,379664,234708,1431900,849980,143960,556.667,244.715,93.2309,-108.758,94.8347,410.165,113271
534341,286817,284776,2351870,1186000,138307,5425.2,515.364,128.457,-202.162,288.768,139.251,36602.2
1008750,419848,404413,2509840,1263160,211700,9014.57,-183.691,-29.1883,-76.3008,348.841,198.846,57461.9
1211460,594897,391224,2619870,1211890,181602,5620.67,267.713,-350.734,518.802,-320.293,-325.58,131085
474547,291688,239436,2141070,1515380,160794,2359.44,116.737,499.904,-516.68,-110.002,39.4519,63595.1
817462,393525,441448,2626170,1562110,258641,5326.35,-333.079,-96.2565,-358.385,-269.198,147.493,93106.3
443718,240640,317769,2396100,1752310,246102,9426.67,159.485,-461.126,87.5244,-331.023,469.123,45740.3
508215,328604,280262,1766760,1455840,229894,6386.24,-382.538,-205.535,171.631,-353.278,-55.7095,11595.5
466952,290657,203570,1296790,1010740,154758,2085.8,73.4121,-212.017,225.628,-266.748,-128.727,34206.6
835725,400146,305457,1729730,858569,154663,7015.6,207.444,-48.5909,4.95035,76.4584,116.624,80029.1
1153480,484528,687393,4194300,2254150,325192,17540.4,135.486,-346.526,-326.3,58.9603,24.2176,151728
435737,254695,134035,904643,610847,89295,5248.79,60.444,384.983,-415.61,382.848,148.741,12134.4
694948,293928,213995,1583630,850085,118576,5271.42,55.2187,-225.689,222.316,272.752,174.029,17462.6
983549,490651,464716,2915160,1495280,231018,6728.66,-109.02,350.417,242.221,47.5278,-254.173,74388.2
952316,512082,596341,3377080,1629800,293820,9156.15,397.769,251.428,-173.411,399.494,-207.333,95996.6
710126,352601,447665,2649790,1318650,232879,7782.06,569.226,-0.110954,-102.33,280.891,10.8258,72109.9
1050450,402899,454082,2904960,1214290,197623,8187.03,596.7,94.5561,-166.212,271.391,79.2095,128014
849806,503380,284897,1765330,1024190,168410,4788.32,399.544,-56.8005,202.085,68.0704,-186.228,84431.9
597737,404105,257947,1651390,1196520,185345,3289.64,54.7338,304.827,272.928,865.924,-161.389,74118.9
615272,465365,282986,2376320,1673900,206916,5823.23,292.851,17.3432,-83.0485,-24.0768,-117.937,55113.1
726657,249081,372125,3024050,1183390,128937,3770.21,173.036,393.503,179.666,92.9049,-79.0656,95753.6
609534,386583,345654,2082400,1373280,230680,6678.62,-126.89,218.312,-415.256,-258.422,665.907,51375.1
771678,478192,160913,1104280,857751,123593,6191.04,105.052,161.16,-47.0513,14.5546,43.8111,34668.4
868503,479122,405654,2225640,1251080,231592,4224.93,346.427,8.86055,-20.6136,-110.11,-249.316,120610
676730,389150,307115,1950110,1134360,194438,6629.36,-247.973,-133.818,-284.594,-298.062,441.147,21413.5
584808,367703,276291,1915760,1152470,166694,6098.52,409.676,-232.383,-286.003,-99.1482,508.923,69173.7
851726,462186,648114,4059630,2134270,351036,6418.57,199.543,-137.03,108.382,-313.737,280.103,133721
1505960,778817,615349,4194300,2107470,287908,9937.32,796.126,163.452,-195.723,338.263,323.921,128107
920500,406765,584518,3518320,1941280,337630,6810.75,-308.252,-43.4851,-132.202,288.785,373.105,103243
1007010,613396,368688,2182240,1288630,227614,17567.2,472.157,-164.706,-135.609,-205.383,403.776,75990.4
815790,372678,197407,1203290,570892,91879,742.561,378.953,267.599,27.9255,-101.362,124.146,89369.5
669552,368051,457467,3121360,1621210,238710,6300.14,-213.631,530.349,-317.917,-57.2456,221.667,101728
575803,416002,334189,1954370,1380330,238737,7118.58,113.969,-176.275,666.757,-210.422,-512.204,45108.1
697190,385288,343005,2187350,1376200,208493,6791.98,129.026,140.911,-298.22,-83.6316,267.527,41344.6
660678,340702,351593,2857630,1330930,165993,3860.94,714.066,54.127,-49.1594,-69.2924,-133.826,94173
